‾	Überstrich
💂🏽‍♂	Buckingham Palace, Wache, Wachsoldat, Wachsoldat: mittlere Hautfarbe, mittlere Hautfarbe
💂🏾‍♂	Buckingham Palace, Wache, Wachsoldat, Wachsoldat: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
💂🏿‍♂	Buckingham Palace, Wache, Wachsoldat, Wachsoldat: dunkle Hautfarbe, dunkle Hautfarbe
💂‍♀	Buckingham, Buckingham Palace, Guard, Helm, London, Palast, Wache, Wachsoldatin, Wächter
💂🏻‍♀	Buckingham, Buckingham Palace, Guard, Helm, London, Palast, Wache, Wachsoldatin, Wachsoldatin: helle Hautfarbe, Wächter, helle Hautfarbe
💂🏼‍♀	Buckingham, Buckingham Palace, Guard, Helm, London, Palast, Wache, Wachsoldatin, Wachsoldatin: mittelhelle Hautfarbe, Wächter, mittelhelle Hautfarbe
💂🏽‍♀	Buckingham, Buckingham Palace, Guard, Helm, London, Palast, Wache, Wachsoldatin, Wachsoldatin: mittlere Hautfarbe, Wächter, mittlere Hautfarbe
💂🏾‍♀	Buckingham, Buckingham Palace, Guard, Helm, London, Palast, Wache, Wachsoldatin, Wachsoldatin: mitteldunkle Hautfarbe, Wächter, mitteldunkle Hautfarbe
💂🏿‍♀	Buckingham, Buckingham Palace, Guard, Helm, London, Palast, Wache, Wachsoldatin, Wachsoldatin: dunkle Hautfarbe, Wächter, dunkle Hautfarbe
🥷	Ausdauer, Geheimmission, Killer, Krieger, Kunoichi, Kämpfer, Mörder, Ninja, Person, Shinobi, Soldat, vermummt
🥷🏻	Ausdauer, Geheimmission, Killer, Krieger, Kunoichi, Kämpfer, Mörder, Ninja, Ninja: helle Hautfarbe, Person, Shinobi, Soldat, helle Hautfarbe, vermummt
🥷🏼	Ausdauer, Geheimmission, Killer, Krieger, Kunoichi, Kämpfer, Mörder, Ninja, Ninja: mittelhelle Hautfarbe, Person, Shinobi, Soldat, mittelhelle Hautfarbe, vermummt
🥷🏽	Ausdauer, Geheimmission, Killer, Krieger, Kunoichi, Kämpfer, Mörder, Ninja, Ninja: mittlere Hautfarbe, Person, Shinobi, Soldat, mittlere Hautfarbe, vermummt
🥷🏾	Ausdauer, Geheimmission, Killer, Krieger, Kunoichi, Kämpfer, Mörder, Ninja, Ninja: mitteldunkle Hautfarbe, Person, Shinobi, Soldat, mitteldunkle Hautfarbe, vermummt
🥷🏿	Ausdauer, Geheimmission, Killer, Krieger, Kunoichi, Kämpfer, Mörder, Ninja, Ninja: dunkle Hautfarbe, Person, Shinobi, Soldat, dunkle Hautfarbe, vermummt
👷	Arbeit, Bau, Bauarbeiter, Bauarbeiter(in), Bauarbeiterin, Beruf, Gesicht, Helm, Person, Schutzhelm, umbauen
👷🏻	Arbeit, Bau, Bauarbeiter, Bauarbeiter(in), Bauarbeiter(in): helle Hautfarbe, Bauarbeiterin, Beruf, Gesicht, Helm, Person, Schutzhelm, helle Hautfarbe, umbauen
👷🏼	Arbeit, Bau, Bauarbeiter, Bauarbeiter(in), Bauarbeiter(in): mittelhelle Hautfarbe, Bauarbeiterin, Beruf, Gesicht, Helm, Person, Schutzhelm, mittelhelle Hautfarbe, umbauen
👷🏽	Arbeit, Bau, Bauarbeiter, Bauarbeiter(in), Bauarbeiter(in): mittlere Hautfarbe, Bauarbeiterin, Beruf, Gesicht, Helm, Person, Schutzhelm, mittlere Hautfarbe, umbauen
👷🏾	Arbeit, Bau, Bauarbeiter, Bauarbeiter(in), Bauarbeiter(in): mitteldunkle Hautfarbe, Bauarbeiterin, Beruf, Gesicht, Helm, Person, Schutzhelm, mitteldunkle Hautfarbe, umbauen
👷🏿	Arbeit, Bau, Bauarbeiter, Bauarbeiter(in), Bauarbeiter(in): dunkle Hautfarbe, Bauarbeiterin, Beruf, Gesicht, Helm, Person, Schutzhelm, dunkle Hautfarbe, umbauen
👷‍♂	Bauarbeiter, Baustelle, Helm
👷🏻‍♂	Bauarbeiter, Bauarbeiter: helle Hautfarbe, Baustelle, Helm, helle Hautfarbe
👷🏼‍♂	Bauarbeiter, Bauarbeiter: mittelhelle Hautfarbe, Baustelle, Helm, mittelhelle Hautfarbe
👷🏽‍♂	Bauarbeiter, Bauarbeiter: mittlere Hautfarbe, Baustelle, Helm, mittlere Hautfarbe
👷🏾‍♂	Bauarbeiter, Bauarbeiter: mitteldunkle Hautfarbe, Baustelle, Helm, mitteldunkle Hautfarbe
👷🏿‍♂	Bauarbeiter, Bauarbeiter: dunkle Hautfarbe, Baustelle, Helm, dunkle Hautfarbe
👷‍♀	Bauarbeiter, Bauarbeiterin, Baustelle, Frau, Helm, Mann
👷🏻‍♀	Bauarbeiter, Bauarbeiterin, Bauarbeiterin: helle Hautfarbe, Baustelle, Frau, Helm, Mann, helle Hautfarbe
👷🏼‍♀	Bauarbeiter, Bauarbeiterin, Bauarbeiterin: mittelhelle Hautfarbe, Baustelle, Frau, Helm, Mann, mittelhelle Hautfarbe
👷🏽‍♀	Bauarbeiter, Bauarbeiterin, Bauarbeiterin: mittlere Hautfarbe, Baustelle, Frau, Helm, Mann, mittlere Hautfarbe
👷🏾‍♀	Bauarbeiter, Bauarbeiterin, Bauarbeiterin: mitteldunkle Hautfarbe, Baustelle, Frau, Helm, Mann, mitteldunkle Hautfarbe
👷🏿‍♀	Bauarbeiter, Bauarbeiterin, Bauarbeiterin: dunkle Hautfarbe, Baustelle, Frau, Helm, Mann, dunkle Hautfarbe
🫅	Krönung, König, Königin, Monarch, Monarchin, Person, Person mit Krone, Prinz, Prinzessin, adelig, königlich, königliche Hoheit
🫅🏻	Krönung, König, Königin, Monarch, Monarchin, Person, Person mit Krone, Person mit Krone: helle Hautfarbe, Prinz, Prinzessin, adelig, helle Hautfarbe, königlich, königliche Hoheit
🫅🏼	Krönung, König, Königin, Monarch, Monarchin, Person, Person mit Krone, Person mit Krone: mittelhelle Hautfarbe, Prinz, Prinzessin, adelig, königlich, königliche Hoheit, mittelhelle Hautfarbe
🫅🏽	Krönung, König, Königin, Monarch, Monarchin, Person, Person mit Krone, Person mit Krone: mittlere Hautfarbe, Prinz, Prinzessin, adelig, königlich, königliche Hoheit, mittlere Hautfarbe
🫅🏾	Krönung, König, Königin, Monarch, Monarchin, Person, Person mit Krone, Person mit Krone: mitteldunkle Hautfarbe, Prinz, Prinzessin, adelig, königlich, königliche Hoheit, mitteldunkle Hautfarbe
🫅🏿	Krönung, König, Königin, Monarch, Monarchin, Person, Person mit Krone, Person mit Krone: dunkle Hautfarbe, Prinz, Prinzessin, adelig, dunkle Hautfarbe, königlich, königliche Hoheit
🤴	Krone, Prinz
🤴🏻	Krone, Prinz, Prinz: helle Hautfarbe, helle Hautfarbe
🤴🏼	Krone, Prinz, Prinz: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🤴🏽	Krone, Prinz, Prinz: mittlere Hautfarbe, mittlere Hautfarbe
🤴🏾	Krone, Prinz, Prinz: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🤴🏿	Krone, Prinz, Prinz: dunkle Hautfarbe, dunkle Hautfarbe
👸	Gesicht, Krone, Märchen, Prinzessin
👸🏻	Gesicht, Krone, Märchen, Prinzessin, Prinzessin: helle Hautfarbe, helle Hautfarbe
👸🏼	Gesicht, Krone, Märchen, Prinzessin, Prinzessin: mittelhelle Hautfarbe, mittelhelle Hautfarbe
👸🏽	Gesicht, Krone, Märchen, Prinzessin, Prinzessin: mittlere Hautfarbe, mittlere Hautfarbe
👸🏾	Gesicht, Krone, Märchen, Prinzessin, Prinzessin: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
👸🏿	Gesicht, Krone, Märchen, Prinzessin, Prinzessin: dunkle Hautfarbe, dunkle Hautfarbe
👳	Bart, Dreitagebart, Person, Person mit Turban, Turban
👳🏻	Bart, Dreitagebart, Person, Person mit Turban, Person mit Turban: helle Hautfarbe, Turban, helle Hautfarbe
👳🏼	Bart, Dreitagebart, Person, Person mit Turban, Person mit Turban: mittelhelle Hautfarbe, Turban, mittelhelle Hautfarbe
👳🏽	Bart, Dreitagebart, Person, Person mit Turban, Person mit Turban: mittlere Hautfarbe, Turban, mittlere Hautfarbe
👳🏾	Bart, Dreitagebart, Person, Person mit Turban, Person mit Turban: mitteldunkle Hautfarbe, Turban, mitteldunkle Hautfarbe
👳🏿	Bart, Dreitagebart, Person, Person mit Turban, Person mit Turban: dunkle Hautfarbe, Turban, dunkle Hautfarbe
👳‍♂	Gesicht, Mann, Mann mit Turban, Turban
👳🏻‍♂	Gesicht, Mann, Mann mit Turban, Mann mit Turban: helle Hautfarbe, Turban, helle Hautfarbe
👳🏼‍♂	Gesicht, Mann, Mann mit Turban, Mann mit Turban: mittelhelle Hautfarbe, Turban, mittelhelle Hautfarbe
👳🏽‍♂	Gesicht, Mann, Mann mit Turban, Mann mit Turban: mittlere Hautfarbe, Turban, mittlere Hautfarbe
👳🏾‍♂	Gesicht, Mann, Mann mit Turban, Mann mit Turban: mitteldunkle Hautfarbe, Turban, mitteldunkle Hautfarbe
👳🏿‍♂	Gesicht, Mann, Mann mit Turban, Mann mit Turban: dunkle Hautfarbe, Turban, dunkle Hautfarbe
👳‍♀	Frau, Frau mit Turban, Gesicht, Turban
👳🏻‍♀	Frau, Frau mit Turban, Frau mit Turban: helle Hautfarbe, Gesicht, Turban, helle Hautfarbe
👳🏼‍♀	Frau, Frau mit Turban, Frau mit Turban: mittelhelle Hautfarbe, Gesicht, Turban, mittelhelle Hautfarbe
👳🏽‍♀	Frau, Frau mit Turban, Frau mit Turban: mittlere Hautfarbe, Gesicht, Turban, mittlere Hautfarbe
👳🏾‍♀	Frau, Frau mit Turban, Frau mit Turban: mitteldunkle Hautfarbe, Gesicht, Turban, mitteldunkle Hautfarbe
👳🏿‍♀	Frau, Frau mit Turban, Frau mit Turban: dunkle Hautfarbe, Gesicht, Turban, dunkle Hautfarbe
👲	China, Gesicht, Hut, Kappe, Mann mit chinesischem Hut, Mütze, Person, chinesisch
👲🏻	China, Gesicht, Hut, Kappe, Mann mit chinesischem Hut: helle Hautfarbe, Mütze, Person, chinesisch, helle Hautfarbe
👲🏼	China, Gesicht, Hut, Kappe, Mann mit chinesischem Hut: mittelhelle Hautfarbe, Mütze, Person, chinesisch, mittelhelle Hautfarbe
👲🏽	China, Gesicht, Hut, Kappe, Mann mit chinesischem Hut: mittlere Hautfarbe, Mütze, Person, chinesisch, mittlere Hautfarbe
👲🏾	China, Gesicht, Hut, Kappe, Mann mit chinesischem Hut: mitteldunkle Hautfarbe, Mütze, Person, chinesisch, mitteldunkle Hautfarbe
👲🏿	China, Gesicht, Hut, Kappe, Mann mit chinesischem Hut: dunkle Hautfarbe, Mütze, Person, chinesisch, dunkle Hautfarbe
🧕	Frau, Frau mit Kopftuch, Hidschab, Hijab, Kopftuch, Mantilla, Person, Tichel, Tuch
🧕🏻	Frau, Frau mit Kopftuch, Frau mit Kopftuch: helle Hautfarbe, Hidschab, Hijab, Kopftuch, Mantilla, Person, Tichel, Tuch, helle Hautfarbe
🧕🏼	Frau, Frau mit Kopftuch, Frau mit Kopftuch: mittelhelle Hautfarbe, Hidschab, Hijab, Kopftuch, Mantilla, Person, Tichel, Tuch, mittelhelle Hautfarbe
🧕🏽	Frau, Frau mit Kopftuch, Frau mit Kopftuch: mittlere Hautfarbe, Hidschab, Hijab, Kopftuch, Mantilla, Person, Tichel, Tuch, mittlere Hautfarbe
🧕🏾	Frau, Frau mit Kopftuch, Frau mit Kopftuch: mitteldunkle Hautfarbe, Hidschab, Hijab, Kopftuch, Mantilla, Person, Tichel, Tuch, mitteldunkle Hautfarbe
🧕🏿	Frau, Frau mit Kopftuch, Frau mit Kopftuch: dunkle Hautfarbe, Hidschab, Hijab, Kopftuch, Mantilla, Person, Tichel, Tuch, dunkle Hautfarbe
🤵	Anzug, Bräutigam, Mann, Person, Person im Smoking, Smoking, formell, vornehm
🤵🏻	Anzug, Bräutigam, Mann, Person, Person im Smoking, Person im Smoking: helle Hautfarbe, Smoking, formell, helle Hautfarbe, vornehm
🤵🏼	Anzug, Bräutigam, Mann, Person, Person im Smoking, Person im Smoking: mittelhelle Hautfarbe, Smoking, formell, mittelhelle Hautfarbe, vornehm
🤵🏽	Anzug, Bräutigam, Mann, Person, Person im Smoking, Person im Smoking: mittlere Hautfarbe, Smoking, formell, mittlere Hautfarbe, vornehm
🤵🏾	Anzug, Bräutigam, Mann, Person, Person im Smoking, Person im Smoking: mitteldunkle Hautfarbe, Smoking, formell, mitteldunkle Hautfarbe, vornehm
🤵🏿	Anzug, Bräutigam, Mann, Person, Person im Smoking, Person im Smoking: dunkle Hautfarbe, Smoking, dunkle Hautfarbe, formell, vornehm
🤵‍♂	Mann, Mann im Smoking, Smoking
🤵🏻‍♂	Mann, Mann im Smoking, Mann im Smoking: helle Hautfarbe, Smoking, helle Hautfarbe
🤵🏼‍♂	Mann, Mann im Smoking, Mann im Smoking: mittelhelle Hautfarbe, Smoking, mittelhelle Hautfarbe
🤵🏽‍♂	Mann, Mann im Smoking, Mann im Smoking: mittlere Hautfarbe, Smoking, mittlere Hautfarbe
🤵🏾‍♂	Mann, Mann im Smoking, Mann im Smoking: mitteldunkle Hautfarbe, Smoking, mitteldunkle Hautfarbe
🤵🏿‍♂	Mann, Mann im Smoking, Mann im Smoking: dunkle Hautfarbe, Smoking, dunkle Hautfarbe
🤵‍♀	Frau, Frau im Smoking, Smoking
🤵🏻‍♀	Frau, Frau im Smoking, Frau im Smoking: helle Hautfarbe, Smoking, helle Hautfarbe
🤵🏼‍♀	Frau, Frau im Smoking, Frau im Smoking: mittelhelle Hautfarbe, Smoking, mittelhelle Hautfarbe
🤵🏽‍♀	Frau, Frau im Smoking, Frau im Smoking: mittlere Hautfarbe, Smoking, mittlere Hautfarbe
🤵🏾‍♀	Frau, Frau im Smoking, Frau im Smoking: mitteldunkle Hautfarbe, Smoking, mitteldunkle Hautfarbe
🤵🏿‍♀	Frau, Frau im Smoking, Frau im Smoking: dunkle Hautfarbe, Smoking, dunkle Hautfarbe
👰	Braut, Braut mit Schleier, Gesicht, Hochzeit, Person, Person mit Schleier, Schleier
👰🏻	Braut, Braut mit Schleier, Gesicht, Hochzeit, Person, Person mit Schleier, Person mit Schleier: helle Hautfarbe, Schleier, helle Hautfarbe
👰🏼	Braut, Braut mit Schleier, Gesicht, Hochzeit, Person, Person mit Schleier, Person mit Schleier: mittelhelle Hautfarbe, Schleier, mittelhelle Hautfarbe
👰🏽	Braut, Braut mit Schleier, Gesicht, Hochzeit, Person, Person mit Schleier, Person mit Schleier: mittlere Hautfarbe, Schleier, mittlere Hautfarbe
👰🏾	Braut, Braut mit Schleier, Gesicht, Hochzeit, Person, Person mit Schleier, Person mit Schleier: mitteldunkle Hautfarbe, Schleier, mitteldunkle Hautfarbe
👰🏿	Braut, Braut mit Schleier, Gesicht, Hochzeit, Person, Person mit Schleier, Person mit Schleier: dunkle Hautfarbe, Schleier, dunkle Hautfarbe
👰‍♂	Mann, Mann mit Schleier, Schleier
👰🏻‍♂	Mann, Mann mit Schleier, Mann mit Schleier: helle Hautfarbe, Schleier, helle Hautfarbe
👰🏼‍♂	Mann, Mann mit Schleier, Mann mit Schleier: mittelhelle Hautfarbe, Schleier, mittelhelle Hautfarbe
👰🏽‍♂	Mann, Mann mit Schleier, Mann mit Schleier: mittlere Hautfarbe, Schleier, mittlere Hautfarbe
👰🏾‍♂	Mann, Mann mit Schleier, Mann mit Schleier: mitteldunkle Hautfarbe, Schleier, mitteldunkle Hautfarbe
👰🏿‍♂	Mann, Mann mit Schleier, Mann mit Schleier: dunkle Hautfarbe, Schleier, dunkle Hautfarbe
👰‍♀	Frau, Frau mit Schleier, Schleier
👰🏻‍♀	Frau, Frau mit Schleier, Frau mit Schleier: helle Hautfarbe, Schleier, helle Hautfarbe
👰🏼‍♀	Frau, Frau mit Schleier, Frau mit Schleier: mittelhelle Hautfarbe, Schleier, mittelhelle Hautfarbe
👰🏽‍♀	Frau, Frau mit Schleier, Frau mit Schleier: mittlere Hautfarbe, Schleier, mittlere Hautfarbe
👰🏾‍♀	Frau, Frau mit Schleier, Frau mit Schleier: mitteldunkle Hautfarbe, Schleier, mitteldunkle Hautfarbe
👰🏿‍♀	Frau, Frau mit Schleier, Frau mit Schleier: dunkle Hautfarbe, Schleier, dunkle Hautfarbe
🤰	Frau, schwanger, schwangere Frau
🤰🏻	Frau, helle Hautfarbe, schwanger, schwangere Frau, schwangere Frau: helle Hautfarbe
🤰🏼	Frau, mittelhelle Hautfarbe, schwanger, schwangere Frau, schwangere Frau: mittelhelle Hautfarbe
🤰🏽	Frau, mittlere Hautfarbe, schwanger, schwangere Frau, schwangere Frau: mittlere Hautfarbe
🤰🏾	Frau, mitteldunkle Hautfarbe, schwanger, schwangere Frau, schwangere Frau: mitteldunkle Hautfarbe
🤰🏿	Frau, dunkle Hautfarbe, schwanger, schwangere Frau, schwangere Frau: dunkle Hautfarbe
🫃	Bauch, Person, aufgebläht, dick, schwanger, schwangerer Mann, zu viel gegessen, überfressen
🫃🏻	Bauch, Person, aufgebläht, dick, helle Hautfarbe, schwanger, schwangerer Mann, schwangerer Mann: helle Hautfarbe, zu viel gegessen, überfressen
🫃🏼	Bauch, Person, aufgebläht, dick, mittelhelle Hautfarbe, schwanger, schwangerer Mann, schwangerer Mann: mittelhelle Hautfarbe, zu viel gegessen, überfressen
🫃🏽	Bauch, Person, aufgebläht, dick, mittlere Hautfarbe, schwanger, schwangerer Mann, schwangerer Mann: mittlere Hautfarbe, zu viel gegessen, überfressen
🫃🏾	Bauch, Person, aufgebläht, dick, mitteldunkle Hautfarbe, schwanger, schwangerer Mann, schwangerer Mann: mitteldunkle Hautfarbe, zu viel gegessen, überfressen
🫃🏿	Bauch, Person, aufgebläht, dick, dunkle Hautfarbe, schwanger, schwangerer Mann, schwangerer Mann: dunkle Hautfarbe, zu viel gegessen, überfressen
🫄	Bauch, Person, Schwangerschaft, aufgebläht, dick, dicker Bauch, schwanger, schwangere Person, zu viel gegessen, überfressen
🫄🏻	Bauch, Person, Schwangerschaft, aufgebläht, dick, dicker Bauch, helle Hautfarbe, schwanger, schwangere Person, schwangere Person: helle Hautfarbe, zu viel gegessen, überfressen
🫄🏼	Bauch, Person, Schwangerschaft, aufgebläht, dick, dicker Bauch, mittelhelle Hautfarbe, schwanger, schwangere Person, schwangere Person: mittelhelle Hautfarbe, zu viel gegessen, überfressen
🫄🏽	Bauch, Person, Schwangerschaft, aufgebläht, dick, dicker Bauch, mittlere Hautfarbe, schwanger, schwangere Person, schwangere Person: mittlere Hautfarbe, zu viel gegessen, überfressen
🫄🏾	Bauch, Person, Schwangerschaft, aufgebläht, dick, dicker Bauch, mitteldunkle Hautfarbe, schwanger, schwangere Person, schwangere Person: mitteldunkle Hautfarbe, zu viel gegessen, überfressen
🫄🏿	Bauch, Person, Schwangerschaft, aufgebläht, dick, dicker Bauch, dunkle Hautfarbe, schwanger, schwangere Person, schwangere Person: dunkle Hautfarbe, zu viel gegessen, überfressen
🤱	Baby, Brust, Frau, Person, Stillen, stillen
🤱🏻	Baby, Brust, Frau, Person, Stillen, Stillen: helle Hautfarbe, helle Hautfarbe, stillen
🤱🏼	Baby, Brust, Frau, Person, Stillen, Stillen: mittelhelle Hautfarbe, mittelhelle Hautfarbe, stillen
🤱🏽	Baby, Brust, Frau, Person, Stillen, Stillen: mittlere Hautfarbe, mittlere Hautfarbe, stillen
🤱🏾	Baby, Brust, Frau, Person, Stillen, Stillen: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe, stillen
🤱🏿	Baby, Brust, Frau, Person, Stillen, Stillen: dunkle Hautfarbe, dunkle Hautfarbe, stillen
👩‍🍼	Baby, Eltern, Flasche geben, Flasche gebende Frau, Frau, Frau, die Baby die Flasche gibt, Mama, Milch, Mutter, Neugeborenes, Person, Säugling, füttern
👩🏻‍🍼	Baby, Eltern, Flasche geben, Flasche gebende Frau, Frau, Frau, die Baby die Flasche gibt: helle Hautfarbe, Mama, Milch, Mutter, Neugeborenes, Person, Säugling, füttern, helle Hautfarbe
👩🏼‍🍼	Baby, Eltern, Flasche geben, Flasche gebende Frau, Frau, Frau, die Baby die Flasche gibt: mittelhelle Hautfarbe, Mama, Milch, Mutter, Neugeborenes, Person, Säugling, füttern, mittelhelle Hautfarbe
👩🏽‍🍼	Baby, Eltern, Flasche geben, Flasche gebende Frau, Frau, Frau, die Baby die Flasche gibt: mittlere Hautfarbe, Mama, Milch, Mutter, Neugeborenes, Person, Säugling, füttern, mittlere Hautfarbe
👩🏾‍🍼	Baby, Eltern, Flasche geben, Flasche gebende Frau, Frau, Frau, die Baby die Flasche gibt: mitteldunkle Hautfarbe, Mama, Milch, Mutter, Neugeborenes, Person, Säugling, füttern, mitteldunkle Hautfarbe
👩🏿‍🍼	Baby, Eltern, Flasche geben, Flasche gebende Frau, Frau, Frau, die Baby die Flasche gibt: dunkle Hautfarbe, Mama, Milch, Mutter, Neugeborenes, Person, Säugling, dunkle Hautfarbe, füttern
👨‍🍼	Baby, Eltern, Flasche geben, Flasche gebender Mann, Kind, Mann, Mann, der Baby die Flasche gibt, Milch, Neugeborenes, Papa, Person, Säugling, Vater, der Baby die Flasche gibt, füttern, männlich
👨🏻‍🍼	Baby, Eltern, Flasche geben, Flasche gebender Mann, Kind, Mann, Mann, der Baby die Flasche gibt, Mann, der Baby die Flasche gibt: helle Hautfarbe, Milch, Neugeborenes, Papa, Person, Säugling, Vater, der Baby die Flasche gibt, füttern, helle Hautfarbe, männlich
👨🏼‍🍼	Baby, Eltern, Flasche geben, Flasche gebender Mann, Kind, Mann, Mann, der Baby die Flasche gibt, Mann, der Baby die Flasche gibt: mittelhelle Hautfarbe, Milch, Neugeborenes, Papa, Person, Säugling, Vater, der Baby die Flasche gibt, füttern, mittelhelle Hautfarbe, männlich
👨🏽‍🍼	Baby, Eltern, Flasche geben, Flasche gebender Mann, Kind, Mann, Mann, der Baby die Flasche gibt, Mann, der Baby die Flasche gibt: mittlere Hautfarbe, Milch, Neugeborenes, Papa, Person, Säugling, Vater, der Baby die Flasche gibt, füttern, mittlere Hautfarbe, männlich
👨🏾‍🍼	Baby, Eltern, Flasche geben, Flasche gebender Mann, Kind, Mann, Mann, der Baby die Flasche gibt, Mann, der Baby die Flasche gibt: mitteldunkle Hautfarbe, Milch, Neugeborenes, Papa, Person, Säugling, Vater, der Baby die Flasche gibt, füttern, mitteldunkle Hautfarbe, männlich
👨🏿‍🍼	Baby, Eltern, Flasche geben, Flasche gebender Mann, Kind, Mann, Mann, der Baby die Flasche gibt, Mann, der Baby die Flasche gibt: dunkle Hautfarbe, Milch, Neugeborenes, Papa, Person, Säugling, Vater, der Baby die Flasche gibt, dunkle Hautfarbe, füttern, männlich
🧑‍🍼	Baby, Flasche geben, Flasche gebende Person, Frau, Mama, Mann, Neugeborenes, Papa, Person, Person, die Baby die Flasche gibt, Säugling, Vater, die Baby die Flasche gibt, füttern
🧑🏻‍🍼	Baby, Flasche geben, Flasche gebende Person, Frau, Mama, Mann, Neugeborenes, Papa, Person, Person, die Baby die Flasche gibt, Person, die Baby die Flasche gibt: helle Hautfarbe, Säugling, Vater, die Baby die Flasche gibt, füttern, helle Hautfarbe
🧑🏼‍🍼	Baby, Flasche geben, Flasche gebende Person, Frau, Mama, Mann, Neugeborenes, Papa, Person, Person, die Baby die Flasche gibt, Person, die Baby die Flasche gibt: mittelhelle Hautfarbe, Säugling, Vater, die Baby die Flasche gibt, füttern, mittelhelle Hautfarbe
🧑🏽‍🍼	Baby, Flasche geben, Flasche gebende Person, Frau, Mama, Mann, Neugeborenes, Papa, Person, Person, die Baby die Flasche gibt, Person, die Baby die Flasche gibt: mittlere Hautfarbe, Säugling, Vater, die Baby die Flasche gibt, füttern, mittlere Hautfarbe
🧑🏾‍🍼	Baby, Flasche geben, Flasche gebende Person, Frau, Mama, Mann, Neugeborenes, Papa, Person, Person, die Baby die Flasche gibt, Person, die Baby die Flasche gibt: mitteldunkle Hautfarbe, Säugling, Vater, die Baby die Flasche gibt, füttern, mitteldunkle Hautfarbe
🧑🏿‍🍼	Baby, Flasche geben, Flasche gebende Person, Frau, Mama, Mann, Neugeborenes, Papa, Person, Person, die Baby die Flasche gibt, Person, die Baby die Flasche gibt: dunkle Hautfarbe, Säugling, Vater, die Baby die Flasche gibt, dunkle Hautfarbe, füttern
👼	Engel, Gesicht, Kind, Märchen, Putte
👼🏻	Engel, Gesicht, Kind, Märchen, Putte, Putte: helle Hautfarbe, helle Hautfarbe
👼🏼	Engel, Gesicht, Kind, Märchen, Putte, Putte: mittelhelle Hautfarbe, mittelhelle Hautfarbe
👼🏽	Engel, Gesicht, Kind, Märchen, Putte, Putte: mittlere Hautfarbe, mittlere Hautfarbe
👼🏾	Engel, Gesicht, Kind, Märchen, Putte, Putte: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
👼🏿	Engel, Gesicht, Kind, Märchen, Putte, Putte: dunkle Hautfarbe, dunkle Hautfarbe
🎅	Weihnachten, Weihnachtsmann
🎅🏻	Weihnachten, Weihnachtsmann, Weihnachtsmann: helle Hautfarbe, helle Hautfarbe
🎅🏼	Weihnachten, Weihnachtsmann, Weihnachtsmann: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🎅🏽	Weihnachten, Weihnachtsmann, Weihnachtsmann: mittlere Hautfarbe, mittlere Hautfarbe
🎅🏾	Weihnachten, Weihnachtsmann, Weihnachtsmann: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🎅🏿	Weihnachten, Weihnachtsmann, Weihnachtsmann: dunkle Hautfarbe, dunkle Hautfarbe
🤶	Weihnachten, Weihnachtsfrau
🤶🏻	Weihnachten, Weihnachtsfrau, Weihnachtsfrau: helle Hautfarbe, helle Hautfarbe
🤶🏼	Weihnachten, Weihnachtsfrau, Weihnachtsfrau: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🤶🏽	Weihnachten, Weihnachtsfrau, Weihnachtsfrau: mittlere Hautfarbe, mittlere Hautfarbe
🤶🏾	Weihnachten, Weihnachtsfrau, Weihnachtsfrau: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
🤶🏿	Weihnachten, Weihnachtsfrau, Weihnachtsfrau: dunkle Hautfarbe, dunkle Hautfarbe
🧑‍🎄	Gesicht, Gesicht mit Hut, Person, Santa Claus, Weihnachten, Weihnachtsfrau, Weihnachtshut, Weihnachtsmann, Weihnachtsmütze, Weihnachtsperson
🧑🏻‍🎄	Gesicht, Gesicht mit Hut, Person, Santa Claus, Weihnachten, Weihnachtsfrau, Weihnachtshut, Weihnachtsmann, Weihnachtsmütze, Weihnachtsperson, Weihnachtsperson: helle Hautfarbe, helle Hautfarbe
🧑🏼‍🎄	Gesicht, Gesicht mit Hut, Person, Santa Claus, Weihnachten, Weihnachtsfrau, Weihnachtshut, Weihnachtsmann, Weihnachtsmütze, Weihnachtsperson, Weihnachtsperson: mittelhelle Hautfarbe, mittelhelle Hautfarbe
🧑🏽‍🎄	Gesicht, Gesicht mit Hut, Person, Santa Claus, Weihnachten, Weihnachtsfrau, Weihnachtshut, Weihnachtsmann, Weihnachtsmütze, Weihnachtsperson, Weihnachtsperson: mittlere Hautfarbe, mittlere Hautfarbe
🧑🏾‍🎄	Gesicht, Gesicht mit Hut, Person, Santa Claus, Weihnachten, Weihnachtsfrau, Weihnachtshut, Weihnachtsmann, Weihnachtsmütze, Weihnachtsperson, Weihnachtsperson: mitteldunkle Hautfarbe, mitteldunkle Hautfarbe
