‾	oorheendruk, oorstreep, vinkulum
🧑🏼‍🎤	akteur, medium-ligte velkleur, sanger, sanger: medium-ligte velkleur, ster, vermaaklikheidster
🧑🏽‍🎤	akteur, medium velkleur, sanger, sanger: medium velkleur, ster, vermaaklikheidster
🧑🏾‍🎤	akteur, medium-donker velkleur, sanger, sanger: medium-donker velkleur, ster, vermaaklikheidster
🧑🏿‍🎤	akteur, donker velkleur, sanger, sanger: donker velkleur, ster, vermaaklikheidster
👨‍🎤	man, manlike sanger, persoon, rock, rockster, sanger, ster, vermaak, vermaaklikheid
👨🏻‍🎤	ligte velkleur, man, manlike sanger, manlike sanger: ligte velkleur, persoon, rock, rockster, sanger, ster, vermaak, vermaaklikheid
👨🏼‍🎤	man, manlike sanger, manlike sanger: medium-ligte velkleur, medium-ligte velkleur, persoon, rock, rockster, sanger, ster, vermaak, vermaaklikheid
👨🏽‍🎤	man, manlike sanger, manlike sanger: medium velkleur, medium velkleur, persoon, rock, rockster, sanger, ster, vermaak, vermaaklikheid
👨🏾‍🎤	man, manlike sanger, manlike sanger: medium-donker velkleur, medium-donker velkleur, persoon, rock, rockster, sanger, ster, vermaak, vermaaklikheid
👨🏿‍🎤	donker velkleur, man, manlike sanger, manlike sanger: donker velkleur, persoon, rock, rockster, sanger, ster, vermaak, vermaaklikheid
👩‍🎤	aktrise, man, persoon, rock, rockster, sanger, sangeres, ster, vermaak, vermaaklikheid, vrou, vroulike sanger
👩🏻‍🎤	aktrise, ligte velkleur, man, persoon, rock, rockster, sanger, sangeres, ster, vermaak, vermaaklikheid, vrou, vroulike sanger, vroulike sanger: ligte velkleur
👩🏼‍🎤	aktrise, man, medium-ligte velkleur, persoon, rock, rockster, sanger, sangeres, ster, vermaak, vermaaklikheid, vrou, vroulike sanger, vroulike sanger: medium-ligte velkleur
👩🏽‍🎤	aktrise, man, medium velkleur, persoon, rock, rockster, sanger, sangeres, ster, vermaak, vermaaklikheid, vrou, vroulike sanger, vroulike sanger: medium velkleur
👩🏾‍🎤	aktrise, man, medium-donker velkleur, persoon, rock, rockster, sanger, sangeres, ster, vermaak, vermaaklikheid, vrou, vroulike sanger, vroulike sanger: medium-donker velkleur
👩🏿‍🎤	aktrise, donker velkleur, man, persoon, rock, rockster, sanger, sangeres, ster, vermaak, vermaaklikheid, vrou, vroulike sanger, vroulike sanger: donker velkleur
🧑‍🎨	kuns, kunstenaar, palet
🧑🏻‍🎨	kuns, kunstenaar, kunstenaar: ligte velkleur, ligte velkleur, palet
🧑🏼‍🎨	kuns, kunstenaar, kunstenaar: medium-ligte velkleur, medium-ligte velkleur, palet
🧑🏽‍🎨	kuns, kunstenaar, kunstenaar: medium velkleur, medium velkleur, palet
🧑🏾‍🎨	kuns, kunstenaar, kunstenaar: medium-donker velkleur, medium-donker velkleur, palet
🧑🏿‍🎨	donker velkleur, kuns, kunstenaar, kunstenaar: donker velkleur, palet
👨‍🎨	kunstenaar, manlike kunstenaar, palet, persoon, skilder, skilderye, verwer
👨🏻‍🎨	kunstenaar, ligte velkleur, manlike kunstenaar, manlike kunstenaar: ligte velkleur, palet, persoon, skilder, skilderye, verwer
👨🏼‍🎨	kunstenaar, manlike kunstenaar, manlike kunstenaar: medium-ligte velkleur, medium-ligte velkleur, palet, persoon, skilder, skilderye, verwer
👨🏽‍🎨	kunstenaar, manlike kunstenaar, manlike kunstenaar: medium velkleur, medium velkleur, palet, persoon, skilder, skilderye, verwer
👨🏾‍🎨	kunstenaar, manlike kunstenaar, manlike kunstenaar: medium-donker velkleur, medium-donker velkleur, palet, persoon, skilder, skilderye, verwer
👨🏿‍🎨	donker velkleur, kunstenaar, manlike kunstenaar, manlike kunstenaar: donker velkleur, palet, persoon, skilder, skilderye, verwer
👩‍🎨	kunstenaar, palet, persoon, skilder, verwer, vrou, vroulike kunstenaar
👩🏻‍🎨	kunstenaar, ligte velkleur, palet, persoon, skilder, verwer, vrou, vroulike kunstenaar, vroulike kunstenaar: ligte velkleur
👩🏼‍🎨	kunstenaar, medium-ligte velkleur, palet, persoon, skilder, verwer, vrou, vroulike kunstenaar, vroulike kunstenaar: medium-ligte velkleur
👩🏽‍🎨	kunstenaar, medium velkleur, palet, persoon, skilder, verwer, vrou, vroulike kunstenaar, vroulike kunstenaar: medium velkleur
👩🏾‍🎨	kunstenaar, medium-donker velkleur, palet, persoon, skilder, verwer, vrou, vroulike kunstenaar, vroulike kunstenaar: medium-donker velkleur
👩🏿‍🎨	donker velkleur, kunstenaar, palet, persoon, skilder, verwer, vrou, vroulike kunstenaar, vroulike kunstenaar: donker velkleur
🧑‍✈	vliegtuig, vlieënier
🧑🏻‍✈	ligte velkleur, vliegtuig, vlieënier, vlieënier: ligte velkleur
🧑🏼‍✈	medium-ligte velkleur, vliegtuig, vlieënier, vlieënier: medium-ligte velkleur
🧑🏽‍✈	medium velkleur, vliegtuig, vlieënier, vlieënier: medium velkleur
🧑🏾‍✈	medium-donker velkleur, vliegtuig, vlieënier, vlieënier: medium-donker velkleur
🧑🏿‍✈	donker velkleur, vliegtuig, vlieënier, vlieënier: donker velkleur
👨‍✈	kaptein, loods, man, manlike vlieënier, vlieg, vliegtuig, vlieënier
👨🏻‍✈	kaptein, ligte velkleur, loods, man, manlike vlieënier, manlike vlieënier: ligte velkleur, vlieg, vliegtuig, vlieënier
👨🏼‍✈	kaptein, loods, man, manlike vlieënier, manlike vlieënier: medium-ligte velkleur, medium-ligte velkleur, vlieg, vliegtuig, vlieënier
👨🏽‍✈	kaptein, loods, man, manlike vlieënier, manlike vlieënier: medium velkleur, medium velkleur, vlieg, vliegtuig, vlieënier
👨🏾‍✈	kaptein, loods, man, manlike vlieënier, manlike vlieënier: medium-donker velkleur, medium-donker velkleur, vlieg, vliegtuig, vlieënier
👨🏿‍✈	donker velkleur, kaptein, loods, man, manlike vlieënier, manlike vlieënier: donker velkleur, vlieg, vliegtuig, vlieënier
👩‍✈	kaptein, loods, vliegtuig, vlieënier, vrou, vroulike vlieënier
👩🏻‍✈	kaptein, ligte velkleur, loods, vliegtuig, vlieënier, vrou, vroulike vlieënier, vroulike vlieënier: ligte velkleur
👩🏼‍✈	kaptein, loods, medium-ligte velkleur, vliegtuig, vlieënier, vrou, vroulike vlieënier, vroulike vlieënier: medium-ligte velkleur
👩🏽‍✈	kaptein, loods, medium velkleur, vliegtuig, vlieënier, vrou, vroulike vlieënier, vroulike vlieënier: medium velkleur
👩🏾‍✈	kaptein, loods, medium-donker velkleur, vliegtuig, vlieënier, vrou, vroulike vlieënier, vroulike vlieënier: medium-donker velkleur
👩🏿‍✈	donker velkleur, kaptein, loods, vliegtuig, vlieënier, vrou, vroulike vlieënier, vroulike vlieënier: donker velkleur
🧑‍🚀	ruimtetuig, ruimtevaarder
🧑🏻‍🚀	ligte velkleur, ruimtetuig, ruimtevaarder, ruimtevaarder: ligte velkleur
🧑🏼‍🚀	medium-ligte velkleur, ruimtetuig, ruimtevaarder, ruimtevaarder: medium-ligte velkleur
🧑🏽‍🚀	medium velkleur, ruimtetuig, ruimtevaarder, ruimtevaarder: medium velkleur
🧑🏾‍🚀	medium-donker velkleur, ruimtetuig, ruimtevaarder, ruimtevaarder: medium-donker velkleur
🧑🏿‍🚀	donker velkleur, ruimtetuig, ruimtevaarder, ruimtevaarder: donker velkleur
👨‍🚀	Internasionale Ruimtestasie, man, manlike ruimtevaarder, persoon, ruimte, ruimtevaarder, vuurpyl
👨🏻‍🚀	Internasionale Ruimtestasie, ligte velkleur, man, manlike ruimtevaarder, manlike ruimtevaarder: ligte velkleur, persoon, ruimte, ruimtevaarder, vuurpyl
👨🏼‍🚀	Internasionale Ruimtestasie, man, manlike ruimtevaarder, manlike ruimtevaarder: medium-ligte velkleur, medium-ligte velkleur, persoon, ruimte, ruimtevaarder, vuurpyl
👨🏽‍🚀	Internasionale Ruimtestasie, man, manlike ruimtevaarder, manlike ruimtevaarder: medium velkleur, medium velkleur, persoon, ruimte, ruimtevaarder, vuurpyl
👨🏾‍🚀	Internasionale Ruimtestasie, man, manlike ruimtevaarder, manlike ruimtevaarder: medium-donker velkleur, medium-donker velkleur, persoon, ruimte, ruimtevaarder, vuurpyl
👨🏿‍🚀	Internasionale Ruimtestasie, donker velkleur, man, manlike ruimtevaarder, manlike ruimtevaarder: donker velkleur, persoon, ruimte, ruimtevaarder, vuurpyl
👩‍🚀	ruimte, ruimtevaarder, vrou, vroulike ruimtevaarder, vuurpyl
👩🏻‍🚀	ligte velkleur, ruimte, ruimtevaarder, vrou, vroulike ruimtevaarder, vroulike ruimtevaarder: ligte velkleur, vuurpyl
👩🏼‍🚀	medium-ligte velkleur, ruimte, ruimtevaarder, vrou, vroulike ruimtevaarder, vroulike ruimtevaarder: medium-ligte velkleur, vuurpyl
👩🏽‍🚀	medium velkleur, ruimte, ruimtevaarder, vrou, vroulike ruimtevaarder, vroulike ruimtevaarder: medium velkleur, vuurpyl
👩🏾‍🚀	medium-donker velkleur, ruimte, ruimtevaarder, vrou, vroulike ruimtevaarder, vroulike ruimtevaarder: medium-donker velkleur, vuurpyl
👩🏿‍🚀	donker velkleur, ruimte, ruimtevaarder, vrou, vroulike ruimtevaarder, vroulike ruimtevaarder: donker velkleur, vuurpyl
🧑‍🚒	brandbestryder, brandweer, brandweerlorrie, brandweerman
🧑🏻‍🚒	brandbestryder, brandbestryder: ligte velkleur, brandweer, brandweerlorrie, brandweerman, ligte velkleur
🧑🏼‍🚒	brandbestryder, brandbestryder: medium-ligte velkleur, brandweer, brandweerlorrie, brandweerman, medium-ligte velkleur
🧑🏽‍🚒	brandbestryder, brandbestryder: medium velkleur, brandweer, brandweerlorrie, brandweerman, medium velkleur
🧑🏾‍🚒	brandbestryder, brandbestryder: medium-donker velkleur, brandweer, brandweerlorrie, brandweerman, medium-donker velkleur
🧑🏿‍🚒	brandbestryder, brandbestryder: donker velkleur, brandweer, brandweerlorrie, brandweerman, donker velkleur
👨‍🚒	brandweer, brandweerman, brandweerwa, man, nooddiens
👨🏻‍🚒	brandweer, brandweerman, brandweerman: ligte velkleur, brandweerwa, ligte velkleur, man, nooddiens
👨🏼‍🚒	brandweer, brandweerman, brandweerman: medium-ligte velkleur, brandweerwa, man, medium-ligte velkleur, nooddiens
👨🏽‍🚒	brandweer, brandweerman, brandweerman: medium velkleur, brandweerwa, man, medium velkleur, nooddiens
👨🏾‍🚒	brandweer, brandweerman, brandweerman: medium-donker velkleur, brandweerwa, man, medium-donker velkleur, nooddiens
👨🏿‍🚒	brandweer, brandweerman, brandweerman: donker velkleur, brandweerwa, donker velkleur, man, nooddiens
👩‍🚒	brandbestryder, brandweer, brandweervrou, brandweerwa, persoon, vrou
👩🏻‍🚒	brandbestryder, brandweer, brandweervrou, brandweervrou: ligte velkleur, brandweerwa, ligte velkleur, persoon, vrou
👩🏼‍🚒	brandbestryder, brandweer, brandweervrou, brandweervrou: medium-ligte velkleur, brandweerwa, medium-ligte velkleur, persoon, vrou
👩🏽‍🚒	brandbestryder, brandweer, brandweervrou, brandweervrou: medium velkleur, brandweerwa, medium velkleur, persoon, vrou
👩🏾‍🚒	brandbestryder, brandweer, brandweervrou, brandweervrou: medium-donker velkleur, brandweerwa, medium-donker velkleur, persoon, vrou
👩🏿‍🚒	brandbestryder, brandweer, brandweervrou, brandweervrou: donker velkleur, brandweerwa, donker velkleur, persoon, vrou
👮	aankeer, afgetrek, arresteer, beampte, in hegtenis neem, konstabel, man, persoon, polisie, polisie-offisier, polisiebeampte, speurder
👮🏻	aankeer, afgetrek, arresteer, beampte, in hegtenis neem, konstabel, ligte velkleur, man, persoon, polisie, polisie-offisier, polisiebeampte, polisiebeampte: ligte velkleur, speurder
👮🏼	aankeer, afgetrek, arresteer, beampte, in hegtenis neem, konstabel, man, medium-ligte velkleur, persoon, polisie, polisie-offisier, polisiebeampte, polisiebeampte: medium-ligte velkleur, speurder
👮🏽	aankeer, afgetrek, arresteer, beampte, in hegtenis neem, konstabel, man, medium velkleur, persoon, polisie, polisie-offisier, polisiebeampte, polisiebeampte: medium velkleur, speurder
👮🏾	aankeer, afgetrek, arresteer, beampte, in hegtenis neem, konstabel, man, medium-donker velkleur, persoon, polisie, polisie-offisier, polisiebeampte, polisiebeampte: medium-donker velkleur, speurder
👮🏿	aankeer, afgetrek, arresteer, beampte, donker velkleur, in hegtenis neem, konstabel, man, persoon, polisie, polisie-offisier, polisiebeampte, polisiebeampte: donker velkleur, speurder
👮‍♂	polisie, polisiebeampte, polisieman
👮🏻‍♂	ligte velkleur, polisie, polisiebeampte, polisieman, polisieman: ligte velkleur
👮🏼‍♂	medium-ligte velkleur, polisie, polisiebeampte, polisieman, polisieman: medium-ligte velkleur
👮🏽‍♂	medium velkleur, polisie, polisiebeampte, polisieman, polisieman: medium velkleur
👮🏾‍♂	medium-donker velkleur, polisie, polisiebeampte, polisieman, polisieman: medium-donker velkleur
👮🏿‍♂	donker velkleur, polisie, polisiebeampte, polisieman, polisieman: donker velkleur
👮‍♀	afgetrek, boetebessie, dienaar van die wet, gereg, geregsdienaar, konstabel, offisier, polisie, polisiebeampte, polisievrou, vrou, wet
👮🏻‍♀	afgetrek, boetebessie, dienaar van die wet, gereg, geregsdienaar, konstabel, ligte velkleur, offisier, polisie, polisiebeampte, polisievrou, polisievrou: ligte velkleur, vrou, wet
👮🏼‍♀	afgetrek, boetebessie, dienaar van die wet, gereg, geregsdienaar, konstabel, medium-ligte velkleur, offisier, polisie, polisiebeampte, polisievrou, polisievrou: medium-ligte velkleur, vrou, wet
👮🏽‍♀	afgetrek, boetebessie, dienaar van die wet, gereg, geregsdienaar, konstabel, medium velkleur, offisier, polisie, polisiebeampte, polisievrou, polisievrou: medium velkleur, vrou, wet
👮🏾‍♀	afgetrek, boetebessie, dienaar van die wet, gereg, geregsdienaar, konstabel, medium-donker velkleur, offisier, polisie, polisiebeampte, polisievrou, polisievrou: medium-donker velkleur, vrou, wet
👮🏿‍♀	afgetrek, boetebessie, dienaar van die wet, donker velkleur, gereg, geregsdienaar, konstabel, offisier, polisie, polisiebeampte, polisievrou, polisievrou: donker velkleur, vrou, wet
🕵️	man, ondersoekbeampte, privaat speurder, speurder, spioen
🕵🏻	ligte velkleur, man, ondersoekbeampte, privaat speurder, speurder, speurder: ligte velkleur, spioen
🕵🏼	man, medium-ligte velkleur, ondersoekbeampte, privaat speurder, speurder, speurder: medium-ligte velkleur, spioen
🕵🏽	man, medium velkleur, ondersoekbeampte, privaat speurder, speurder, speurder: medium velkleur, spioen
🕵🏾	man, medium-donker velkleur, ondersoekbeampte, privaat speurder, speurder, speurder: medium-donker velkleur, spioen
🕵🏿	donker velkleur, man, ondersoekbeampte, privaat speurder, speurder, speurder: donker velkleur, spioen
🕵‍♂	manlike speurder, speurder, spioen
🕵🏻‍♂	ligte velkleur, manlike speurder, manlike speurder: ligte velkleur, speurder, spioen
🕵🏼‍♂	manlike speurder, manlike speurder: medium-ligte velkleur, medium-ligte velkleur, speurder, spioen
🕵🏽‍♂	manlike speurder, manlike speurder: medium velkleur, medium velkleur, speurder, spioen
🕵🏾‍♂	manlike speurder, manlike speurder: medium-donker velkleur, medium-donker velkleur, speurder, spioen
🕵🏿‍♂	donker velkleur, manlike speurder, manlike speurder: donker velkleur, speurder, spioen
🕵‍♀	leidraad, ondersoek, speurder, spioen, vroulike speurder
🕵🏻‍♀	leidraad, ligte velkleur, ondersoek, speurder, spioen, vroulike speurder, vroulike speurder: ligte velkleur
🕵🏼‍♀	leidraad, medium-ligte velkleur, ondersoek, speurder, spioen, vroulike speurder, vroulike speurder: medium-ligte velkleur
🕵🏽‍♀	leidraad, medium velkleur, ondersoek, speurder, spioen, vroulike speurder, vroulike speurder: medium velkleur
🕵🏾‍♀	leidraad, medium-donker velkleur, ondersoek, speurder, spioen, vroulike speurder, vroulike speurder: medium-donker velkleur
🕵🏿‍♀	donker velkleur, leidraad, ondersoek, speurder, spioen, vroulike speurder, vroulike speurder: donker velkleur
💂	Buckingham-paleis, Londen, gardeoffisier, gardesoldaat, helm, wag
💂🏻	Buckingham-paleis, Londen, gardeoffisier, gardeoffisier: ligte velkleur, gardesoldaat, helm, ligte velkleur, wag
💂🏼	Buckingham-paleis, Londen, gardeoffisier, gardeoffisier: medium-ligte velkleur, gardesoldaat, helm, medium-ligte velkleur, wag
💂🏽	Buckingham-paleis, Londen, gardeoffisier, gardeoffisier: medium velkleur, gardesoldaat, helm, medium velkleur, wag
💂🏾	Buckingham-paleis, Londen, gardeoffisier, gardeoffisier: medium-donker velkleur, gardesoldaat, helm, medium-donker velkleur, wag
💂🏿	Buckingham-paleis, Londen, donker velkleur, gardeoffisier, gardeoffisier: donker velkleur, gardesoldaat, helm, wag
💂‍♂	manlike wag, wag
💂🏻‍♂	ligte velkleur, manlike wag, manlike wag: ligte velkleur, wag
💂🏼‍♂	manlike wag, manlike wag: medium-ligte velkleur, medium-ligte velkleur, wag
💂🏽‍♂	manlike wag, manlike wag: medium velkleur, medium velkleur, wag
💂🏾‍♂	manlike wag, manlike wag: medium-donker velkleur, medium-donker velkleur, wag
💂🏿‍♂	donker velkleur, manlike wag, manlike wag: donker velkleur, wag
💂‍♀	Buckingham-paleis, Londen, helm, vrou, vroulike wag, wag
💂🏻‍♀	Buckingham-paleis, Londen, helm, ligte velkleur, vrou, vroulike wag, vroulike wag: ligte velkleur, wag
💂🏼‍♀	Buckingham-paleis, Londen, helm, medium-ligte velkleur, vrou, vroulike wag, vroulike wag: medium-ligte velkleur, wag
💂🏽‍♀	Buckingham-paleis, Londen, helm, medium velkleur, vrou, vroulike wag, vroulike wag: medium velkleur, wag
💂🏾‍♀	Buckingham-paleis, Londen, helm, medium-donker velkleur, vrou, vroulike wag, vroulike wag: medium-donker velkleur, wag
💂🏿‍♀	Buckingham-paleis, Londen, donker velkleur, helm, vrou, vroulike wag, vroulike wag: donker velkleur, wag
🥷	geveg, kryger, ninja, oorlog, persoon, sluipmoordenaar, stilletjies, vaardighede, vegter, verberg
🥷🏻	geveg, kryger, ligte velkleur, ninja, ninja: ligte velkleur, oorlog, persoon, sluipmoordenaar, stilletjies, vaardighede, vegter, verberg
🥷🏼	geveg, kryger, medium-ligte velkleur, ninja, ninja: medium-ligte velkleur, oorlog, persoon, sluipmoordenaar, stilletjies, vaardighede, vegter, verberg
🥷🏽	geveg, kryger, medium velkleur, ninja, ninja: medium velkleur, oorlog, persoon, sluipmoordenaar, stilletjies, vaardighede, vegter, verberg
🥷🏾	geveg, kryger, medium-donker velkleur, ninja, ninja: medium-donker velkleur, oorlog, persoon, sluipmoordenaar, stilletjies, vaardighede, vegter, verberg
🥷🏿	donker velkleur, geveg, kryger, ninja, ninja: donker velkleur, oorlog, persoon, sluipmoordenaar, stilletjies, vaardighede, vegter, verberg
👷	aanbou, bouer, helm, herbou, herstel, hoed, konstruksie, konstruksiewerker, man, persoon, regmaak, veiligheidshelm, werk, werker
👷🏻	aanbou, bouer, helm, herbou, herstel, hoed, konstruksie, konstruksiewerker, konstruksiewerker: ligte velkleur, ligte velkleur, man, persoon, regmaak, veiligheidshelm, werk, werker
👷🏼	aanbou, bouer, helm, herbou, herstel, hoed, konstruksie, konstruksiewerker, konstruksiewerker: medium-ligte velkleur, man, medium-ligte velkleur, persoon, regmaak, veiligheidshelm, werk, werker
👷🏽	aanbou, bouer, helm, herbou, herstel, hoed, konstruksie, konstruksiewerker, konstruksiewerker: medium velkleur, man, medium velkleur, persoon, regmaak, veiligheidshelm, werk, werker
👷🏾	aanbou, bouer, helm, herbou, herstel, hoed, konstruksie, konstruksiewerker, konstruksiewerker: medium-donker velkleur, man, medium-donker velkleur, persoon, regmaak, veiligheidshelm, werk, werker
👷🏿	aanbou, bouer, donker velkleur, helm, herbou, herstel, hoed, konstruksie, konstruksiewerker, konstruksiewerker: donker velkleur, man, persoon, regmaak, veiligheidshelm, werk, werker
👷‍♂	konstruksie, man, manlike bouer, werker
👷🏻‍♂	konstruksie, ligte velkleur, man, manlike bouer, manlike bouer: ligte velkleur, werker
👷🏼‍♂	konstruksie, man, manlike bouer, manlike bouer: medium-ligte velkleur, medium-ligte velkleur, werker
👷🏽‍♂	konstruksie, man, manlike bouer, manlike bouer: medium velkleur, medium velkleur, werker
👷🏾‍♂	konstruksie, man, manlike bouer, manlike bouer: medium-donker velkleur, medium-donker velkleur, werker
👷🏿‍♂	donker velkleur, konstruksie, man, manlike bouer, manlike bouer: donker velkleur, werker
👷‍♀	bouer, helm, konstruksie, veiligheidshelm, vrou, vroulike bouer, werk, werker
👷🏻‍♀	bouer, helm, konstruksie, ligte velkleur, veiligheidshelm, vrou, vroulike bouer, vroulike bouer: ligte velkleur, werk, werker
👷🏼‍♀	bouer, helm, konstruksie, medium-ligte velkleur, veiligheidshelm, vrou, vroulike bouer, vroulike bouer: medium-ligte velkleur, werk, werker
👷🏽‍♀	bouer, helm, konstruksie, medium velkleur, veiligheidshelm, vrou, vroulike bouer, vroulike bouer: medium velkleur, werk, werker
👷🏾‍♀	bouer, helm, konstruksie, medium-donker velkleur, veiligheidshelm, vrou, vroulike bouer, vroulike bouer: medium-donker velkleur, werk, werker
👷🏿‍♀	bouer, donker velkleur, helm, konstruksie, veiligheidshelm, vrou, vroulike bouer, vroulike bouer: donker velkleur, werk, werker
🫅	adel, koning, koningin, koninklik, kroon, monarg, persoon met kroon
🫅🏻	adel, koning, koningin, koninklik, kroon, ligte velkleur, monarg, persoon met kroon, persoon met kroon: ligte velkleur
🫅🏼	adel, koning, koningin, koninklik, kroon, medium-ligte velkleur, monarg, persoon met kroon, persoon met kroon: medium-ligte velkleur
🫅🏽	adel, koning, koningin, koninklik, kroon, medium velkleur, monarg, persoon met kroon, persoon met kroon: medium velkleur
🫅🏾	adel, koning, koningin, koninklik, kroon, medium-donker velkleur, monarg, persoon met kroon, persoon met kroon: medium-donker velkleur
🫅🏿	adel, donker velkleur, koning, koningin, koninklik, kroon, monarg, persoon met kroon, persoon met kroon: donker velkleur
🤴	adel, adellik, adelstand, koninkryk, prins
🤴🏻	adel, adellik, adelstand, koninkryk, ligte velkleur, prins, prins: ligte velkleur
🤴🏼	adel, adellik, adelstand, koninkryk, medium-ligte velkleur, prins, prins: medium-ligte velkleur
🤴🏽	adel, adellik, adelstand, koninkryk, medium velkleur, prins, prins: medium velkleur
🤴🏾	adel, adellik, adelstand, koninkryk, medium-donker velkleur, prins, prins: medium-donker velkleur
🤴🏿	adel, adellik, adelstand, donker velkleur, koninkryk, prins, prins: donker velkleur
👸	fantasie, koningin, kroon, prinses, sprokie
👸🏻	fantasie, koningin, kroon, ligte velkleur, prinses, prinses: ligte velkleur, sprokie
👸🏼	fantasie, koningin, kroon, medium-ligte velkleur, prinses, prinses: medium-ligte velkleur, sprokie
👸🏽	fantasie, koningin, kroon, medium velkleur, prinses, prinses: medium velkleur, sprokie
👸🏾	fantasie, koningin, kroon, medium-donker velkleur, prinses, prinses: medium-donker velkleur, sprokie
👸🏿	donker velkleur, fantasie, koningin, kroon, prinses, prinses: donker velkleur, sprokie
👳	Indië, Indiër, Pakistan, Pakistani, man met tulband, offisier, persoon met tulband, tulband
👳🏻	Indië, Indiër, Pakistan, Pakistani, ligte velkleur, man met tulband, offisier, persoon met tulband, persoon met tulband: ligte velkleur, tulband
👳🏼	Indië, Indiër, Pakistan, Pakistani, man met tulband, medium-ligte velkleur, offisier, persoon met tulband, persoon met tulband: medium-ligte velkleur, tulband
👳🏽	Indië, Indiër, Pakistan, Pakistani, man met tulband, medium velkleur, offisier, persoon met tulband, persoon met tulband: medium velkleur, tulband
👳🏾	Indië, Indiër, Pakistan, Pakistani, man met tulband, medium-donker velkleur, offisier, persoon met tulband, persoon met tulband: medium-donker velkleur, tulband
👳🏿	Indië, Indiër, Pakistan, Pakistani, donker velkleur, man met tulband, offisier, persoon met tulband, persoon met tulband: donker velkleur, tulband
👳‍♂	man met tulband, tulband
👳🏻‍♂	ligte velkleur, man met tulband, man met tulband: ligte velkleur, tulband
👳🏼‍♂	man met tulband, man met tulband: medium-ligte velkleur, medium-ligte velkleur, tulband
👳🏽‍♂	man met tulband, man met tulband: medium velkleur, medium velkleur, tulband
👳🏾‍♂	man met tulband, man met tulband: medium-donker velkleur, medium-donker velkleur, tulband
👳🏿‍♂	donker velkleur, man met tulband, man met tulband: donker velkleur, tulband
👳‍♀	Indië, Indiër, tulband, vrou dra tulband, vrou met tulband
👳🏻‍♀	Indië, Indiër, ligte velkleur, tulband, vrou dra tulband, vrou met tulband, vrou met tulband: ligte velkleur
👳🏼‍♀	Indië, Indiër, medium-ligte velkleur, tulband, vrou dra tulband, vrou met tulband, vrou met tulband: medium-ligte velkleur
👳🏽‍♀	Indië, Indiër, medium velkleur, tulband, vrou dra tulband, vrou met tulband, vrou met tulband: medium velkleur
👳🏾‍♀	Indië, Indiër, medium-donker velkleur, tulband, vrou dra tulband, vrou met tulband, vrou met tulband: medium-donker velkleur
👳🏿‍♀	Indië, Indiër, donker velkleur, tulband, vrou dra tulband, vrou met tulband, vrou met tulband: donker velkleur
👲	hoed, kaneelbont, keps, man, man met Chinese mus, man met mus, mus
👲🏻	hoed, kaneelbont, keps, ligte velkleur, man, man met Chinese mus, man met mus, man met mus: ligte velkleur, mus
👲🏼	hoed, kaneelbont, keps, man, man met Chinese mus, man met mus, man met mus: medium-ligte velkleur, medium-ligte velkleur, mus
👲🏽	hoed, kaneelbont, keps, man, man met Chinese mus, man met mus, man met mus: medium velkleur, medium velkleur, mus
👲🏾	hoed, kaneelbont, keps, man, man met Chinese mus, man met mus, man met mus: medium-donker velkleur, medium-donker velkleur, mus
👲🏿	donker velkleur, hoed, kaneelbont, keps, man, man met Chinese mus, man met mus, man met mus: donker velkleur, mus
🧕	bandana, hiijab, hijab, kopdoek, mantilla, vrou met kopdoek
🧕🏻	bandana, hiijab, hijab, kopdoek, ligte velkleur, mantilla, vrou met kopdoek, vrou met kopdoek: ligte velkleur
🧕🏼	bandana, hiijab, hijab, kopdoek, mantilla, medium-ligte velkleur, vrou met kopdoek, vrou met kopdoek: medium-ligte velkleur
🧕🏽	bandana, hiijab, hijab, kopdoek, mantilla, medium velkleur, vrou met kopdoek, vrou met kopdoek: medium velkleur
🧕🏾	bandana, hiijab, hijab, kopdoek, mantilla, medium-donker velkleur, vrou met kopdoek, vrou met kopdoek: medium-donker velkleur
🧕🏿	bandana, donker velkleur, hiijab, hijab, kopdoek, mantilla, vrou met kopdoek, vrou met kopdoek: donker velkleur
🤵	aandpak, bruidegom, formeel, man, man in pak, pak, persoon, persoon in pak, persoon in tuxedo, tuxedo
🤵🏻	aandpak, bruidegom, formeel, ligte velkleur, man, man in pak, pak, persoon, persoon in pak, persoon in pak: ligte velkleur, persoon in tuxedo, tuxedo
🤵🏼	aandpak, bruidegom, formeel, man, man in pak, medium-ligte velkleur, pak, persoon, persoon in pak, persoon in pak: medium-ligte velkleur, persoon in tuxedo, tuxedo
🤵🏽	aandpak, bruidegom, formeel, man, man in pak, medium velkleur, pak, persoon, persoon in pak, persoon in pak: medium velkleur, persoon in tuxedo, tuxedo
🤵🏾	aandpak, bruidegom, formeel, man, man in pak, medium-donker velkleur, pak, persoon, persoon in pak, persoon in pak: medium-donker velkleur, persoon in tuxedo, tuxedo
🤵🏿	aandpak, bruidegom, donker velkleur, formeel, man, man in pak, pak, persoon, persoon in pak, persoon in pak: donker velkleur, persoon in tuxedo, tuxedo
🤵‍♂	man, man in pak, pak
🤵🏻‍♂	ligte velkleur, man, man in pak, man in pak: ligte velkleur, pak
🤵🏼‍♂	man, man in pak, man in pak: medium-ligte velkleur, medium-ligte velkleur, pak
🤵🏽‍♂	man, man in pak, man in pak: medium velkleur, medium velkleur, pak
