‾	garis atas
🚶🏽‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana, ton kulit sederhana
🚶🏾‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit sederhana gelap, ton kulit sederhana gelap
🚶🏿‍♂	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan: ton kulit gelap, ton kulit gelap
🚶‍♀	berjalan kaki, mendaki, perempuan, perempuan berjalan, wanita
🚶🏻‍♀	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit cerah, ton kulit cerah, wanita
🚶🏼‍♀	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🚶🏽‍♀	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana, ton kulit sederhana, wanita
🚶🏾‍♀	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🚶🏿‍♀	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan: ton kulit gelap, ton kulit gelap, wanita
🚶‍➡	berjalan, berjalan perlahan, jalan, kembara jalan kaki, lelaki berjalan, mendaki, orang berjalan, pejalan kaki, pejalan kaki menghadap kanan
🚶🏻‍➡	berjalan, berjalan perlahan, jalan, kembara jalan kaki, lelaki berjalan, mendaki, orang berjalan, pejalan kaki, pejalan kaki menghadap kanan
🚶🏼‍➡	berjalan, berjalan perlahan, jalan, kembara jalan kaki, lelaki berjalan, mendaki, orang berjalan, pejalan kaki, pejalan kaki menghadap kanan
🚶🏽‍➡	berjalan, berjalan perlahan, jalan, kembara jalan kaki, lelaki berjalan, mendaki, orang berjalan, pejalan kaki, pejalan kaki menghadap kanan
🚶🏾‍➡	berjalan, berjalan perlahan, jalan, kembara jalan kaki, lelaki berjalan, mendaki, orang berjalan, pejalan kaki, pejalan kaki menghadap kanan
🚶🏿‍➡	berjalan, berjalan perlahan, jalan, kembara jalan kaki, lelaki berjalan, mendaki, orang berjalan, pejalan kaki, pejalan kaki menghadap kanan
🚶‍♀‍➡	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan menghadap kanan, wanita
🚶🏻‍♀‍➡	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan menghadap kanan, wanita
🚶🏼‍♀‍➡	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan menghadap kanan, wanita
🚶🏽‍♀‍➡	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan menghadap kanan, wanita
🚶🏾‍♀‍➡	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan menghadap kanan, wanita
🚶🏿‍♀‍➡	berjalan kaki, mendaki, perempuan, perempuan berjalan, perempuan berjalan menghadap kanan, wanita
🚶‍♂‍➡	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan menghadap kanan
🚶🏻‍♂‍➡	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan menghadap kanan
🚶🏼‍♂‍➡	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan menghadap kanan
🚶🏽‍♂‍➡	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan menghadap kanan
🚶🏾‍♂‍➡	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan menghadap kanan
🚶🏿‍♂‍➡	berjalan kaki, lelaki, lelaki berjalan, lelaki berjalan menghadap kanan
🧍	bangun, berdiri, orang berdiri
🧍🏻	bangun, berdiri, orang berdiri, orang berdiri: ton kulit cerah, ton kulit cerah
🧍🏼	bangun, berdiri, orang berdiri, orang berdiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🧍🏽	bangun, berdiri, orang berdiri, orang berdiri: ton kulit sederhana, ton kulit sederhana
🧍🏾	bangun, berdiri, orang berdiri, orang berdiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🧍🏿	bangun, berdiri, orang berdiri, orang berdiri: ton kulit gelap, ton kulit gelap
🧍‍♂	berdiri, lelaki, lelaki berdiri
🧍🏻‍♂	berdiri, lelaki, lelaki berdiri: ton kulit cerah, ton kulit cerah
🧍🏼‍♂	berdiri, lelaki, lelaki berdiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🧍🏽‍♂	berdiri, lelaki, lelaki berdiri: ton kulit sederhana, ton kulit sederhana
🧍🏾‍♂	berdiri, lelaki, lelaki berdiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🧍🏿‍♂	berdiri, lelaki, lelaki berdiri: ton kulit gelap, ton kulit gelap
🧍‍♀	berdiri, perempuan, perempuan berdiri
🧍🏻‍♀	berdiri, perempuan, perempuan berdiri: ton kulit cerah, ton kulit cerah
🧍🏼‍♀	berdiri, perempuan, perempuan berdiri: ton kulit sederhana cerah, ton kulit sederhana cerah
🧍🏽‍♀	berdiri, perempuan, perempuan berdiri: ton kulit sederhana, ton kulit sederhana
🧍🏾‍♀	berdiri, perempuan, perempuan berdiri: ton kulit sederhana gelap, ton kulit sederhana gelap
🧍🏿‍♀	berdiri, perempuan, perempuan berdiri: ton kulit gelap, ton kulit gelap
🧎	bersimpuh, melutut, orang bersimpuh
🧎🏻	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit cerah, ton kulit cerah
🧎🏼	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit sederhana cerah, ton kulit sederhana cerah
🧎🏽	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit sederhana, ton kulit sederhana
🧎🏾	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit sederhana gelap, ton kulit sederhana gelap
🧎🏿	bersimpuh, melutut, orang bersimpuh, orang bersimpuh: ton kulit gelap, ton kulit gelap
🧎‍♂	bersimpuh, lelaki, lelaki bersimpuh
🧎🏻‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit cerah, ton kulit cerah
🧎🏼‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit sederhana cerah, ton kulit sederhana cerah
🧎🏽‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit sederhana, ton kulit sederhana
🧎🏾‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit sederhana gelap, ton kulit sederhana gelap
🧎🏿‍♂	bersimpuh, lelaki, lelaki bersimpuh: ton kulit gelap, ton kulit gelap
🧎‍♀	bersimpuh, perempuan, perempuan bersimpuh
🧎🏻‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit cerah, ton kulit cerah
🧎🏼‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit sederhana cerah, ton kulit sederhana cerah
🧎🏽‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit sederhana, ton kulit sederhana
🧎🏾‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit sederhana gelap, ton kulit sederhana gelap
🧎🏿‍♀	bersimpuh, perempuan, perempuan bersimpuh: ton kulit gelap, ton kulit gelap
🧎‍➡	bersimpuh, melutut, orang bersimpuh, orang bersimpuh menghadap kanan
🧎🏻‍➡	bersimpuh, melutut, orang bersimpuh, orang bersimpuh menghadap kanan
🧎🏼‍➡	bersimpuh, melutut, orang bersimpuh, orang bersimpuh menghadap kanan
🧎🏽‍➡	bersimpuh, melutut, orang bersimpuh, orang bersimpuh menghadap kanan
🧎🏾‍➡	bersimpuh, melutut, orang bersimpuh, orang bersimpuh menghadap kanan
🧎🏿‍➡	bersimpuh, melutut, orang bersimpuh, orang bersimpuh menghadap kanan
🧎‍♀‍➡	bersimpuh, perempuan, perempuan bersimpuh menghadap kanan
🧎🏻‍♀‍➡	bersimpuh, perempuan, perempuan bersimpuh menghadap kanan
🧎🏼‍♀‍➡	bersimpuh, perempuan, perempuan bersimpuh menghadap kanan
🧎🏽‍♀‍➡	bersimpuh, perempuan, perempuan bersimpuh menghadap kanan
🧎🏾‍♀‍➡	bersimpuh, perempuan, perempuan bersimpuh menghadap kanan
🧎🏿‍♀‍➡	bersimpuh, perempuan, perempuan bersimpuh menghadap kanan
🧎‍♂‍➡	bersimpuh, lelaki, lelaki bersimpuh menghadap kanan
🧎🏻‍♂‍➡	bersimpuh, lelaki, lelaki bersimpuh menghadap kanan
🧎🏼‍♂‍➡	bersimpuh, lelaki, lelaki bersimpuh menghadap kanan
🧎🏽‍♂‍➡	bersimpuh, lelaki, lelaki bersimpuh menghadap kanan
🧎🏾‍♂‍➡	bersimpuh, lelaki, lelaki bersimpuh menghadap kanan
🧎🏿‍♂‍➡	bersimpuh, lelaki, lelaki bersimpuh menghadap kanan
🧑‍🦯	buta, kebolehsampaian, orang dengan tongkat putih
🧑🏻‍🦯	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih: ton kulit cerah, ton kulit cerah
🧑🏼‍🦯	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih: ton kulit sederhana cerah, ton kulit sederhana cerah
🧑🏽‍🦯	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih: ton kulit sederhana, ton kulit sederhana
🧑🏾‍🦯	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih: ton kulit sederhana gelap, ton kulit sederhana gelap
🧑🏿‍🦯	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih: ton kulit gelap, ton kulit gelap
🧑‍🦯‍➡	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih menghadap kanan
🧑🏻‍🦯‍➡	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih menghadap kanan
🧑🏼‍🦯‍➡	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih menghadap kanan
🧑🏽‍🦯‍➡	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih menghadap kanan
🧑🏾‍🦯‍➡	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih menghadap kanan
🧑🏿‍🦯‍➡	buta, kebolehsampaian, orang dengan tongkat putih, orang dengan tongkat putih menghadap kanan
👨‍🦯	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih, putih, tongkat
👨🏻‍🦯	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih: ton kulit cerah, putih, ton kulit cerah, tongkat
👨🏼‍🦯	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih: ton kulit sederhana cerah, putih, ton kulit sederhana cerah, tongkat
👨🏽‍🦯	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih: ton kulit sederhana, putih, ton kulit sederhana, tongkat
👨🏾‍🦯	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih: ton kulit sederhana gelap, putih, ton kulit sederhana gelap, tongkat
👨🏿‍🦯	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih: ton kulit gelap, putih, ton kulit gelap, tongkat
👨‍🦯‍➡	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih menghadap kanan, putih, tongkat
👨🏻‍🦯‍➡	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih menghadap kanan, putih, tongkat
👨🏼‍🦯‍➡	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih menghadap kanan, putih, tongkat
👨🏽‍🦯‍➡	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih menghadap kanan, putih, tongkat
👨🏾‍🦯‍➡	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih menghadap kanan, putih, tongkat
👨🏿‍🦯‍➡	buta, cacat penglihatan, kebolehcapaian, kelainan upaya, lelaki dengan tongkat putih menghadap kanan, putih, tongkat
👩‍🦯	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih, putih, tongkat, wanita
👩🏻‍🦯	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih: ton kulit cerah, putih, ton kulit cerah, tongkat, wanita
👩🏼‍🦯	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih: ton kulit sederhana cerah, putih, ton kulit sederhana cerah, tongkat, wanita
👩🏽‍🦯	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih: ton kulit sederhana, putih, ton kulit sederhana, tongkat, wanita
👩🏾‍🦯	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih: ton kulit sederhana gelap, putih, ton kulit sederhana gelap, tongkat, wanita
👩🏿‍🦯	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih: ton kulit gelap, putih, ton kulit gelap, tongkat, wanita
👩‍🦯‍➡	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih menghadap kanan, putih, tongkat, wanita
👩🏻‍🦯‍➡	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih menghadap kanan, putih, tongkat, wanita
👩🏼‍🦯‍➡	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih menghadap kanan, putih, tongkat, wanita
👩🏽‍🦯‍➡	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih menghadap kanan, putih, tongkat, wanita
👩🏾‍🦯‍➡	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih menghadap kanan, putih, tongkat, wanita
👩🏿‍🦯‍➡	buta, kebolecapaian, kurang upaya, penglihatan, perempuan, perempuan dengan tongkat putih menghadap kanan, putih, tongkat, wanita
🧑‍🦼	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor
🧑🏻‍🦼	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor: ton kulit cerah, ton kulit cerah
🧑🏼‍🦼	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor: ton kulit sederhana cerah, ton kulit sederhana cerah
🧑🏽‍🦼	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor: ton kulit sederhana, ton kulit sederhana
🧑🏾‍🦼	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor: ton kulit sederhana gelap, ton kulit sederhana gelap
🧑🏿‍🦼	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor: ton kulit gelap, ton kulit gelap
🧑‍🦼‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor menghadap kanan
🧑🏻‍🦼‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor menghadap kanan
🧑🏼‍🦼‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor menghadap kanan
🧑🏽‍🦼‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor menghadap kanan
🧑🏾‍🦼‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor menghadap kanan
🧑🏿‍🦼‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda bermotor, orang dalam kerusi roda bermotor menghadap kanan
👨‍🦼	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor
👨🏻‍🦼	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor: ton kulit cerah, ton kulit cerah
👨🏼‍🦼	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor: ton kulit sederhana cerah, ton kulit sederhana cerah
👨🏽‍🦼	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor: ton kulit sederhana, ton kulit sederhana
👨🏾‍🦼	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor: ton kulit sederhana gelap, ton kulit sederhana gelap
👨🏿‍🦼	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor: ton kulit gelap, ton kulit gelap
👨‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor menghadap kanan
👨🏻‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor menghadap kanan
👨🏼‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor menghadap kanan
👨🏽‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor menghadap kanan
👨🏾‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor menghadap kanan
👨🏿‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda bermotor menghadap kanan
👩‍🦼	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor, wanita
👩🏻‍🦼	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor: ton kulit cerah, ton kulit cerah, wanita
👩🏼‍🦼	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽‍🦼	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾‍🦼	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿‍🦼	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor: ton kulit gelap, ton kulit gelap, wanita
👩‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor menghadap kanan, wanita
👩🏻‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor menghadap kanan, wanita
👩🏼‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor menghadap kanan, wanita
👩🏽‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor menghadap kanan, wanita
👩🏾‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor menghadap kanan, wanita
👩🏿‍🦼‍➡	bermotor, kebolehcapaian, kerusi roda, perempuan dalam kerusi roda bermotor menghadap kanan, wanita
🧑‍🦽	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual
🧑🏻‍🦽	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual: ton kulit cerah, ton kulit cerah
🧑🏼‍🦽	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual: ton kulit sederhana cerah, ton kulit sederhana cerah
🧑🏽‍🦽	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual: ton kulit sederhana, ton kulit sederhana
🧑🏾‍🦽	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual: ton kulit sederhana gelap, ton kulit sederhana gelap
🧑🏿‍🦽	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual: ton kulit gelap, ton kulit gelap
🧑‍🦽‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual menghadap kanan
🧑🏻‍🦽‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual menghadap kanan
🧑🏼‍🦽‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual menghadap kanan
🧑🏽‍🦽‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual menghadap kanan
🧑🏾‍🦽‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual menghadap kanan
🧑🏿‍🦽‍➡	kebolehsampaian, kerusi roda, orang dalam kerusi roda manual, orang dalam kerusi roda manual menghadap kanan
👨‍🦽	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual, manual
👨🏻‍🦽	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual: ton kulit cerah, manual, ton kulit cerah
👨🏼‍🦽	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual: ton kulit sederhana cerah, manual, ton kulit sederhana cerah
👨🏽‍🦽	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual: ton kulit sederhana, manual, ton kulit sederhana
👨🏾‍🦽	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual: ton kulit sederhana gelap, manual, ton kulit sederhana gelap
👨🏿‍🦽	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual: ton kulit gelap, manual, ton kulit gelap
👨‍🦽‍➡	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual menghadap kanan, manual
👨🏻‍🦽‍➡	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual menghadap kanan, manual
👨🏼‍🦽‍➡	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual menghadap kanan, manual
👨🏽‍🦽‍➡	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual menghadap kanan, manual
👨🏾‍🦽‍➡	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual menghadap kanan, manual
👨🏿‍🦽‍➡	kebolehcapaian, kerusi roda, lelaki, lelaki dalam kerusi roda manual menghadap kanan, manual
👩‍🦽	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual, wanita
👩🏻‍🦽	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual: ton kulit cerah, ton kulit cerah, wanita
👩🏼‍🦽	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
👩🏽‍🦽	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual: ton kulit sederhana, ton kulit sederhana, wanita
👩🏾‍🦽	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
👩🏿‍🦽	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual: ton kulit gelap, ton kulit gelap, wanita
👩‍🦽‍➡	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual menghadap kanan, wanita
👩🏻‍🦽‍➡	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual menghadap kanan, wanita
👩🏼‍🦽‍➡	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual menghadap kanan, wanita
👩🏽‍🦽‍➡	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual menghadap kanan, wanita
👩🏾‍🦽‍➡	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual menghadap kanan, wanita
👩🏿‍🦽‍➡	kebolehcapaian, kerusi roda, manual, perempuan dalam kereta roda manual menghadap kanan, wanita
🏃	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, perlumbaan
🏃🏻	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari: ton kulit cerah, perlumbaan, ton kulit cerah
🏃🏼	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari: ton kulit sederhana cerah, perlumbaan, ton kulit sederhana cerah
🏃🏽	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari: ton kulit sederhana, perlumbaan, ton kulit sederhana
🏃🏾	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari: ton kulit sederhana gelap, perlumbaan, ton kulit sederhana gelap
🏃🏿	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari: ton kulit gelap, perlumbaan, ton kulit gelap
🏃‍♂	berlari, berlumba, lelaki, lelaki berlari, maraton
🏃🏻‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit cerah, maraton, ton kulit cerah
🏃🏼‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana cerah, maraton, ton kulit sederhana cerah
🏃🏽‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana, maraton, ton kulit sederhana
🏃🏾‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit sederhana gelap, maraton, ton kulit sederhana gelap
🏃🏿‍♂	berlari, berlumba, lelaki, lelaki berlari: ton kulit gelap, maraton, ton kulit gelap
🏃‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari, wanita
🏃🏻‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit cerah, ton kulit cerah, wanita
🏃🏼‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana cerah, ton kulit sederhana cerah, wanita
🏃🏽‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana, ton kulit sederhana, wanita
🏃🏾‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit sederhana gelap, ton kulit sederhana gelap, wanita
🏃🏿‍♀	berlari, berlumba, maraton, perempuan, perempuan berlari: ton kulit gelap, ton kulit gelap, wanita
🏃‍➡	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari menghadap kanan, perlumbaan
🏃🏻‍➡	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari menghadap kanan, perlumbaan
🏃🏼‍➡	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari menghadap kanan, perlumbaan
🏃🏽‍➡	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari menghadap kanan, perlumbaan
🏃🏾‍➡	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari menghadap kanan, perlumbaan
🏃🏿‍➡	berlari, cepat, kelajuan, lari, lumba, maraton, pantas, pelari, pelari menghadap kanan, perlumbaan
🏃‍♀‍➡	berlari, berlumba, maraton, perempuan, perempuan berlari menghadap kanan, wanita
🏃🏻‍♀‍➡	berlari, berlumba, maraton, perempuan, perempuan berlari menghadap kanan, wanita
🏃🏼‍♀‍➡	berlari, berlumba, maraton, perempuan, perempuan berlari menghadap kanan, wanita
🏃🏽‍♀‍➡	berlari, berlumba, maraton, perempuan, perempuan berlari menghadap kanan, wanita
🏃🏾‍♀‍➡	berlari, berlumba, maraton, perempuan, perempuan berlari menghadap kanan, wanita
🏃🏿‍♀‍➡	berlari, berlumba, maraton, perempuan, perempuan berlari menghadap kanan, wanita
🏃‍♂‍➡	berlari, berlumba, lelaki, lelaki berlari menghadap kanan, maraton
🏃🏻‍♂‍➡	berlari, berlumba, lelaki, lelaki berlari menghadap kanan, maraton
🏃🏼‍♂‍➡	berlari, berlumba, lelaki, lelaki berlari menghadap kanan, maraton
🏃🏽‍♂‍➡	berlari, berlumba, lelaki, lelaki berlari menghadap kanan, maraton
🏃🏾‍♂‍➡	berlari, berlumba, lelaki, lelaki berlari menghadap kanan, maraton
🏃🏿‍♂‍➡	berlari, berlumba, lelaki, lelaki berlari menghadap kanan, maraton
💃	menari, penari, perempuan, perempuan menari, pesta, salsa, wanita
💃🏻	menari, penari, perempuan, perempuan menari: ton kulit cerah, pesta, salsa, ton kulit cerah, wanita
