‾	föléhúzás, fölülhúzás, fölülvonás
👳🏾‍♀	közepesen sötét bőrtónus, nő, turbán, turbános nő, turbános nő: közepesen sötét bőrtónus
👳🏿‍♀	nő, sötét bőrtónus, turbán, turbános nő, turbános nő: sötét bőrtónus
👲	ember, kínai sapkás ember, sapka
👲🏻	ember, kínai sapkás ember, kínai sapkás ember: világos bőrtónus, sapka, világos bőrtónus
👲🏼	ember, kínai sapkás ember, kínai sapkás ember: közepesen világos bőrtónus, közepesen világos bőrtónus, sapka
👲🏽	ember, kínai sapkás ember, kínai sapkás ember: közepes bőrtónus, közepes bőrtónus, sapka
👲🏾	ember, kínai sapkás ember, kínai sapkás ember: közepesen sötét bőrtónus, közepesen sötét bőrtónus, sapka
👲🏿	ember, kínai sapkás ember, kínai sapkás ember: sötét bőrtónus, sapka, sötét bőrtónus
🧕	fejkendő, hidzsáb, kendő, mantilla, nő fejkendővel, ruházat, tichel
🧕🏻	fejkendő, hidzsáb, kendő, mantilla, nő fejkendővel, nő fejkendővel: világos bőrtónus, ruházat, tichel, világos bőrtónus
🧕🏼	fejkendő, hidzsáb, kendő, közepesen világos bőrtónus, mantilla, nő fejkendővel, nő fejkendővel: közepesen világos bőrtónus, ruházat, tichel
🧕🏽	fejkendő, hidzsáb, kendő, közepes bőrtónus, mantilla, nő fejkendővel, nő fejkendővel: közepes bőrtónus, ruházat, tichel
🧕🏾	fejkendő, hidzsáb, kendő, közepesen sötét bőrtónus, mantilla, nő fejkendővel, nő fejkendővel: közepesen sötét bőrtónus, ruházat, tichel
🧕🏿	fejkendő, hidzsáb, kendő, mantilla, nő fejkendővel, nő fejkendővel: sötét bőrtónus, ruházat, sötét bőrtónus, tichel
🤵	elegáns, ember, férfi, szmoking, szmokingos ember, szmokingos férfi, vőlegény, öltöny
🤵🏻	elegáns, ember, férfi, szmoking, szmokingos ember, szmokingos ember: világos bőrtónus, szmokingos férfi, világos bőrtónus, vőlegény, öltöny
🤵🏼	elegáns, ember, férfi, közepesen világos bőrtónus, szmoking, szmokingos ember, szmokingos ember: közepesen világos bőrtónus, szmokingos férfi, vőlegény, öltöny
🤵🏽	elegáns, ember, férfi, közepes bőrtónus, szmoking, szmokingos ember, szmokingos ember: közepes bőrtónus, szmokingos férfi, vőlegény, öltöny
🤵🏾	elegáns, ember, férfi, közepesen sötét bőrtónus, szmoking, szmokingos ember, szmokingos ember: közepesen sötét bőrtónus, szmokingos férfi, vőlegény, öltöny
🤵🏿	elegáns, ember, férfi, szmoking, szmokingos ember, szmokingos ember: sötét bőrtónus, szmokingos férfi, sötét bőrtónus, vőlegény, öltöny
🤵‍♂	férfi, szmoking, szmokingos férfi
🤵🏻‍♂	férfi, szmoking, szmokingos férfi, szmokingos férfi: világos bőrtónus, világos bőrtónus
🤵🏼‍♂	férfi, közepesen világos bőrtónus, szmoking, szmokingos férfi, szmokingos férfi: közepesen világos bőrtónus
🤵🏽‍♂	férfi, közepes bőrtónus, szmoking, szmokingos férfi, szmokingos férfi: közepes bőrtónus
🤵🏾‍♂	férfi, közepesen sötét bőrtónus, szmoking, szmokingos férfi, szmokingos férfi: közepesen sötét bőrtónus
🤵🏿‍♂	férfi, szmoking, szmokingos férfi, szmokingos férfi: sötét bőrtónus, sötét bőrtónus
🤵‍♀	nő, szmoking, szmokingos nő
🤵🏻‍♀	nő, szmoking, szmokingos nő, szmokingos nő: világos bőrtónus, világos bőrtónus
🤵🏼‍♀	közepesen világos bőrtónus, nő, szmoking, szmokingos nő, szmokingos nő: közepesen világos bőrtónus
🤵🏽‍♀	közepes bőrtónus, nő, szmoking, szmokingos nő, szmokingos nő: közepes bőrtónus
🤵🏾‍♀	közepesen sötét bőrtónus, nő, szmoking, szmokingos nő, szmokingos nő: közepesen sötét bőrtónus
🤵🏿‍♀	nő, szmoking, szmokingos nő, szmokingos nő: sötét bőrtónus, sötét bőrtónus
👰	ember, ember fátyollal, esküvő, fátyol, lakodalom, menyasszony, menyasszony fátyollal
👰🏻	ember, ember fátyollal, ember fátyollal: világos bőrtónus, esküvő, fátyol, lakodalom, menyasszony, menyasszony fátyollal, világos bőrtónus
👰🏼	ember, ember fátyollal, ember fátyollal: közepesen világos bőrtónus, esküvő, fátyol, közepesen világos bőrtónus, lakodalom, menyasszony, menyasszony fátyollal
👰🏽	ember, ember fátyollal, ember fátyollal: közepes bőrtónus, esküvő, fátyol, közepes bőrtónus, lakodalom, menyasszony, menyasszony fátyollal
👰🏾	ember, ember fátyollal, ember fátyollal: közepesen sötét bőrtónus, esküvő, fátyol, közepesen sötét bőrtónus, lakodalom, menyasszony, menyasszony fátyollal
👰🏿	ember, ember fátyollal, ember fátyollal: sötét bőrtónus, esküvő, fátyol, lakodalom, menyasszony, menyasszony fátyollal, sötét bőrtónus
👰‍♂	fátyol, férfi, férfi fátyollal
👰🏻‍♂	fátyol, férfi, férfi fátyollal, férfi fátyollal: világos bőrtónus, világos bőrtónus
👰🏼‍♂	fátyol, férfi, férfi fátyollal, férfi fátyollal: közepesen világos bőrtónus, közepesen világos bőrtónus
👰🏽‍♂	fátyol, férfi, férfi fátyollal, férfi fátyollal: közepes bőrtónus, közepes bőrtónus
👰🏾‍♂	fátyol, férfi, férfi fátyollal, férfi fátyollal: közepesen sötét bőrtónus, közepesen sötét bőrtónus
👰🏿‍♂	fátyol, férfi, férfi fátyollal, férfi fátyollal: sötét bőrtónus, sötét bőrtónus
👰‍♀	fátyol, nő, nő fátyollal
👰🏻‍♀	fátyol, nő, nő fátyollal, nő fátyollal: világos bőrtónus, világos bőrtónus
👰🏼‍♀	fátyol, közepesen világos bőrtónus, nő, nő fátyollal, nő fátyollal: közepesen világos bőrtónus
👰🏽‍♀	fátyol, közepes bőrtónus, nő, nő fátyollal, nő fátyollal: közepes bőrtónus
👰🏾‍♀	fátyol, közepesen sötét bőrtónus, nő, nő fátyollal, nő fátyollal: közepesen sötét bőrtónus
👰🏿‍♀	fátyol, nő, nő fátyollal, nő fátyollal: sötét bőrtónus, sötét bőrtónus
🤰	nő, terhes, terhes nő, várandós
🤰🏻	nő, terhes, terhes nő: világos bőrtónus, világos bőrtónus, várandós
🤰🏼	közepesen világos bőrtónus, nő, terhes, terhes nő: közepesen világos bőrtónus, várandós
🤰🏽	közepes bőrtónus, nő, terhes, terhes nő: közepes bőrtónus, várandós
🤰🏾	közepesen sötét bőrtónus, nő, terhes, terhes nő: közepesen sötét bőrtónus, várandós
🤰🏿	nő, sötét bőrtónus, terhes, terhes nő: sötét bőrtónus, várandós
🫃	has, puffadt, teli, terhes, terhes férfi
🫃🏻	has, puffadt, teli, terhes, terhes férfi, terhes férfi: világos bőrtónus, világos bőrtónus
🫃🏼	has, közepesen világos bőrtónus, puffadt, teli, terhes, terhes férfi, terhes férfi: közepesen világos bőrtónus
🫃🏽	has, közepes bőrtónus, puffadt, teli, terhes, terhes férfi, terhes férfi: közepes bőrtónus
🫃🏾	has, közepesen sötét bőrtónus, puffadt, teli, terhes, terhes férfi, terhes férfi: közepesen sötét bőrtónus
🫃🏿	has, puffadt, sötét bőrtónus, teli, terhes, terhes férfi, terhes férfi: sötét bőrtónus
🫄	has, puffadt, teli, terhes, terhes személy
🫄🏻	has, puffadt, teli, terhes, terhes személy, terhes személy: világos bőrtónus, világos bőrtónus
🫄🏼	has, közepesen világos bőrtónus, puffadt, teli, terhes, terhes személy, terhes személy: közepesen világos bőrtónus
🫄🏽	has, közepes bőrtónus, puffadt, teli, terhes, terhes személy, terhes személy: közepes bőrtónus
🫄🏾	has, közepesen sötét bőrtónus, puffadt, teli, terhes, terhes személy, terhes személy: közepesen sötét bőrtónus
🫄🏿	has, puffadt, sötét bőrtónus, teli, terhes, terhes személy, terhes személy: sötét bőrtónus
🤱	baba, etet, kisbaba, mell, szoptat, szoptatás
🤱🏻	baba, etet, kisbaba, mell, szoptat, szoptatás, szoptatás: világos bőrtónus, világos bőrtónus
🤱🏼	baba, etet, kisbaba, közepesen világos bőrtónus, mell, szoptat, szoptatás, szoptatás: közepesen világos bőrtónus
🤱🏽	baba, etet, kisbaba, közepes bőrtónus, mell, szoptat, szoptatás, szoptatás: közepes bőrtónus
🤱🏾	baba, etet, kisbaba, közepesen sötét bőrtónus, mell, szoptat, szoptatás, szoptatás: közepesen sötét bőrtónus
🤱🏿	baba, etet, kisbaba, mell, szoptat, szoptatás, szoptatás: sötét bőrtónus, sötét bőrtónus
👩‍🍼	anya, anyu, etetés, gondozás, kisbaba, kisbabát etető nő, mama, nő, újszülött
👩🏻‍🍼	anya, anyu, etetés, gondozás, kisbaba, kisbabát etető nő, kisbabát etető nő: világos bőrtónus, mama, nő, világos bőrtónus, újszülött
👩🏼‍🍼	anya, anyu, etetés, gondozás, kisbaba, kisbabát etető nő, kisbabát etető nő: közepesen világos bőrtónus, közepesen világos bőrtónus, mama, nő, újszülött
👩🏽‍🍼	anya, anyu, etetés, gondozás, kisbaba, kisbabát etető nő, kisbabát etető nő: közepes bőrtónus, közepes bőrtónus, mama, nő, újszülött
👩🏾‍🍼	anya, anyu, etetés, gondozás, kisbaba, kisbabát etető nő, kisbabát etető nő: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mama, nő, újszülött
👩🏿‍🍼	anya, anyu, etetés, gondozás, kisbaba, kisbabát etető nő, kisbabát etető nő: sötét bőrtónus, mama, nő, sötét bőrtónus, újszülött
👨‍🍼	apa, apu, apuka, etetés, férfi, gondozás, kisbaba, kisbabát etető férfi, újszülött
👨🏻‍🍼	apa, apu, apuka, etetés, férfi, gondozás, kisbaba, kisbabát etető férfi, kisbabát etető férfi: világos bőrtónus, világos bőrtónus, újszülött
👨🏼‍🍼	apa, apu, apuka, etetés, férfi, gondozás, kisbaba, kisbabát etető férfi, kisbabát etető férfi: közepesen világos bőrtónus, közepesen világos bőrtónus, újszülött
👨🏽‍🍼	apa, apu, apuka, etetés, férfi, gondozás, kisbaba, kisbabát etető férfi, kisbabát etető férfi: közepes bőrtónus, közepes bőrtónus, újszülött
👨🏾‍🍼	apa, apu, apuka, etetés, férfi, gondozás, kisbaba, kisbabát etető férfi, kisbabát etető férfi: közepesen sötét bőrtónus, közepesen sötét bőrtónus, újszülött
👨🏿‍🍼	apa, apu, apuka, etetés, férfi, gondozás, kisbaba, kisbabát etető férfi, kisbabát etető férfi: sötét bőrtónus, sötét bőrtónus, újszülött
🧑‍🍼	anya, anyu, ember, etetés, gondozás, kisbaba, kisbabát etető ember, kisbabát etető személy, mami, személy, szoptatás, újszülött
🧑🏻‍🍼	anya, anyu, ember, etetés, gondozás, kisbaba, kisbabát etető ember, kisbabát etető személy, kisbabát etető személy: világos bőrtónus, mami, személy, szoptatás, világos bőrtónus, újszülött
🧑🏼‍🍼	anya, anyu, ember, etetés, gondozás, kisbaba, kisbabát etető ember, kisbabát etető személy, kisbabát etető személy: közepesen világos bőrtónus, közepesen világos bőrtónus, mami, személy, szoptatás, újszülött
🧑🏽‍🍼	anya, anyu, ember, etetés, gondozás, kisbaba, kisbabát etető ember, kisbabát etető személy, kisbabát etető személy: közepes bőrtónus, közepes bőrtónus, mami, személy, szoptatás, újszülött
🧑🏾‍🍼	anya, anyu, ember, etetés, gondozás, kisbaba, kisbabát etető ember, kisbabát etető személy, kisbabát etető személy: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mami, személy, szoptatás, újszülött
🧑🏿‍🍼	anya, anyu, ember, etetés, gondozás, kisbaba, kisbabát etető ember, kisbabát etető személy, kisbabát etető személy: sötét bőrtónus, mami, személy, szoptatás, sötét bőrtónus, újszülött
👼	angyal, arc, baba, babaangyal, mese
👼🏻	angyal, arc, baba, babaangyal, babaangyal: világos bőrtónus, mese, világos bőrtónus
👼🏼	angyal, arc, baba, babaangyal, babaangyal: közepesen világos bőrtónus, közepesen világos bőrtónus, mese
👼🏽	angyal, arc, baba, babaangyal, babaangyal: közepes bőrtónus, közepes bőrtónus, mese
👼🏾	angyal, arc, baba, babaangyal, babaangyal: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mese
👼🏿	angyal, arc, baba, babaangyal, babaangyal: sötét bőrtónus, mese, sötét bőrtónus
🎅	arc, fej, karácsony, mikulás, télapó, ünnep, ünneplés
🎅🏻	arc, fej, karácsony, mikulás, mikulás: világos bőrtónus, télapó, világos bőrtónus, ünnep, ünneplés
🎅🏼	arc, fej, karácsony, közepesen világos bőrtónus, mikulás, mikulás: közepesen világos bőrtónus, télapó, ünnep, ünneplés
🎅🏽	arc, fej, karácsony, közepes bőrtónus, mikulás, mikulás: közepes bőrtónus, télapó, ünnep, ünneplés
🎅🏾	arc, fej, karácsony, közepesen sötét bőrtónus, mikulás, mikulás: közepesen sötét bőrtónus, télapó, ünnep, ünneplés
🎅🏿	arc, fej, karácsony, mikulás, mikulás: sötét bőrtónus, sötét bőrtónus, télapó, ünnep, ünneplés
🤶	Mikulás felesége, anyó, karácsony, mikulás ruhás anyó, ünnep
🤶🏻	Mikulás felesége, anyó, karácsony, mikulás ruhás anyó, mikulás ruhás anyó: világos bőrtónus, világos bőrtónus, ünnep
🤶🏼	Mikulás felesége, anyó, karácsony, közepesen világos bőrtónus, mikulás ruhás anyó, mikulás ruhás anyó: közepesen világos bőrtónus, ünnep
🤶🏽	Mikulás felesége, anyó, karácsony, közepes bőrtónus, mikulás ruhás anyó, mikulás ruhás anyó: közepes bőrtónus, ünnep
🤶🏾	Mikulás felesége, anyó, karácsony, közepesen sötét bőrtónus, mikulás ruhás anyó, mikulás ruhás anyó: közepesen sötét bőrtónus, ünnep
🤶🏿	Mikulás felesége, anyó, karácsony, mikulás ruhás anyó, mikulás ruhás anyó: sötét bőrtónus, sötét bőrtónus, ünnep
🧑‍🎄	Mikulás, ember, karácsony, mikulás, sapka, télapó, ünnepek
🧑🏻‍🎄	Mikulás, ember, karácsony, mikulás, sapka, télapó, télapó: világos bőrtónus, világos bőrtónus, ünnepek
🧑🏼‍🎄	Mikulás, ember, karácsony, közepesen világos bőrtónus, mikulás, sapka, télapó, télapó: közepesen világos bőrtónus, ünnepek
🧑🏽‍🎄	Mikulás, ember, karácsony, közepes bőrtónus, mikulás, sapka, télapó, télapó: közepes bőrtónus, ünnepek
🧑🏾‍🎄	Mikulás, ember, karácsony, közepesen sötét bőrtónus, mikulás, sapka, télapó, télapó: közepesen sötét bőrtónus, ünnepek
🧑🏿‍🎄	Mikulás, ember, karácsony, mikulás, sapka, sötét bőrtónus, télapó, télapó: sötét bőrtónus, ünnepek
🦸	batman, ember, hős, hősnő, jó, superman, szupererő, szuperhős, szuperképesség
🦸🏻	batman, ember, hős, hősnő, jó, superman, szupererő, szuperhős, szuperhős: világos bőrtónus, szuperképesség, világos bőrtónus
🦸🏼	batman, ember, hős, hősnő, jó, közepesen világos bőrtónus, superman, szupererő, szuperhős, szuperhős: közepesen világos bőrtónus, szuperképesség
🦸🏽	batman, ember, hős, hősnő, jó, közepes bőrtónus, superman, szupererő, szuperhős, szuperhős: közepes bőrtónus, szuperképesség
🦸🏾	batman, ember, hős, hősnő, jó, közepesen sötét bőrtónus, superman, szupererő, szuperhős, szuperhős: közepesen sötét bőrtónus, szuperképesség
🦸🏿	batman, ember, hős, hősnő, jó, superman, szupererő, szuperhős, szuperhős: sötét bőrtónus, szuperképesség, sötét bőrtónus
🦸‍♂	férfi, férfi szuperhős, hős, hősnő, jó, szuperképesség
🦸🏻‍♂	férfi, férfi szuperhős, férfi szuperhős: világos bőrtónus, hős, hősnő, jó, szuperképesség, világos bőrtónus
🦸🏼‍♂	férfi, férfi szuperhős, férfi szuperhős: közepesen világos bőrtónus, hős, hősnő, jó, közepesen világos bőrtónus, szuperképesség
🦸🏽‍♂	férfi, férfi szuperhős, férfi szuperhős: közepes bőrtónus, hős, hősnő, jó, közepes bőrtónus, szuperképesség
🦸🏾‍♂	férfi, férfi szuperhős, férfi szuperhős: közepesen sötét bőrtónus, hős, hősnő, jó, közepesen sötét bőrtónus, szuperképesség
🦸🏿‍♂	férfi, férfi szuperhős, férfi szuperhős: sötét bőrtónus, hős, hősnő, jó, szuperképesség, sötét bőrtónus
🦸‍♀	hős, hősnő, jó, nő, női szuperhős, szuperképesség
🦸🏻‍♀	hős, hősnő, jó, nő, női szuperhős, női szuperhős: világos bőrtónus, szuperképesség, világos bőrtónus
🦸🏼‍♀	hős, hősnő, jó, közepesen világos bőrtónus, nő, női szuperhős, női szuperhős: közepesen világos bőrtónus, szuperképesség
🦸🏽‍♀	hős, hősnő, jó, közepes bőrtónus, nő, női szuperhős, női szuperhős: közepes bőrtónus, szuperképesség
🦸🏾‍♀	hős, hősnő, jó, közepesen sötét bőrtónus, nő, női szuperhős, női szuperhős: közepesen sötét bőrtónus, szuperképesség
🦸🏿‍♀	hős, hősnő, jó, nő, női szuperhős, női szuperhős: sötét bőrtónus, szuperképesség, sötét bőrtónus
🦹	bűnöző, ember, főgonosz, gazember, gonosz, gonosztevő, rossz, szupererő, szupergonosz, szuperképesség
🦹🏻	bűnöző, ember, főgonosz, főgonosz: világos bőrtónus, gazember, gonosz, gonosztevő, rossz, szupererő, szupergonosz, szuperképesség, világos bőrtónus
🦹🏼	bűnöző, ember, főgonosz, főgonosz: közepesen világos bőrtónus, gazember, gonosz, gonosztevő, közepesen világos bőrtónus, rossz, szupererő, szupergonosz, szuperképesség
🦹🏽	bűnöző, ember, főgonosz, főgonosz: közepes bőrtónus, gazember, gonosz, gonosztevő, közepes bőrtónus, rossz, szupererő, szupergonosz, szuperképesség
🦹🏾	bűnöző, ember, főgonosz, főgonosz: közepesen sötét bőrtónus, gazember, gonosz, gonosztevő, közepesen sötét bőrtónus, rossz, szupererő, szupergonosz, szuperképesség
🦹🏿	bűnöző, ember, főgonosz, főgonosz: sötét bőrtónus, gazember, gonosz, gonosztevő, rossz, szupererő, szupergonosz, szuperképesség, sötét bőrtónus
🦹‍♂	bűnöző, férfi, férfi főgonosz, gazember, gonosz, szuperképesség
🦹🏻‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: világos bőrtónus, gazember, gonosz, szuperképesség, világos bőrtónus
🦹🏼‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: közepesen világos bőrtónus, gazember, gonosz, közepesen világos bőrtónus, szuperképesség
🦹🏽‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: közepes bőrtónus, gazember, gonosz, közepes bőrtónus, szuperképesség
🦹🏾‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: közepesen sötét bőrtónus, gazember, gonosz, közepesen sötét bőrtónus, szuperképesség
🦹🏿‍♂	bűnöző, férfi, férfi főgonosz, férfi főgonosz: sötét bőrtónus, gazember, gonosz, szuperképesség, sötét bőrtónus
🦹‍♀	bűnöző, gazember, gonosz, nő, női főgonosz, szuperképesség
🦹🏻‍♀	bűnöző, gazember, gonosz, nő, női főgonosz, női főgonosz: világos bőrtónus, szuperképesség, világos bőrtónus
🦹🏼‍♀	bűnöző, gazember, gonosz, közepesen világos bőrtónus, nő, női főgonosz, női főgonosz: közepesen világos bőrtónus, szuperképesség
🦹🏽‍♀	bűnöző, gazember, gonosz, közepes bőrtónus, nő, női főgonosz, női főgonosz: közepes bőrtónus, szuperképesség
🦹🏾‍♀	bűnöző, gazember, gonosz, közepesen sötét bőrtónus, nő, női főgonosz, női főgonosz: közepesen sötét bőrtónus, szuperképesség
🦹🏿‍♀	bűnöző, gazember, gonosz, nő, női főgonosz, női főgonosz: sötét bőrtónus, szuperképesség, sötét bőrtónus
🧙	boszorkány, boszorkánymester, bűbáj, férfi boszorkány, mese, mágia, mágus, varázsige, varázslat, varázslás, varázsló
🧙🏻	boszorkány, boszorkánymester, bűbáj, férfi boszorkány, mese, mágia, mágus, varázsige, varázslat, varázslás, varázsló, varázsló: világos bőrtónus, világos bőrtónus
🧙🏼	boszorkány, boszorkánymester, bűbáj, férfi boszorkány, közepesen világos bőrtónus, mese, mágia, mágus, varázsige, varázslat, varázslás, varázsló, varázsló: közepesen világos bőrtónus
🧙🏽	boszorkány, boszorkánymester, bűbáj, férfi boszorkány, közepes bőrtónus, mese, mágia, mágus, varázsige, varázslat, varázslás, varázsló, varázsló: közepes bőrtónus
🧙🏾	boszorkány, boszorkánymester, bűbáj, férfi boszorkány, közepesen sötét bőrtónus, mese, mágia, mágus, varázsige, varázslat, varázslás, varázsló, varázsló: közepesen sötét bőrtónus
🧙🏿	boszorkány, boszorkánymester, bűbáj, férfi boszorkány, mese, mágia, mágus, sötét bőrtónus, varázsige, varázslat, varázslás, varázsló, varázsló: sötét bőrtónus
🧙‍♂	boszorkánymester, férfi varázsló, mágus
🧙🏻‍♂	boszorkánymester, férfi varázsló, férfi varázsló: világos bőrtónus, mágus, világos bőrtónus
🧙🏼‍♂	boszorkánymester, férfi varázsló, férfi varázsló: közepesen világos bőrtónus, közepesen világos bőrtónus, mágus
🧙🏽‍♂	boszorkánymester, férfi varázsló, férfi varázsló: közepes bőrtónus, közepes bőrtónus, mágus
🧙🏾‍♂	boszorkánymester, férfi varázsló, férfi varázsló: közepesen sötét bőrtónus, közepesen sötét bőrtónus, mágus
🧙🏿‍♂	boszorkánymester, férfi varázsló, férfi varázsló: sötét bőrtónus, mágus, sötét bőrtónus
🧙‍♀	boszorkány, varázslónő
🧙🏻‍♀	boszorkány, varázslónő, varázslónő: világos bőrtónus, világos bőrtónus
🧙🏼‍♀	boszorkány, közepesen világos bőrtónus, varázslónő, varázslónő: közepesen világos bőrtónus
🧙🏽‍♀	boszorkány, közepes bőrtónus, varázslónő, varázslónő: közepes bőrtónus
🧙🏾‍♀	boszorkány, közepesen sötét bőrtónus, varázslónő, varázslónő: közepesen sötét bőrtónus
🧙🏿‍♀	boszorkány, sötét bőrtónus, varázslónő, varázslónő: sötét bőrtónus
🧚	Oberon, Puck, Titánia, lepke, mese, pillangó, szárny, tündér, tündérmese
🧚🏻	Oberon, Puck, Titánia, lepke, mese, pillangó, szárny, tündér, tündér: világos bőrtónus, tündérmese, világos bőrtónus
🧚🏼	Oberon, Puck, Titánia, közepesen világos bőrtónus, lepke, mese, pillangó, szárny, tündér, tündér: közepesen világos bőrtónus, tündérmese
🧚🏽	Oberon, Puck, Titánia, közepes bőrtónus, lepke, mese, pillangó, szárny, tündér, tündér: közepes bőrtónus, tündérmese
🧚🏾	Oberon, Puck, Titánia, közepesen sötét bőrtónus, lepke, mese, pillangó, szárny, tündér, tündér: közepesen sötét bőrtónus, tündérmese
🧚🏿	Oberon, Puck, Titánia, lepke, mese, pillangó, szárny, sötét bőrtónus, tündér, tündér: sötét bőrtónus, tündérmese
🧚‍♂	Oberon, Puck, férfi tündér
🧚🏻‍♂	Oberon, Puck, férfi tündér, férfi tündér: világos bőrtónus, világos bőrtónus
🧚🏼‍♂	Oberon, Puck, férfi tündér, férfi tündér: közepesen világos bőrtónus, közepesen világos bőrtónus
🧚🏽‍♂	Oberon, Puck, férfi tündér, férfi tündér: közepes bőrtónus, közepes bőrtónus
🧚🏾‍♂	Oberon, Puck, férfi tündér, férfi tündér: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🧚🏿‍♂	Oberon, Puck, férfi tündér, férfi tündér: sötét bőrtónus, sötét bőrtónus
🧚‍♀	Titánia, női tündér
🧚🏻‍♀	Titánia, női tündér, női tündér: világos bőrtónus, világos bőrtónus
🧚🏼‍♀	Titánia, közepesen világos bőrtónus, női tündér, női tündér: közepesen világos bőrtónus
🧚🏽‍♀	Titánia, közepes bőrtónus, női tündér, női tündér: közepes bőrtónus
🧚🏾‍♀	Titánia, közepesen sötét bőrtónus, női tündér, női tündér: közepesen sötét bőrtónus
🧚🏿‍♀	Titánia, női tündér, női tündér: sötét bőrtónus, sötét bőrtónus
🧛	Drakula, fogak, vámpír, vér, élőhalott
🧛🏻	Drakula, fogak, világos bőrtónus, vámpír, vámpír: világos bőrtónus, vér, élőhalott
🧛🏼	Drakula, fogak, közepesen világos bőrtónus, vámpír, vámpír: közepesen világos bőrtónus, vér, élőhalott
🧛🏽	Drakula, fogak, közepes bőrtónus, vámpír, vámpír: közepes bőrtónus, vér, élőhalott
🧛🏾	Drakula, fogak, közepesen sötét bőrtónus, vámpír, vámpír: közepesen sötét bőrtónus, vér, élőhalott
🧛🏿	Drakula, fogak, sötét bőrtónus, vámpír, vámpír: sötét bőrtónus, vér, élőhalott
🧛‍♂	Drakula, férfi vámpír, élőhalott, élőholt
🧛🏻‍♂	Drakula, férfi vámpír, férfi vámpír: világos bőrtónus, világos bőrtónus, élőhalott, élőholt
🧛🏼‍♂	Drakula, férfi vámpír, férfi vámpír: közepesen világos bőrtónus, közepesen világos bőrtónus, élőhalott, élőholt
🧛🏽‍♂	Drakula, férfi vámpír, férfi vámpír: közepes bőrtónus, közepes bőrtónus, élőhalott, élőholt
🧛🏾‍♂	Drakula, férfi vámpír, férfi vámpír: közepesen sötét bőrtónus, közepesen sötét bőrtónus, élőhalott, élőholt
🧛🏿‍♂	Drakula, férfi vámpír, férfi vámpír: sötét bőrtónus, sötét bőrtónus, élőhalott, élőholt
🧛‍♀	női vámpír, élőhalott, élőholt
🧛🏻‍♀	női vámpír, női vámpír: világos bőrtónus, világos bőrtónus, élőhalott, élőholt
🧛🏼‍♀	közepesen világos bőrtónus, női vámpír, női vámpír: közepesen világos bőrtónus, élőhalott, élőholt
🧛🏽‍♀	közepes bőrtónus, női vámpír, női vámpír: közepes bőrtónus, élőhalott, élőholt
🧛🏾‍♀	közepesen sötét bőrtónus, női vámpír, női vámpír: közepesen sötét bőrtónus, élőhalott, élőholt
🧛🏿‍♀	női vámpír, női vámpír: sötét bőrtónus, sötét bőrtónus, élőhalott, élőholt
🧜	hablegény, hableány, mese, sellő, szirén, tündérmese, óceán
🧜🏻	hablegény, hableány, mese, sellő, sellő: világos bőrtónus, szirén, tündérmese, világos bőrtónus, óceán
🧜🏼	hablegény, hableány, közepesen világos bőrtónus, mese, sellő, sellő: közepesen világos bőrtónus, szirén, tündérmese, óceán
🧜🏽	hablegény, hableány, közepes bőrtónus, mese, sellő, sellő: közepes bőrtónus, szirén, tündérmese, óceán
🧜🏾	hablegény, hableány, közepesen sötét bőrtónus, mese, sellő, sellő: közepesen sötét bőrtónus, szirén, tündérmese, óceán
🧜🏿	hablegény, hableány, mese, sellő, sellő: sötét bőrtónus, szirén, sötét bőrtónus, tündérmese, óceán
🧜‍♂	Triton, férfi sellő
🧜🏻‍♂	Triton, férfi sellő, férfi sellő: világos bőrtónus, világos bőrtónus
🧜🏼‍♂	Triton, férfi sellő, férfi sellő: közepesen világos bőrtónus, közepesen világos bőrtónus
🧜🏽‍♂	Triton, férfi sellő, férfi sellő: közepes bőrtónus, közepes bőrtónus
🧜🏾‍♂	Triton, férfi sellő, férfi sellő: közepesen sötét bőrtónus, közepesen sötét bőrtónus
🧜🏿‍♂	Triton, férfi sellő, férfi sellő: sötét bőrtónus, sötét bőrtónus
🧜‍♀	női sellő, sellőlány
🧜🏻‍♀	női sellő, sellőlány, sellőlány: világos bőrtónus, világos bőrtónus
🧜🏼‍♀	közepesen világos bőrtónus, női sellő, sellőlány, sellőlány: közepesen világos bőrtónus
🧜🏽‍♀	közepes bőrtónus, női sellő, sellőlány, sellőlány: közepes bőrtónus
🧜🏾‍♀	közepesen sötét bőrtónus, női sellő, sellőlány, sellőlány: közepesen sötét bőrtónus
🧜🏿‍♀	női sellő, sellőlány, sellőlány: sötét bőrtónus, sötét bőrtónus
🧝	fantasy, kobold, manó, mese, mágikus, tünde, varázslat, varázslatos
🧝🏻	fantasy, kobold, manó, mese, mágikus, tünde, tünde: világos bőrtónus, varázslat, varázslatos, világos bőrtónus
