🍼	aannan, daa’ima, finna, kan daa’imaa, qaruura, xuuxxoo
🥛	aannan, birciqqoo, dhugaatii
☕️	buna, dhugaatii, dhuguu, ganama, ho’aa, hurkuu, istaarbaaksii, kaafeenii, kaaffee, shaayii
🫖	Naquu, Nyaata, shayii, xuwwee shayii
🍵	dhugaatii, dhuguu, shaayii, shiinii, shiinii shaayii qabannoo qabu
🍶	dhugaatii, finjaala, mana dhugaatii, mana nyaataa, qaruura
🍾	dhugaatii, futta’uu, koorkii, mana dhugaatii, qaruura, qaruura koorkii futta’aa jiru waliin
🍷	alkoolii, birciqqoo, dhugaatii, dhuguu, kilebii, mana dhugaatii, mana nyaataa, wayinii, wayinii birciqqootti naqame
🍸️	alkoolii, birciqqoo, dhugaatii, dhuguu, mana dhugaatii, nama maraataa
🍹	alkoolii, dhugaatii, dhugaatii tirooppikaalii, dhuguu, kilebii, mana dhugaatii, qophii
🍺	alkoolii, biiraa, dhugaatii, dhuguu, diraaftii, jaamboo, jarmanii, mana dhugaatii
🍻	alkoolii, biiraa, chiirsii, dhugaatii, jaamboo, mana dhugaatii
🥂	ayyaaneffachuu, burcuqqoo, chiirs, dhuguu
🥃	burcuqqoo, wuskii
🫗	bishaan, cobsi, dhangalaasi, dhangalaasuu
🥤	biqila, bishaan, cuunfaa, dhugaatii lallafaa, shiinii haftee qabu, soodaa
🧋	nyaata, shaayee, shaayee baabilii, taayiwaan
🧃	cuunfaa, dhugaatii, haftee, mi’awaa, saanduqa
🧉	dhugaatii, jaala, michuu
🧊	cabbii, diilalla, rog-arfee cabbii, tuullaa cabbii
🥢	choopistiikii, haashii, jiyootgaraak, kuwaayizii
🍽️	bilcheessuu, fal’aana, fal’aana fi haaduu saanii waliin, haaduu, irbaata, nyaachuu, qoorbii, saanii
🍴	albee, beela’uu, bilcheesuu, ciree, fal’aana, fal’aana fi albee, irbaata, laaqana, mana nyaataa, mi’aawaa, nyaachuu, nyaata, sooruu
🥄	fal’aana, meeshaa minjaalaa, nyaachuu
🔪	albee, haaduu, haaduu golaa, haaduu kushinaa, meeshaa, meeshaa waraanaa, nyaata bilcheessu, sheefii
🫙	duwwaa, homtinuu, huubboo
🏺	bilcheessuu, dooccoo, joogii, meeshaa, meeshaa waraanaa, xuwwee, zoodiyaak
🌍	Afrikaa, Awurooppaa, addunyaa, awurooppaa, dachee, giloobii, giloobii Awurooppaa-Afrikaa agarsiisu
🌎️	Ameerikaa, dachee, giloobii, giloobii Ameerikaa agarsiisu
🌏	Awustiraaliyaa, Eeshiyaa, addunyaa, dachee, giloobii, giloobii Eeshiyaa-Awustiraaliyaa agarsiisu
🌐	addunyaa, dachee, giloobii, giloobii meeridiyaanota qabu, interneetii, marsariitii addunyaa guutuu, meeridiyaanota
🗺️	addunyaa, kaartaa
🗾	Jaappaan, kaartaa
🧭	kallattii, kallattii agarsiisuu, kompaasii, maagineettawaa, naavigeeshinii
🏔️	cabbii, qorraa, tulluu, tulluu mataan cabbii
⛰️	gaara
🌋	dho’iinsa, gaara, uumama, voolkaanoo
🗻	fujii, gaara, uumama
🏕️	buufachuu, qubachuu
🏖️	dibaabee, handaara galaanaa, handaara galaanaa dibaabee qabu
🏜️	gammoojjii, lafa onaa
🏝️	gammoojjii, odoola
🏞️	paarkii, paarkii biyyoolessaa
🏟️	istaadiyeemii
🏛️	gamoo durii, kan durii
🏗️	ijaarsa, ijaarsa gamoo, kireenii
🧱	keenyaa, moortaarii, suphee, xuubii, xuubiiwwan
🪨	Jabaataa, dhagaa, dhagaa guddaa, dhagaa xinnaa
🪵	Qoraan, jirma, mukaa
🛖	gaaddisa, godoo, mana
🏘️	mana, qe’ee
🏚️	mana, mana jireenyaa, onaa
🏠️	bakka qalbiin jirtu, gamoo, horsiisa loonii, mana, mana salphaa, qarqara magaalaa, qe’ee, qe’ee biyyaa, qubachuu
🏡	bakka qalbiin jirtu, gamoo, horsiisa loonii, mana, mana iddoo biqiltuu qabu, mana salphaa, qarqara magaalaa, qe’ee, qe’ee biqiltuu, qe’ee biyyaa, qubachuu
🏢	gamoo, gamoo wajjiraa, hojii, kuubii, magaalaa, wajjira
🏣	Jaappaan, gamoo, poostaa, waajjira poostaa Jaappaan
🏤	Awuroppaa, gamoo, poostaa, wajjira poostaa
🏥	doctora, gamoo, hospitaala, ogeessa yaalaa, qoricha
🏦	baankii, gamoo
🏨	gamoo, hoteela
🏩	gamoo, hoteela, hoteela jaalalaa
🏪	24, gamoo, kuusaa, kuusaa mijataa, mijannaa, sa’aatii 24
🏫	gamoo, mana barumsaa
🏬	dunkaana, dunkaana qajeelchaa, gamoo, qajeelcha
🏭️	gamoo, warshaa
🏯	Jaappaan, gamoo, masaraa
🏰	gamoowwan, kan Awurooppaa, masaraa
💒	cidha, mana sagadaa, miira jaalalaa, sirna gaa’elaa, waldaa
🗼	tookiyoo, utubaa
🗽	birmadummaa, niiwu yoork, ny, nyc, siidaa
⛪️	amantii, eebbisuu, fannoo, kiristaana, mana sagadaa, waldaa
🕌	Musliima, amantaa, islaama, masjiida
🛕	hinduu, mana qulqullummaa, mana sagadaa, mana waaqeffannaa
🕍	Yihudii, Yihudoota, amantaa, amantii Yihudotaa, mana qulqullummaa, mana sagadaa
⛩️	amtantaa, mana qulqullummaa
🕋	amantaa, hajjii, islaama, kaaba, umraa
⛲️	Fincawaa
⛺️	buufata kaampii, dunkaana
🌁	hurrii
🌃	halkan, halkan urjiilee waliin, urjii
🏙️	fakkaattii magaalaa, magaalaa
🌄	baha biiftuu, biiftuu, biiftuu gaara irraan baatu, gaara, ganama
🌅	baha biiftuu, biiftuu, ganama, uumama
🌆	aduu, galgala, gamoo, lixa biiftuu, magaalaa, waarii
🌇	aduu, biiftuu, galgala, gamoo, lixa biiftuu
🌉	halkan, riqicha, riqicha halkanii
♨️	burqaa ho’ituu, burqituu, ho’aa, hurkituu
🎠	bohaartii, farda, karooseelii
🛝	iddoo taphaa, mucucaataa, mucucoo, taphachuu
🎡	korboo, paarkii bashannanaa
🎢	paarkii bashannanaa
💈	haaduu, nama rifeensa sirreessu, poolii, poolii mana rifeensaa, rifeensa sirreesuu
🎪	dunkaana, sirkaa
🚂	baabura, daandii baaburaa, hurka, imala, lokomootiivii, mootora
🚃	baabura, daandii baaburaa, elektirikii, imala, konkolaataa, konkolaataa daandii baaburaa
🚄	baabura, baabura saffisa ol’aanaa, daandii baaburaa, saffisa
🚅	baabura, baabura saffisa ol’aanaa fi funyaan rasaasaa qabu, daandii baaburaa, imala, rasaasa, saffisa
🚆	baabura, daandii baaburaa, dhaqqabe
🚇️	imala, meetroo, meetroo lafa jalaa
🚈	baabura salphaa, daandii baaburaa, gahe
🚉	baabura, buufata, daandii baaburaa
🚊	tiraamii, tirooliibaas
🚝	hadiida-tokkee, konkolaataa
🚞	daandii baaburaa gaaraa, daandii baburaa, gaara, imala, konkolaataa
🚋	atoobisii, konkolaataa, tiraamii
🚌	atoobisii, konkolaataa, mana barumsaa
🚍️	atoobisii, atoobisii dhufaa jiru, dhufaa jira, konkolaataawwan
🚎	atoobisii, atoobisii dugdatti walbaatu, tiraamii
🚐	atoobisii, atoobisii xiqqaa, konkolaachisuu, konkolaataa, vaanii
🚑️	ambuulaansii, konkolaataa, muddama
🚒	ibidda, konkolaataa fe’umsaa, mootora, mootora ibiddaa
🚓	5–0, konkolaataa, paatiroolii, poolisii, poolisoota
🚔️	dhufaa jira, konkolaataa, konkolaataa poolisii dhufaa jiru, poolisii
🚕	konkolaachisuu, konkolaataa, taaksii, taaksii keelloo, uuber
🚖	dhufaa jira, konkolaachise, konkolaataa, taaksii, taaksii dhufaa jiru, taaksii keelloo, uubeer
🚗	konkolaachisuu, konkolaataa, makiinaa
🚘️	konkolaachise, konkolaataa, konkolaataa dhufaa jiru, konkolaataa manaa
🚙	bashannana, konkolaachisuu, konkolaataa, konkolaataa ispoortiif oolu, oofuu
🛻	awutoomobilii, geejjiba, konkolaataa, konkolaataa fe’umsaa, piikaappii, piikaappii fe’umsaa
🚚	konkolaachisuu, konkolaataa, konkolaataa fe’umsaa, konkolaataa fe’umsaa dhiyeessaa, qaqqabsiisuu
🚛	konkolaataa, konkolaataa fe’umsaa, konkolaataa walharkisu, oofuu, socho’uu, walakkaa
🚜	konkolaataa, tiraaktara
🏎️	dorgommii, konkolaataa
🏍️	dorgommii, mootarsaayikilii
🛵	iskootara, mootora
🦽	dhaqqabummaa, wiilcheerii
🦼	qaqqabinsa, teessuma motoraan socho’u, wiilcherii
🛺	bajaajii, tuk tuk
🚲️	biskileettii, nama biskileettii oofu, oofuu
🛴	iskuuterii, kikii
🛹	gabatee, iskeetii, taphataa iskeetii, wiiliiwwan
🛼	billaa, iskeetii, iskeetii roolerii, ispoortii
🚏	atoobisii, buufata atoobisii, dhaabbii
🛣️	daandii, daandii guddaa, daandii konkolaataa
🛤️	baabura, daandii baaburaa, hadiida baaburaa
🛢️	barmeela, barmeela zayitaa, zayita
⛽️	beenzila, boba’aa, buufata gaazaa, gaazii, paampii
🛞	gommaa, konkolaataa, makiinaa
🚨	akeekkachiisa, dammaqsituu, ibsaa konkolaataa poolisii, ifa, konkolaataa, muddama, naanna’uu, poolisii, saayirenii
🚥	ibsaa, ibsaa tiraafika dalgee, mallattoo, mallattoo dhaabbadhuu, tiraafika, walqaxxaamura
🚦	ibsaa, ibsaa tiraafikaa olee, ifa dhaabu, konkolaachise, mallattoo, tiraafika, walqaxxaamura
🛑	dhaabuu, mallattoo, rog-saddeet
🚧	daangaa, ijaarsa
⚓️	doonii, meeshaa, sibiila hidhaa doonii
🛟	baraartuu, bishaan daakuu, lubbuu baraartuu
⛵️	bidiruu, bidiruu doonii, doonii imalaa giddugaleessa, dooniin imaluu
🛶	bidiruu
🚤	bidiruu, bidiruu saffisaa, biliyeenara, ganna, haroo, imala, miliyeenara, qannoo
🛳️	doonii, doonii imaltootaa, imaltoota
⛴️	bidiruu, doonii, imaltuu
🛥️	bidiruu, bidiruu mootoraa
🚢	bidiruu, doonii, imala, imaltoota, taayitaanikii
✈️	balalii, balali’uu, imala, jeettii, xiyyaara
🛩️	xiyyaara, xiyyaara xiqqaa
🛫	balallii, xiyyaara, xiyyaarri yeroo ka’u
🛬	dhaqqabuu, dhufaatii, dhufaatii xiyyaaraa, qubachuu, xiyyaara
🪂	iskaaydaayivii, paaraasaayilii, paaraashuutii
💺	barcuma, teessuma
🚁	helikooptara, imala, konkolaataa, koptara, rookoptara
🚟	daandii baaburaa, daandii baaburaa fannifame, fannifamaa
🚠	daandii funyoo gaaraa, funyoo, gaara, gondolaa
🚡	funyoo, gondolaa, karaa funyoo, konkolaataa, konkolaataa funyoo irraa, konkolaataa funyoo qilleensarraa, qilleensarraan
🛰️	hawaa, saatalaayitii
🚀	furguuggisuu, hawaa, imala, jalqabsiisuu, rookkeettii
🛸	alagaa, hawaan ala, waan haaraa
🛎️	bilbila, hoteela
🧳	ba’aa imalaa, boorsaa, boorsaa gommaa qabu, imala, saamsuu, shaanxaa
⌛️	cirracha, fuullee sa’aatii, qabduu yeroo, yeroo
⏳️	cirracha, eeguu, fuullee sa’aatii, qabduu yeroo, sa’aa
⌚️	sa’aatii, yeroo
⏰️	barfachuu, dammaqsituu, eeguu, sa’aa, sa’aatii, sa’aatii dammaqiinsaa, yeroo
⏱️	qabduu sa’aatii, sa’aatii, yeroo
⏲️	qabduu yeroo, sa’aatii, sa’aatii qabduu yeroo
🕰️	sa’aatii, yeroo
🕛️	00, 12, 12:00, kudha lama, sa’aatii, sa’aatii kudha lama, yeroo
🕧	12, 12:30, 30, kudha lama, kudha lamaa fi walakkaa, sa’aatii, soddoma, yeroo
🕐️	00, 1, 1:00, sa’aatii, tokko, yeroo
🕜	1, 1:30, 30, sa’aatii, soddoma, tokko, tokkoo fi soddoma, yeroo
🕑️	00, 2, 2:00, lama, sa’aatii, yeroo
🕝	2, 2:30, 30, lama, lamaa fi soddoma, lamaa fi walakkaa, sa’aatii, soddoma, yeroo
🕒️	00, 3, 3:00, sadii, sa’aatii, yeroo
🕞	3, 30, 3:30, sadii, sa’aatii, soddoma, soddomii sadii, yeroo
🕓️	00, 4, 4:00, afur, sa’aatii, yeroo
🕟	30, 4, 4:30, afur fi soddoma, afur fi walakkaa, sa’aatii, soddoma, yeroo
🕔️	00, 5, 5:00, sa’aatii, shan, yeroo
🕠	30, 5, 5:30, sa’aatii, shan, shanii fi walakkaa, soddoma, yeroo
🕕️	00, 6, 6:00, jaha, sa’aatii, yeroo
🕡	30, 6, 6:30, jaha fi walakkaa, sa’aatii, soddoma
🕖️	00, 7, 7:00, sa’aatii, torba
🕢	30, 7, 7:30, sa’aatii, soddoma, torba, torbaa fi walakkaa
🕗️	00, 8, 8:00, saddeet, sa’aatii, yeroo
🕣	30, 8, 8:30, saddeet, saddeet fi walakkaa, sa’aatii, soddoma, yeroo
🕘️	00, 9, 9:00, sagal, sa’aatii, yeroo
🕤	30, 9, 9:30, sagal, sagali fi walakkaa, sa’aatii, yeroo
🕙️	00, 10, 10:00, kudhan, sa’aatii
🕥	10, 10:30, 30, kudhan, kudhanii fi walakkaa, sa’aatii, soddoma, yeroo
🕚️	00, 11, 11:00, kudha tokko, sa’aatii, sa’aatii kudha tokko, yeroo
🕦	11, 11:30, 30, kudha tokko, kudha tokkoo fi walakkaa, sa’aatii, soddoma, yeroo
🌑	addeessa, addeessa haaraa, baatii haaraa, dukkana, hawaa
🌒	abjuu, addeessa, addeessa walakkaa, hawaa, ji’a
🌓	addeessa, addeessa kurmaana tokkoffaa, baatii, hawaa, ji’a, kurmaana
🌔	addeessa, baatii, hawaa, ji’a
🌕️	addeessa, goobana ji’aa, guutuu, hawaa
🌖	addeessa, addeessa hir’achaa jiru, baatii, hawaa, ji’a
🌗	addeessa, addeessa kurmaana xumuraa, baatii, hawaa, ji’a, kurmaana
🌘	addeessa, addeessa hir’achaa jiru, hawaa, xiqqaachuu
🌙	addeessa, addeessa walakkaa, hawaa, ramadaana
🌚	baatii, fuula, fuula baatii haaraa, hawwaa
🌛	addeessa, bakka, fuula, ji’a, ji’a kurmaana tokkoffaa fuula waliin, kurmaana, nuusa
🌜️	abjuu, addeessa, fuula, ji’a kurmaana dhumaa fuula waliin, kurmaana, nuusa
🌡️	haala qilleensaa, safartuu ho’aa, teermoomeetira
☀️	aduu, biiftuu, guyyaa aduu, haala qilleensaa, hawaa, ifa, ifaa
🌝	addeessa, addeessa guutuu fuula waliin, fuula, fuula ifaa, gammachuu
🌞	aduu, fuula, haala qilleensaa, ho’a, ifa aduu, ifaa, ifuu, qarqara galaanaa
🪐	pilaaneetii qubeelaa qabu, satarnii
⭐️	qorannaa hawwaa, urjii, urjii giddugaleessa adii, urjiilee
🌟	calaqqisaa, calaqqisuu, halkan, ifuu, mo’uu, urjii, urjii ifu
🌠	dhukaasa, halkan, hawaa, kufaatii, urjii, urjii dhukaasaa
🌌	hawaa, miilk weeyi
☁️	duumessa, haala qilleensaa
⛅️	biiftuu, duumessa, duumessaa’aa, haala qilleensaa
⛈️	duumessa, duumessa balaqqeessa fi rooba qabu, qaqawwee, rooba, rooba qaqawwee fi balaqqeessa qabu
🌤️	aduu, biiftuu, biiftuu duumessa xiqqaa duubaa, duumessa, haala qilleensaa
🌥️	aduu, biiftuu, biiftuu duumessa bal’aa duubaa, duumessa, haala qilleensaa
🌦️	biiftuu, biiftuu duumessa roobaa duubaa, duumessa, haala qilleensaa, rooba
🌧️	duumessa, duumessa roobaa, haala qilleensaa, rooba
🌨️	cabbii, diilallaa’aa, duumessa, duumessa cabbii qabu, haala qilleensaa
🌩️	balaqqeessa, duumessa, duumessa balaqqeessa qabu, haala qilleensaa
🌪️	duumessa, haala qilleensaa, obomboleettii, torneedoo
🌫️	duumessa, haala qilleensaa, hurrii
🌬️	afuufuu, bubbee, duumessa, fuula, kallattii bubbee
🌀	buubbee, haala qilleensaa, naannessaa, saayikiloonii
🌈	boonuu, dhalaa fi dhalaa, dhiiraa fi dhiira, dubartii fi dubartii, haala qilleensaa, maatii, namicha fi namicha, sabbata waaqaa, uumama
🌂	bokkaa, dibaabee, dibaabee cufame, rooba
☂️	bokkaa, dibaabee, rooba
☔️	cobuu, dibaabee, dibaabee coba roobaa qabu, haala qilleensaa, rooba
⛱️	aduu, dibaabee, dibaabee lafarraa, rooba
⚡️	balaa, balaqqeessa, elektirikii, humna ibsaa, meeseenjerii, qaqawweessa, uumama, voolteejjii, voolteejjii ol’aanaa
❄️	cabbii, diilalla, haala qilleensaa
☃️	cabbii, diilalla, nam-cabbii
⛄️	cabbii, diilallaa’aa, nam-cabbii, nam-cabbii malee
☄️	hawaa, koomeetii
🔥	gubuu, ho’a, ibidda, labooba, meeshaa
💧	bishaan, copha, dafqa, diilallaa’aa, gadda, haala qilleensaa, imimmaan, qoosaa, uumama
🌊	bishaan, dambalii, dambalii bishaanii, galaana, qaxxaamuruu, uumama
🎃	buqqee, haalowiinii, jaakii
🎄	Ayyaana Qillee, Muka ayyaana qillee, ayyaana, ayyaana qillee, ayyaaneffannaa, muka
🎆	ayyaana, bashannana, qaanqee
🎇	ayyaaneffannaa, ilillee, richiitii
🧨	calaqqee, daayinamiitii, dhukaa’oo, ibidda, ibidda qabsiiftuu, ifa, xaaxa’uu
✨️	falfala, ibsaa, urjii
🎈	afuuffee, ayyaana, ayyaaneffachuu, guyyaa dhalootaa
🎉	affeerraa, ajaa’iba, ayyaana, ayyaaneffachuu, gammaduu, guyyaa dhalootaa
🎊	affeerraa, ayyaana, ayyaaneffannaa, kubbaa
🎋	ayyaaneffannaa, faajjii, kan Jaappaan, muka, muka tanabata
🎍	bareechisa gaattiraa, biqiltuu, gaattiraa, leemmana, qodaa Jaappaan
🎎	ashaanguulliitii Jaappaan, horgoggee, jila, nama Jaappaan
🎏	istiriimerii, karp istiriimerii, karpii
🎐	bilbila, bilbila qilleensaa, qilleensa
🎑	addeessa, ayyaana, ayyaaneffannaa, baatii, jila, ji’a, kabaja baatii ilaaluu
🧧	carraa gaarii, hoongiba’oo, kennaa, maallaqa, poostaa diimaa
🎀	ayyaaneffannaa, haada
🎁	ayyaaneffannaa, gammachiisa hin eegamne, guyyaa dhalootaa, kennaa, kennaa golgamaa, maramaa, saanduqa
🎗️	ayyaaneffannaa, haada, haada yaadachiisaa, yaadachiisa
🎟️	hayyama seensaa, tikkeettii, tikkeettii seensaa
🎫	galabaa, galmee, tikkeettii
🎖️	ayyaaneffannaa, badhaasa, kabaja, medaaliyaa, medaaliyaa loltuu, waraana
🏆️	badhaasa, geeba, injifachuu, injifannoo, ispoortii, shaampiyoona, waancaa
🏅	badhaasa, injifataa, meedaaliyaa, meedaaliyaa ispoortii, warqee
🥇	medaaliyaa, tokkoffaa, warqee
🥈	lammaffaa, medaaliyaa, meetii
🥉	medaaliyaa, naasa, sadaffaa
⚽️	ispoortii, kubbaa, kubbaa miilaa, meesii, ronaaldoo
⚾️	beezboolii, ispoortii, kubbaa
🥎	bobaa jala, golgituu harkaa, ispoortiilee, kubbaa, kubbaa lallaafaa
🏀	ispoortii, kubbaa, kubbaa kochoo
🏐	kubbaa, tapha, vooliiboolii
🏈	ispoortii, kan ameerikaa, kubbaa, kubbaa miilaa, kubbaa miilaa ameerikaa, suppeer bool
🏉	ispoortii, kubbaa, kubbaa miilaa, kubbaa miilaa raagbii, raagbii
🎾	ispoortii, kubbaa, raakeetii, teenisii
🥏	diskii, diskii balali’u, fireesbii, kan dhumaa
🎳	haleeluu, ispoortii, kubbaa, tapha
🏏	kiriikeetii, kubbaa, tapha
🏑	burii, dirree, hokii, kubbaa, kukulii, tapha, ulee
🏒	cabbii, hokii, tapha, tapha cabbiirra taphatamu, ulee
🥍	ispoortiilee, kubbaa, laakiroosii, manii, ulee
🏓	kubbaa, ping pong, tapha, teenisii miinjaalaa
🏸	badiminten, riikeetii, tapha
🥊	buunyaa, gilaavii
🥋	juudoo, kaaraatee, maarshaal aartii, tookaandoo, uffata seeraa, wal’aansoo
🥅	kiyyoo, manii
⛳️	alaabaa boolla keessa jiru, bolla, ispoortii, qillee, tapha sululaa
⛸️	cabbii, cabbiirra kopheen fiiguu, iskeetii, kophee cabbii
🎣	bashannana, ispoortii, kiyyoo qurxummii, qurxummii, qurxummii qabuu
🤿	daakaa, iskuubaa, maskii daakkii
🎽	atileetiksii, fiiguu, qomee, qomee fiigichaa
🎿	cabbii, iskii, ispoortii
🛷	cabbii, isleedii, isleejii
🥌	dhagaa, dhagaa qaxxamuraa, tapha
🎯	bashannana, dartii, kaayyoo, kallattiin rukutuu, rukutuu, sangaa, tapha
🪀	ashaangulliitii, gegeeddaramaa, yo-yo
🪁	balalii’uu, fiiguu
🔫	meeshaa, meeshaa waraanaa, qawwee, qawwee harkaa, rivoolverii, shugguxii
🎱	8, biliyaardii, kubbaa, kubbaa puulii 8, kubbaa8, saddeet, tapha
🔮	abjaataa, falfala, fuulduree, kubbaa, kubbaa dhagaa, meeshaa, oduu durii
🪄	falfala, falfalaa, falfaltuu, ulee
🎮️	bashannana, buufata taphaa, tapha, tapha suursagalee, to’ataa
🕹️	joyistiikii, tapha, tapha suursagalee
🎰	kaasinoo, maashinii taphaa, qaawwaa, qumaara, tapha
🎲	bashannana, daayisii, tapha
🧩	cittuu, hibboo, ibsa xiqqoo, jiigsaawu, walseenaa
🧸	meeshaa taphaa, sardiidoo, sardiidoo teedii
🪅	ayyaana, kabajuu, kan meeksiskoo, karameellaa, pinaadaa, pinaataa, sinkoo dee maayoo
🪩	diiskoo, giloobii, kubbaa, ofilaallee, paartii, ragada
🪆	babooshakaa, babowushakaa, babushakaa, dooliiwwan, dooliiwwan koonyaa, kan raashiyaa, matarayoshakaa
♠️	eeboo, kaardii, tapha
♥️	kaardii, miira, onnee, tapha, uffata onnee
♦️	diyaamaandii, kaardii, mallattoo diyaamaandii, tapha
♣️	garee, kaardii, kaartaa, kilebii, tapha
🃏	jookerii, kaardii, kaartaa, tapha
🀄️	diimaa, diraagonii diimaa mahjong, mahijoong, tapha
🎴	abaaboo, kaardii, kaardiiwwan taphaa abaaboo, kan Jaappaan, tapha, taphachuu
🎭️	aartii, agarsiisuu, bashannana, haguuggii afaan fi funyaanii, taatoo, taatuu, tiyaatira
🖼️	aartii, dibiisa, fakkii, fakkii goodayyaa’e, gola hambaa, goodayyaa, muuziyeemii
🎨	aartii, bashannana, bifaan faayamaa, dibaa, dibiisa, halluu dibuu, kalaqa, muuziyeemii
🧵	hidhaa, hodhuu, ispuulii, lilmoo, qajjisa
🪡	hodhuu, kirrii, lilmoo
🧶	kirooshee, kubbaa, kuula, kuula dhahuu
🪢	funyoo, hidhata, hidhuu
👓️	fuulee ijaa, fuullee, ija, kishaafa, uffannaa
🕶️	fuullee ijaa, gurraacha, ija, kishaafa, kishaafa aduu
🥽	bishaan daakuu, bishaanitti utaaluu, eegumsa ijaa, fuullee ijaa, iskuubaa, kishaafa, suphuu
🥼	dooktora, dr., jaakkeettaa, kootii adii, kootii laaboraatoorii, saayintistii, uffata, yaalii
🦺	ariifachiisaa, jalaanii, nageenya
👔	barbaachisaa, krawattii mormaa, qacarame, shamizii, uffata
👕	bittaa, cuquliisa, dhuma torbanii, idilee, qomee, uffachuu, uffata
👖	bittaa, cuquliisa, dhuma torbanii, idilee, jiinsii, kofoo, uffannaa, uffata, uffata jalaa, uffate, uffatte
🧣	diilalla, fooxaa mormaa, morma
🧤	golgituu harkaa, harka
🧥	diilalla, jaakkeettii, kootii
🧦	shurraaba miillaa
👗	bittaa, faashinii, uffachuu, uffannaa, uffata, uffate, uffatte
👘	mijataa, uffata
🥻	sari, uffata, wandaboo
🩱	uffata bishaan daakkii
🩲	kofoo, paantii, uffata bishaan daakkii
🩳	fiddoo, kofoo, uffata bishaan daakaa
👙	bikinii, bishaan daakkii, poolii, qarqara galaanaa, uffanna dhaqna dhiqannaa, uffannaa
👚	bittaa, dubartii, morma uffataa, qamisii, qomee, uffata, uffata dubartootaa, wandaboo
🪭	deeggaraa, dharra’uu, dinqisiifataa, harka dha’uu, ho’aa, qabbanaa’aa, qabbaneessuu, ragada, saalfachuu, shubbisa
👛	bittaa, boorsaa harkaa, faashinii, saantima, uffachuu, uffannaa, uffata
👜	bittaa, boorsaa, boorsaa harkaa, dubartii, uffachuu, uffata
👝	boorsaa, boorsaa harkaa, uffachuu, uffannaa, uffata
🛍️	bittaa, boorsaa, boorsaa bituu, hoteela
🎒	barnoota, boorsaa, boorsaa dugdaa, boorsaa dugdaa barumsaa, mana barumsaa
🩴	Gagaraagalchu, Kophee, Qarqara, Sandaalii
👞	bittaa, dhiituu, kophee, kophee namichaa, magaala, miilla, namicha, uffannaa, uffata
👟	ariifataa, atileetiksii, bittaa, dhiituu, fiiguu, isniikeerii, kophee, kophee fiigichaa, teenisii, uffannaa, uffata
🥾	boorsaa saamsuu, boottii, deemsa miilla dheeraa, diida, kaampii gochuu, kophee, kophee magaala
🥿	diriiraa, irra mucucaachuu, kophee diriiraa, mijataa, mucucaataa, ragada diriiraa
👠	bittaa, dubartii, faashinii, koomee, kophee, kophee koomee dheeraa, uffachuu, uffannaa, uffata
👡	barabaasoo, dubartii, kophee
🩰	baaleetii, kophee baaleetii, shubbisa
👢	bittaa, boottii, dubartii, kophee, uffachuu, uffannaa, uffata
🪮	filaa, filuu, goofaree, misirroo, rifeensa
👑	bara giddugaleessaa, dorgommii gonfoo mootii, giiftii, gonfoo, maatii mootii, mootii, mo’achuu, uffata
👒	affeerraa iddoo biqiltuu, barneexaa, dubartii, uffannaa, uffata
🎩	baarneexxaa, faashinii, falfala, gubbaa, idilee, uffannaa, uffata
🎓️	barneexaa, barneexaa eebbaa, barnoota, eebba, hayyuu, uffannaa
🧢	gonfoo, gonfoo abbaa, gonfoo beezboolii, gonfoo dacha’e
🪖	Waraana, garee loltuu, kophee, loltuu
⛑️	barneexxaa, fuula, gargaarsa, helmeentii, helmeentii hojjetaa lubbuu baraartotaa, qaxxamura
📿	amantaa, callee, faaya mormaa, kadhannaa, uffata
💄	bareechisuu, hariiroo jaalalaa, koosmootiksii, liippistikii, mi’oota bareedinaa
💍	calaqqisaa, cidha, daayimandii, fuudhe, heerumte, kaadhimamuu, qubeelaa, taatee jaalalaa
💎	cidha, daayimandii, dhagaa qaalii, faaya, kaadhimachuu, maallaqa, qaalii, taatee jaalalaa
🔇	callisa, sagalee, sagalee guddiftuu, sagalee guddistuu ukkaamfame, ukkaamsuu
🔈️	sagalee, sagalee gadaanaa ispiikerii, suuta
🔉	giddugaleessa, ispiikerii sagalee giddugaleessa, sagalee
🔊	muuziqaa, ol’aanaa, sagalee, sagalee guddaa, sagalee ol’aanaa sagalee-guddiftuu
📢	haasaa uummataa, sagalee, sagalee guddaa, sagalee guddiftuu, walqunnamtii
📣	jajjabeessuu, sagalee, sagalee guddiftuu
📯	gaanfa, poostaa
🔔	bilbila, boqonnaa, sagalee, waldaa
🔕	bilbila, bilbila qaxxaamura qabu, callisa, callisaa, dhorkaa, dhorkamaa, lakki, miti, sagalee, ukkaamsuu
🎼	muuziqaa, nootaa, qabxii
🎵	muuziqaa, sagalee, yaadannoo
🎶	muuziqaa, nootaa, sagalee
🎙️	istuudiyoo, muuziqaa, qaaqiyyee
🎚️	gulantaa, mucucaachisaa, muuziqaa
🎛️	furtuu, furtuu to’annoo, muuziqaa, to’achuu
🎤	maayikii, maayikiroofoonii, muuziqaa, sagalee, sirbuu
🎧️	dhaggeettii gurraa, sagalee
📻️	bohaartii, raadiyoo, viidiyoo
🎷	meeshaa, muuziqaa, saaksoofoonii
🪗	akkoordiyoonii, meeshaa, muuziqaa
🎸	gitaara, meeshaa, muuziqaa
🎹	kiiboordii, meeshaa, muuziqaa, piyaanoo
