‾	trait suscrit
🧑🏽‍🏭	assemblage, industrie, ouvrier, ouvrier (tous genres), ouvrier (tous genres) : peau légèrement mate, ouvrière, peau légèrement mate, usine
🧑🏾‍🏭	assemblage, industrie, ouvrier, ouvrier (tous genres), ouvrier (tous genres) : peau mate, ouvrière, peau mate, usine
🧑🏿‍🏭	assemblage, industrie, ouvrier, ouvrier (tous genres), ouvrier (tous genres) : peau foncée, ouvrière, peau foncée, usine
👨‍🏭	assemblage, homme, industrie, montage, métier, ouvrier, usine
👨🏻‍🏭	assemblage, homme, industrie, montage, métier, ouvrier, ouvrier : peau claire, peau claire, usine
👨🏼‍🏭	assemblage, homme, industrie, montage, métier, ouvrier, ouvrier : peau moyennement claire, peau moyennement claire, usine
👨🏽‍🏭	assemblage, homme, industrie, montage, métier, ouvrier, ouvrier : peau légèrement mate, peau légèrement mate, usine
👨🏾‍🏭	assemblage, homme, industrie, montage, métier, ouvrier, ouvrier : peau mate, peau mate, usine
👨🏿‍🏭	assemblage, homme, industrie, montage, métier, ouvrier, ouvrier : peau foncée, peau foncée, usine
👩‍🏭	assemblage, femme, industrie, montage, métier, ouvrière, usine
👩🏻‍🏭	assemblage, femme, industrie, montage, métier, ouvrière, ouvrière : peau claire, peau claire, usine
👩🏼‍🏭	assemblage, femme, industrie, montage, métier, ouvrière, ouvrière : peau moyennement claire, peau moyennement claire, usine
👩🏽‍🏭	assemblage, femme, industrie, montage, métier, ouvrière, ouvrière : peau légèrement mate, peau légèrement mate, usine
👩🏾‍🏭	assemblage, femme, industrie, montage, métier, ouvrière, ouvrière : peau mate, peau mate, usine
👩🏿‍🏭	assemblage, femme, industrie, montage, métier, ouvrière, ouvrière : peau foncée, peau foncée, usine
🧑‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau (tous genres), employée de bureau
🧑🏻‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau (tous genres), employé de bureau (tous genres) : peau claire, employée de bureau, peau claire
🧑🏼‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau (tous genres), employé de bureau (tous genres) : peau moyennement claire, employée de bureau, peau moyennement claire
🧑🏽‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau (tous genres), employé de bureau (tous genres) : peau légèrement mate, employée de bureau, peau légèrement mate
🧑🏾‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau (tous genres), employé de bureau (tous genres) : peau mate, employée de bureau, peau mate
🧑🏿‍💼	affaires, architecte, bureau, employé de bureau, employé de bureau (tous genres), employé de bureau (tous genres) : peau foncée, employée de bureau, peau foncée
👨‍💼	affaires, architecte, bureau, cadre, directeur, employé de bureau, homme, métier
👨🏻‍💼	affaires, architecte, bureau, cadre, directeur, employé de bureau, employé de bureau : peau claire, homme, métier, peau claire
👨🏼‍💼	affaires, architecte, bureau, cadre, directeur, employé de bureau, employé de bureau : peau moyennement claire, homme, métier, peau moyennement claire
👨🏽‍💼	affaires, architecte, bureau, cadre, directeur, employé de bureau, employé de bureau : peau légèrement mate, homme, métier, peau légèrement mate
👨🏾‍💼	affaires, architecte, bureau, cadre, directeur, employé de bureau, employé de bureau : peau mate, homme, métier, peau mate
👨🏿‍💼	affaires, architecte, bureau, cadre, directeur, employé de bureau, employé de bureau : peau foncée, homme, métier, peau foncée
👩‍💼	affaires, architecte, bureau, cadre, directrice, employée de bureau, femme, métier
👩🏻‍💼	affaires, architecte, bureau, cadre, directrice, employée de bureau, employée de bureau : peau claire, femme, métier, peau claire
👩🏼‍💼	affaires, architecte, bureau, cadre, directrice, employée de bureau, employée de bureau : peau moyennement claire, femme, métier, peau moyennement claire
👩🏽‍💼	affaires, architecte, bureau, cadre, directrice, employée de bureau, employée de bureau : peau légèrement mate, femme, métier, peau légèrement mate
👩🏾‍💼	affaires, architecte, bureau, cadre, directrice, employée de bureau, employée de bureau : peau mate, femme, métier, peau mate
👩🏿‍💼	affaires, architecte, bureau, cadre, directrice, employée de bureau, employée de bureau : peau foncée, femme, métier, peau foncée
🧑‍🔬	chimiste, scientifique
🧑🏻‍🔬	chimiste, peau claire, scientifique, scientifique : peau claire
🧑🏼‍🔬	chimiste, peau moyennement claire, scientifique, scientifique : peau moyennement claire
🧑🏽‍🔬	chimiste, peau légèrement mate, scientifique, scientifique : peau légèrement mate
🧑🏾‍🔬	chimiste, peau mate, scientifique, scientifique : peau mate
🧑🏿‍🔬	chimiste, peau foncée, scientifique, scientifique : peau foncée
👨‍🔬	biologiste, chimiste, homme, ingénieur, mathématicien, métier, physicien, scientifique, scientifique homme
👨🏻‍🔬	biologiste, chimiste, homme, ingénieur, mathématicien, métier, peau claire, physicien, scientifique, scientifique homme : peau claire
👨🏼‍🔬	biologiste, chimiste, homme, ingénieur, mathématicien, métier, peau moyennement claire, physicien, scientifique, scientifique homme : peau moyennement claire
👨🏽‍🔬	biologiste, chimiste, homme, ingénieur, mathématicien, métier, peau légèrement mate, physicien, scientifique, scientifique homme : peau légèrement mate
👨🏾‍🔬	biologiste, chimiste, homme, ingénieur, mathématicien, métier, peau mate, physicien, scientifique, scientifique homme : peau mate
👨🏿‍🔬	biologiste, chimiste, homme, ingénieur, mathématicien, métier, peau foncée, physicien, scientifique, scientifique homme : peau foncée
👩‍🔬	biologiste, chimiste, femme, ingénieure, mathématicienne, métier, physicienne, scientifique, scientifique femme
👩🏻‍🔬	biologiste, chimiste, femme, ingénieure, mathématicienne, métier, peau claire, physicienne, scientifique, scientifique femme : peau claire
👩🏼‍🔬	biologiste, chimiste, femme, ingénieure, mathématicienne, métier, peau moyennement claire, physicienne, scientifique, scientifique femme : peau moyennement claire
👩🏽‍🔬	biologiste, chimiste, femme, ingénieure, mathématicienne, métier, peau légèrement mate, physicienne, scientifique, scientifique femme : peau légèrement mate
👩🏾‍🔬	biologiste, chimiste, femme, ingénieure, mathématicienne, métier, peau mate, physicienne, scientifique, scientifique femme : peau mate
👩🏿‍🔬	biologiste, chimiste, femme, ingénieure, mathématicienne, métier, peau foncée, physicienne, scientifique, scientifique femme : peau foncée
🧑‍💻	développeur, développeuse, informaticien, informaticien (tous genres), informaticienne, logiciels, technologie
🧑🏻‍💻	développeur, développeuse, informaticien, informaticien (tous genres), informaticien (tous genres) : peau claire, informaticienne, logiciels, peau claire, technologie
🧑🏼‍💻	développeur, développeuse, informaticien, informaticien (tous genres), informaticien (tous genres) : peau moyennement claire, informaticienne, logiciels, peau moyennement claire, technologie
🧑🏽‍💻	développeur, développeuse, informaticien, informaticien (tous genres), informaticien (tous genres) : peau légèrement mate, informaticienne, logiciels, peau légèrement mate, technologie
🧑🏾‍💻	développeur, développeuse, informaticien, informaticien (tous genres), informaticien (tous genres) : peau mate, informaticienne, logiciels, peau mate, technologie
🧑🏿‍💻	développeur, développeuse, informaticien, informaticien (tous genres), informaticien (tous genres) : peau foncée, informaticienne, logiciels, peau foncée, technologie
👨‍💻	codeur, développeur, homme, informaticien, inventeur, logiciels, métier, technologie
👨🏻‍💻	codeur, développeur, homme, informaticien, informaticien : peau claire, inventeur, logiciels, métier, peau claire, technologie
👨🏼‍💻	codeur, développeur, homme, informaticien, informaticien : peau moyennement claire, inventeur, logiciels, métier, peau moyennement claire, technologie
👨🏽‍💻	codeur, développeur, homme, informaticien, informaticien : peau légèrement mate, inventeur, logiciels, métier, peau légèrement mate, technologie
👨🏾‍💻	codeur, développeur, homme, informaticien, informaticien : peau mate, inventeur, logiciels, métier, peau mate, technologie
👨🏿‍💻	codeur, développeur, homme, informaticien, informaticien : peau foncée, inventeur, logiciels, métier, peau foncée, technologie
👩‍💻	codeuse, développeuse, femme, informaticienne, inventrice, logiciels, métier, technologie
👩🏻‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau claire, inventrice, logiciels, métier, peau claire, technologie
👩🏼‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau moyennement claire, inventrice, logiciels, métier, peau moyennement claire, technologie
👩🏽‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau légèrement mate, inventrice, logiciels, métier, peau légèrement mate, technologie
👩🏾‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau mate, inventrice, logiciels, métier, peau mate, technologie
👩🏿‍💻	codeuse, développeuse, femme, informaticienne, informaticienne : peau foncée, inventrice, logiciels, métier, peau foncée, technologie
🧑‍🎤	artiste, chanteur, chanteur (tous genres), chanteuse, rock, star
🧑🏻‍🎤	artiste, chanteur, chanteur (tous genres), chanteur (tous genres) : peau claire, chanteuse, peau claire, rock, star
🧑🏼‍🎤	artiste, chanteur, chanteur (tous genres), chanteur (tous genres) : peau moyennement claire, chanteuse, peau moyennement claire, rock, star
🧑🏽‍🎤	artiste, chanteur, chanteur (tous genres), chanteur (tous genres) : peau légèrement mate, chanteuse, peau légèrement mate, rock, star
🧑🏾‍🎤	artiste, chanteur, chanteur (tous genres), chanteur (tous genres) : peau mate, chanteuse, peau mate, rock, star
🧑🏿‍🎤	artiste, chanteur, chanteur (tous genres), chanteur (tous genres) : peau foncée, chanteuse, peau foncée, rock, star
👨‍🎤	acteur, artiste, chanteur, homme, métier, rock, rockeur, star
👨🏻‍🎤	acteur, artiste, chanteur, chanteur : peau claire, homme, métier, peau claire, rock, rockeur, star
👨🏼‍🎤	acteur, artiste, chanteur, chanteur : peau moyennement claire, homme, métier, peau moyennement claire, rock, rockeur, star
👨🏽‍🎤	acteur, artiste, chanteur, chanteur : peau légèrement mate, homme, métier, peau légèrement mate, rock, rockeur, star
👨🏾‍🎤	acteur, artiste, chanteur, chanteur : peau mate, homme, métier, peau mate, rock, rockeur, star
👨🏿‍🎤	acteur, artiste, chanteur, chanteur : peau foncée, homme, métier, peau foncée, rock, rockeur, star
👩‍🎤	actrice, artiste, chanteuse, femme, métier, rock, rockeuse, star
👩🏻‍🎤	actrice, artiste, chanteuse, chanteuse : peau claire, femme, métier, peau claire, rock, rockeuse, star
👩🏼‍🎤	actrice, artiste, chanteuse, chanteuse : peau moyennement claire, femme, métier, peau moyennement claire, rock, rockeuse, star
👩🏽‍🎤	actrice, artiste, chanteuse, chanteuse : peau légèrement mate, femme, métier, peau légèrement mate, rock, rockeuse, star
👩🏾‍🎤	actrice, artiste, chanteuse, chanteuse : peau mate, femme, métier, peau mate, rock, rockeuse, star
👩🏿‍🎤	actrice, artiste, chanteuse, chanteuse : peau foncée, femme, métier, peau foncée, rock, rockeuse, star
🧑‍🎨	artiste, palette
🧑🏻‍🎨	artiste, artiste : peau claire, palette, peau claire
🧑🏼‍🎨	artiste, artiste : peau moyennement claire, palette, peau moyennement claire
🧑🏽‍🎨	artiste, artiste : peau légèrement mate, palette, peau légèrement mate
🧑🏾‍🎨	artiste, artiste : peau mate, palette, peau mate
🧑🏿‍🎨	artiste, artiste : peau foncée, palette, peau foncée
👨‍🎨	artiste, artiste homme, homme, métier, palette, peintre
👨🏻‍🎨	artiste, artiste homme : peau claire, homme, métier, palette, peau claire, peintre
👨🏼‍🎨	artiste, artiste homme : peau moyennement claire, homme, métier, palette, peau moyennement claire, peintre
👨🏽‍🎨	artiste, artiste homme : peau légèrement mate, homme, métier, palette, peau légèrement mate, peintre
👨🏾‍🎨	artiste, artiste homme : peau mate, homme, métier, palette, peau mate, peintre
👨🏿‍🎨	artiste, artiste homme : peau foncée, homme, métier, palette, peau foncée, peintre
👩‍🎨	artiste, artiste femme, femme, métier, palette, peintre
👩🏻‍🎨	artiste, artiste femme : peau claire, femme, métier, palette, peau claire, peintre
👩🏼‍🎨	artiste, artiste femme : peau moyennement claire, femme, métier, palette, peau moyennement claire, peintre
👩🏽‍🎨	artiste, artiste femme : peau légèrement mate, femme, métier, palette, peau légèrement mate, peintre
👩🏾‍🎨	artiste, artiste femme : peau mate, femme, métier, palette, peau mate, peintre
👩🏿‍🎨	artiste, artiste femme : peau foncée, femme, métier, palette, peau foncée, peintre
🧑‍✈	avion, pilote
🧑🏻‍✈	avion, peau claire, pilote, pilote : peau claire
🧑🏼‍✈	avion, peau moyennement claire, pilote, pilote : peau moyennement claire
🧑🏽‍✈	avion, peau légèrement mate, pilote, pilote : peau légèrement mate
🧑🏾‍✈	avion, peau mate, pilote, pilote : peau mate
🧑🏿‍✈	avion, peau foncée, pilote, pilote : peau foncée
👨‍✈	avion, homme, métier, pilote, pilote homme
👨🏻‍✈	avion, homme, métier, peau claire, pilote, pilote homme : peau claire
👨🏼‍✈	avion, homme, métier, peau moyennement claire, pilote, pilote homme : peau moyennement claire
👨🏽‍✈	avion, homme, métier, peau légèrement mate, pilote, pilote homme : peau légèrement mate
👨🏾‍✈	avion, homme, métier, peau mate, pilote, pilote homme : peau mate
👨🏿‍✈	avion, homme, métier, peau foncée, pilote, pilote homme : peau foncée
👩‍✈	avion, femme, métier, pilote, pilote femme
👩🏻‍✈	avion, femme, métier, peau claire, pilote, pilote femme : peau claire
👩🏼‍✈	avion, femme, métier, peau moyennement claire, pilote, pilote femme : peau moyennement claire
👩🏽‍✈	avion, femme, métier, peau légèrement mate, pilote, pilote femme : peau légèrement mate
👩🏾‍✈	avion, femme, métier, peau mate, pilote, pilote femme : peau mate
👩🏿‍✈	avion, femme, métier, peau foncée, pilote, pilote femme : peau foncée
🧑‍🚀	astronaute, fusée
🧑🏻‍🚀	astronaute, astronaute : peau claire, fusée, peau claire
🧑🏼‍🚀	astronaute, astronaute : peau moyennement claire, fusée, peau moyennement claire
🧑🏽‍🚀	astronaute, astronaute : peau légèrement mate, fusée, peau légèrement mate
🧑🏾‍🚀	astronaute, astronaute : peau mate, fusée, peau mate
🧑🏿‍🚀	astronaute, astronaute : peau foncée, fusée, peau foncée
👨‍🚀	astronaute, astronaute homme, casque, cosmonaute, espace, fusée, homme, métier, spationaute
👨🏻‍🚀	astronaute, astronaute homme : peau claire, casque, cosmonaute, espace, fusée, homme, métier, peau claire, spationaute
👨🏼‍🚀	astronaute, astronaute homme : peau moyennement claire, casque, cosmonaute, espace, fusée, homme, métier, peau moyennement claire, spationaute
👨🏽‍🚀	astronaute, astronaute homme : peau légèrement mate, casque, cosmonaute, espace, fusée, homme, métier, peau légèrement mate, spationaute
👨🏾‍🚀	astronaute, astronaute homme : peau mate, casque, cosmonaute, espace, fusée, homme, métier, peau mate, spationaute
👨🏿‍🚀	astronaute, astronaute homme : peau foncée, casque, cosmonaute, espace, fusée, homme, métier, peau foncée, spationaute
👩‍🚀	astronaute, astronaute femme, casque, cosmonaute, espace, femme, fusée, métier, spationaute
👩🏻‍🚀	astronaute, astronaute femme : peau claire, casque, cosmonaute, espace, femme, fusée, métier, peau claire, spationaute
👩🏼‍🚀	astronaute, astronaute femme : peau moyennement claire, casque, cosmonaute, espace, femme, fusée, métier, peau moyennement claire, spationaute
👩🏽‍🚀	astronaute, astronaute femme : peau légèrement mate, casque, cosmonaute, espace, femme, fusée, métier, peau légèrement mate, spationaute
👩🏾‍🚀	astronaute, astronaute femme : peau mate, casque, cosmonaute, espace, femme, fusée, métier, peau mate, spationaute
👩🏿‍🚀	astronaute, astronaute femme : peau foncée, casque, cosmonaute, espace, femme, fusée, métier, peau foncée, spationaute
🧑‍🚒	camion de pompiers, pompier
🧑🏻‍🚒	camion de pompiers, peau claire, pompier, pompier : peau claire
🧑🏼‍🚒	camion de pompiers, peau moyennement claire, pompier, pompier : peau moyennement claire
🧑🏽‍🚒	camion de pompiers, peau légèrement mate, pompier, pompier : peau légèrement mate
🧑🏾‍🚒	camion de pompiers, peau mate, pompier, pompier : peau mate
🧑🏿‍🚒	camion de pompiers, peau foncée, pompier, pompier : peau foncée
👨‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, pompier, pompier homme
👨🏻‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau claire, pompier, pompier homme : peau claire
👨🏼‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau moyennement claire, pompier, pompier homme : peau moyennement claire
👨🏽‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau légèrement mate, pompier, pompier homme : peau légèrement mate
👨🏾‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau mate, pompier, pompier homme : peau mate
👨🏿‍🚒	camion de pompiers, casque, casque de pompier, homme, métier, peau foncée, pompier, pompier homme : peau foncée
👩‍🚒	camion de pompiers, casque, femme, métier, pompier, pompier femme
👩🏻‍🚒	camion de pompiers, casque, femme, métier, peau claire, pompier, pompier femme : peau claire
👩🏼‍🚒	camion de pompiers, casque, femme, métier, peau moyennement claire, pompier, pompier femme : peau moyennement claire
👩🏽‍🚒	camion de pompiers, casque, femme, métier, peau légèrement mate, pompier, pompier femme : peau légèrement mate
👩🏾‍🚒	camion de pompiers, casque, femme, métier, peau mate, pompier, pompier femme : peau mate
👩🏿‍🚒	camion de pompiers, casque, femme, métier, peau foncée, pompier, pompier femme : peau foncée
👮	autorité, flic, homme, loi, métier, officier, officier de police, personne, police, policier, tenue, uniforme
👮🏻	autorité, flic, homme, loi, métier, officier, officier de police, officier de police : peau claire, peau claire, personne, police, policier, tenue, uniforme
👮🏼	autorité, flic, homme, loi, métier, officier, officier de police, officier de police : peau moyennement claire, peau moyennement claire, personne, police, policier, tenue, uniforme
👮🏽	autorité, flic, homme, loi, métier, officier, officier de police, officier de police : peau légèrement mate, peau légèrement mate, personne, police, policier, tenue, uniforme
👮🏾	autorité, flic, homme, loi, métier, officier, officier de police, officier de police : peau mate, peau mate, personne, police, policier, tenue, uniforme
👮🏿	autorité, flic, homme, loi, métier, officier, officier de police, officier de police : peau foncée, peau foncée, personne, police, policier, tenue, uniforme
👮‍♂	flic, homme, officier, police, policier
👮🏻‍♂	flic, homme, officier, peau claire, police, policier, policier : peau claire
👮🏼‍♂	flic, homme, officier, peau moyennement claire, police, policier, policier : peau moyennement claire
👮🏽‍♂	flic, homme, officier, peau légèrement mate, police, policier, policier : peau légèrement mate
👮🏾‍♂	flic, homme, officier, peau mate, police, policier, policier : peau mate
👮🏿‍♂	flic, homme, officier, peau foncée, police, policier, policier : peau foncée
👮‍♀	autorité, femme, flic, loi, métier, officier, personne, police, policière, tenue, uniforme
👮🏻‍♀	autorité, femme, flic, loi, métier, officier, peau claire, personne, police, policière, policière : peau claire, tenue, uniforme
👮🏼‍♀	autorité, femme, flic, loi, métier, officier, peau moyennement claire, personne, police, policière, policière : peau moyennement claire, tenue, uniforme
👮🏽‍♀	autorité, femme, flic, loi, métier, officier, peau légèrement mate, personne, police, policière, policière : peau légèrement mate, tenue, uniforme
👮🏾‍♀	autorité, femme, flic, loi, métier, officier, peau mate, personne, police, policière, policière : peau mate, tenue, uniforme
👮🏿‍♀	autorité, femme, flic, loi, métier, officier, peau foncée, personne, police, policière, policière : peau foncée, tenue, uniforme
🕵️	détective, enquêteur, espion, homme
🕵🏻	détective, détective : peau claire, enquêteur, espion, homme, peau claire
🕵🏼	détective, détective : peau moyennement claire, enquêteur, espion, homme, peau moyennement claire
🕵🏽	détective, détective : peau légèrement mate, enquêteur, espion, homme, peau légèrement mate
🕵🏾	détective, détective : peau mate, enquêteur, espion, homme, peau mate
🕵🏿	détective, détective : peau foncée, enquêteur, espion, homme, peau foncée
🕵‍♂	détective, détective homme, enquêteur, espion, homme
🕵🏻‍♂	détective, détective homme : peau claire, enquêteur, espion, homme, peau claire
🕵🏼‍♂	détective, détective homme : peau moyennement claire, enquêteur, espion, homme, peau moyennement claire
🕵🏽‍♂	détective, détective homme : peau légèrement mate, enquêteur, espion, homme, peau légèrement mate
🕵🏾‍♂	détective, détective homme : peau mate, enquêteur, espion, homme, peau mate
🕵🏿‍♂	détective, détective homme : peau foncée, enquêteur, espion, homme, peau foncée
🕵‍♀	détective, détective femme, enquêteuse, enquêtrice, espionne, femme
🕵🏻‍♀	détective, détective femme : peau claire, enquêteuse, enquêtrice, espionne, femme, peau claire
🕵🏼‍♀	détective, détective femme : peau moyennement claire, enquêteuse, enquêtrice, espionne, femme, peau moyennement claire
🕵🏽‍♀	détective, détective femme : peau légèrement mate, enquêteuse, enquêtrice, espionne, femme, peau légèrement mate
🕵🏾‍♀	détective, détective femme : peau mate, enquêteuse, enquêtrice, espionne, femme, peau mate
🕵🏿‍♀	détective, détective femme : peau foncée, enquêteuse, enquêtrice, espionne, femme, peau foncée
💂	Buckingham Palace, Londres, casque, garde, garde homme
💂🏻	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau claire, peau claire
💂🏼	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau moyennement claire, peau moyennement claire
💂🏽	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau légèrement mate, peau légèrement mate
💂🏾	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau mate, peau mate
💂🏿	Buckingham Palace, Londres, casque, garde, garde homme, garde : peau foncée, peau foncée
💂‍♂	garde, garde homme, homme
💂🏻‍♂	garde, garde homme : peau claire, homme, peau claire
💂🏼‍♂	garde, garde homme : peau moyennement claire, homme, peau moyennement claire
💂🏽‍♂	garde, garde homme : peau légèrement mate, homme, peau légèrement mate
💂🏾‍♂	garde, garde homme : peau mate, homme, peau mate
💂🏿‍♂	garde, garde homme : peau foncée, homme, peau foncée
💂‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme, métier
💂🏻‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau claire, métier, peau claire
💂🏼‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau moyennement claire, métier, peau moyennement claire
💂🏽‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau légèrement mate, métier, peau légèrement mate
💂🏾‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau mate, métier, peau mate
💂🏿‍♀	Buckingham Palace, Londres, casque, femme, garde, garde femme : peau foncée, métier, peau foncée
🥷	assassin, combat, furtif, guerrier, masqué, ninja, personne, sabre, secret, soldat
🥷🏻	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau claire, peau claire, personne, sabre, secret, soldat
🥷🏼	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau moyennement claire, peau moyennement claire, personne, sabre, secret, soldat
🥷🏽	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau légèrement mate, peau légèrement mate, personne, sabre, secret, soldat
🥷🏾	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau mate, peau mate, personne, sabre, secret, soldat
🥷🏿	assassin, combat, furtif, guerrier, masqué, ninja, ninja : peau foncée, peau foncée, personne, sabre, secret, soldat
👷	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, personne, personnel du bâtiment, réparer
👷🏻	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau claire, personne, personnel du bâtiment, personnel du bâtiment : peau claire, réparer
👷🏼	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau moyennement claire, personne, personnel du bâtiment, personnel du bâtiment : peau moyennement claire, réparer
👷🏽	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau légèrement mate, personne, personnel du bâtiment, personnel du bâtiment : peau légèrement mate, réparer
👷🏾	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau mate, personne, personnel du bâtiment, personnel du bâtiment : peau mate, réparer
👷🏿	BTP, bâtiment, casque, chantier, construction, homme, métier, ouvrier, peau foncée, personne, personnel du bâtiment, personnel du bâtiment : peau foncée, réparer
👷‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment
👷🏻‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau claire, peau claire
👷🏼‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau moyennement claire, peau moyennement claire
👷🏽‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau légèrement mate, peau légèrement mate
👷🏾‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau mate, peau mate
👷🏿‍♂	bâtiment, homme, ouvrier, ouvrier du bâtiment, ouvrier du bâtiment : peau foncée, peau foncée
👷‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment
👷🏻‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau claire, peau claire
👷🏼‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau moyennement claire, peau moyennement claire
👷🏽‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau légèrement mate, peau légèrement mate
👷🏾‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau mate, peau mate
👷🏿‍♀	bâtiment, casque, casque de chantier, chantier, femme, métier, ouvrier du bâtiment femme, ouvrière, ouvrière du bâtiment, ouvrière du bâtiment : peau foncée, peau foncée
🫅	monarque, noble, personne avec une couronne, royal, royauté
🫅🏻	monarque, noble, peau claire, personne avec une couronne, personne avec une couronne : peau claire, royal, royauté
🫅🏼	monarque, noble, peau moyennement claire, personne avec une couronne, personne avec une couronne : peau moyennement claire, royal, royauté
🫅🏽	monarque, noble, peau légèrement mate, personne avec une couronne, personne avec une couronne : peau légèrement mate, royal, royauté
🫅🏾	monarque, noble, peau mate, personne avec une couronne, personne avec une couronne : peau mate, royal, royauté
🫅🏿	monarque, noble, peau foncée, personne avec une couronne, personne avec une couronne : peau foncée, royal, royauté
🤴	couronne, prince, royal, royauté
🤴🏻	couronne, peau claire, prince, prince : peau claire, royal, royauté
🤴🏼	couronne, peau moyennement claire, prince, prince : peau moyennement claire, royal, royauté
🤴🏽	couronne, peau légèrement mate, prince, prince : peau légèrement mate, royal, royauté
🤴🏾	couronne, peau mate, prince, prince : peau mate, royal, royauté
🤴🏿	couronne, peau foncée, prince, prince : peau foncée, royal, royauté
👸	conte de fées, couronne, fantastique, personne, princesse, reine
👸🏻	conte de fées, couronne, fantastique, peau claire, personne, princesse, princesse : peau claire, reine
👸🏼	conte de fées, couronne, fantastique, peau moyennement claire, personne, princesse, princesse : peau moyennement claire, reine
👸🏽	conte de fées, couronne, fantastique, peau légèrement mate, personne, princesse, princesse : peau légèrement mate, reine
👸🏾	conte de fées, couronne, fantastique, peau mate, personne, princesse, princesse : peau mate, reine
👸🏿	conte de fées, couronne, fantastique, peau foncée, personne, princesse, princesse : peau foncée, reine
👳	homme avec turban, oriental, personne avec turban, personne en turban, turban, visage
👳🏻	homme avec turban, oriental, peau claire, personne avec turban, personne en turban, personne en turban : peau claire, turban, visage
👳🏼	homme avec turban, oriental, peau moyennement claire, personne avec turban, personne en turban, personne en turban : peau moyennement claire, turban, visage
👳🏽	homme avec turban, oriental, peau légèrement mate, personne avec turban, personne en turban, personne en turban : peau légèrement mate, turban, visage
👳🏾	homme avec turban, oriental, peau mate, personne avec turban, personne en turban, personne en turban : peau mate, turban, visage
👳🏿	homme avec turban, oriental, peau foncée, personne avec turban, personne en turban, personne en turban : peau foncée, turban, visage
👳‍♂	homme, homme en turban, turban
👳🏻‍♂	homme, homme en turban, homme en turban : peau claire, peau claire, turban
👳🏼‍♂	homme, homme en turban, homme en turban : peau moyennement claire, peau moyennement claire, turban
👳🏽‍♂	homme, homme en turban, homme en turban : peau légèrement mate, peau légèrement mate, turban
👳🏾‍♂	homme, homme en turban, homme en turban : peau mate, peau mate, turban
👳🏿‍♂	homme, homme en turban, homme en turban : peau foncée, peau foncée, turban
👳‍♀	femme, femme avec turban, femme en turban, turban
👳🏻‍♀	femme, femme avec turban, femme en turban, femme en turban : peau claire, peau claire, turban
