‾	bovenlijn
👷🏻	bouw, bouwvakker, bouwvakker: lichte huidskleur, helm, klusser, lichte huidskleur, man, persoon, renovatie, renoveren, werk
👷🏼	bouw, bouwvakker, bouwvakker: lichtgetinte huidskleur, helm, klusser, lichtgetinte huidskleur, man, persoon, renovatie, renoveren, werk
👷🏽	bouw, bouwvakker, bouwvakker: getinte huidskleur, getinte huidskleur, helm, klusser, man, persoon, renovatie, renoveren, werk
👷🏾	bouw, bouwvakker, bouwvakker: donkergetinte huidskleur, donkergetinte huidskleur, helm, klusser, man, persoon, renovatie, renoveren, werk
👷🏿	bouw, bouwvakker, bouwvakker: donkere huidskleur, donkere huidskleur, helm, klusser, man, persoon, renovatie, renoveren, werk
👷‍♂	bouw, bouwvakker, man, mannelijke bouwvakker
👷🏻‍♂	bouw, bouwvakker, lichte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: lichte huidskleur
👷🏼‍♂	bouw, bouwvakker, lichtgetinte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: lichtgetinte huidskleur
👷🏽‍♂	bouw, bouwvakker, getinte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: getinte huidskleur
👷🏾‍♂	bouw, bouwvakker, donkergetinte huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: donkergetinte huidskleur
👷🏿‍♂	bouw, bouwvakker, donkere huidskleur, man, mannelijke bouwvakker, mannelijke bouwvakker: donkere huidskleur
👷‍♀	baan, beroep, bouw, bouwvakker, helm, persoon, vrouw, vrouwelijke bouwvakker, werk
👷🏻‍♀	baan, beroep, bouw, bouwvakker, helm, lichte huidskleur, persoon, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: lichte huidskleur, werk
👷🏼‍♀	baan, beroep, bouw, bouwvakker, helm, lichtgetinte huidskleur, persoon, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: lichtgetinte huidskleur, werk
👷🏽‍♀	baan, beroep, bouw, bouwvakker, getinte huidskleur, helm, persoon, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: getinte huidskleur, werk
👷🏾‍♀	baan, beroep, bouw, bouwvakker, donkergetinte huidskleur, helm, persoon, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: donkergetinte huidskleur, werk
👷🏿‍♀	baan, beroep, bouw, bouwvakker, donkere huidskleur, helm, persoon, vrouw, vrouwelijke bouwvakker, vrouwelijke bouwvakker: donkere huidskleur, werk
🫅	edele, heerser, iemand van koninklijken bloede, keizer, koning, koninklijk, persoon, persoon met kroon, regaal
🫅🏻	edele, heerser, iemand van koninklijken bloede, keizer, koning, koninklijk, lichte huidskleur, persoon, persoon met kroon, persoon met kroon: lichte huidskleur, regaal
🫅🏼	edele, heerser, iemand van koninklijken bloede, keizer, koning, koninklijk, lichtgetinte huidskleur, persoon, persoon met kroon, persoon met kroon: lichtgetinte huidskleur, regaal
🫅🏽	edele, getinte huidskleur, heerser, iemand van koninklijken bloede, keizer, koning, koninklijk, persoon, persoon met kroon, persoon met kroon: getinte huidskleur, regaal
🫅🏾	donkergetinte huidskleur, edele, heerser, iemand van koninklijken bloede, keizer, koning, koninklijk, persoon, persoon met kroon, persoon met kroon: donkergetinte huidskleur, regaal
🫅🏿	donkere huidskleur, edele, heerser, iemand van koninklijken bloede, keizer, koning, koninklijk, persoon, persoon met kroon, persoon met kroon: donkere huidskleur, regaal
🤴	fantasie, koning, koninklijk, kroon, prins, royalty, sprookje
🤴🏻	fantasie, koning, koninklijk, kroon, lichte huidskleur, prins, prins: lichte huidskleur, royalty, sprookje
🤴🏼	fantasie, koning, koninklijk, kroon, lichtgetinte huidskleur, prins, prins: lichtgetinte huidskleur, royalty, sprookje
🤴🏽	fantasie, getinte huidskleur, koning, koninklijk, kroon, prins, prins: getinte huidskleur, royalty, sprookje
🤴🏾	donkergetinte huidskleur, fantasie, koning, koninklijk, kroon, prins, prins: donkergetinte huidskleur, royalty, sprookje
🤴🏿	donkere huidskleur, fantasie, koning, koninklijk, kroon, prins, prins: donkere huidskleur, royalty, sprookje
👸	fantasie, koningin, kroon, persoon, prinses, sprookje, vrouw met kroon
👸🏻	fantasie, koningin, kroon, lichte huidskleur, persoon, prinses, prinses: lichte huidskleur, sprookje, vrouw met kroon
👸🏼	fantasie, koningin, kroon, lichtgetinte huidskleur, persoon, prinses, prinses: lichtgetinte huidskleur, sprookje, vrouw met kroon
👸🏽	fantasie, getinte huidskleur, koningin, kroon, persoon, prinses, prinses: getinte huidskleur, sprookje, vrouw met kroon
👸🏾	donkergetinte huidskleur, fantasie, koningin, kroon, persoon, prinses, prinses: donkergetinte huidskleur, sprookje, vrouw met kroon
👸🏿	donkere huidskleur, fantasie, koningin, kroon, persoon, prinses, prinses: donkere huidskleur, sprookje, vrouw met kroon
👳	dragen, persoon, persoon met tulband, tulband
👳🏻	dragen, lichte huidskleur, persoon, persoon met tulband: lichte huidskleur, tulband
👳🏼	dragen, lichtgetinte huidskleur, persoon, persoon met tulband: lichtgetinte huidskleur, tulband
👳🏽	dragen, getinte huidskleur, persoon, persoon met tulband: getinte huidskleur, tulband
👳🏾	donkergetinte huidskleur, dragen, persoon, persoon met tulband: donkergetinte huidskleur, tulband
👳🏿	donkere huidskleur, dragen, persoon, persoon met tulband: donkere huidskleur, tulband
👳‍♂	man, man met tulband, tulband
👳🏻‍♂	lichte huidskleur, man, man met tulband, man met tulband: lichte huidskleur, tulband
👳🏼‍♂	lichtgetinte huidskleur, man, man met tulband, man met tulband: lichtgetinte huidskleur, tulband
👳🏽‍♂	getinte huidskleur, man, man met tulband, man met tulband: getinte huidskleur, tulband
👳🏾‍♂	donkergetinte huidskleur, man, man met tulband, man met tulband: donkergetinte huidskleur, tulband
👳🏿‍♂	donkere huidskleur, man, man met tulband, man met tulband: donkere huidskleur, tulband
👳‍♀	dragen, tulband, vrouw, vrouw met tulband
👳🏻‍♀	dragen, lichte huidskleur, tulband, vrouw, vrouw met tulband: lichte huidskleur
👳🏼‍♀	dragen, lichtgetinte huidskleur, tulband, vrouw, vrouw met tulband: lichtgetinte huidskleur
👳🏽‍♀	dragen, getinte huidskleur, tulband, vrouw, vrouw met tulband: getinte huidskleur
👳🏾‍♀	donkergetinte huidskleur, dragen, tulband, vrouw, vrouw met tulband: donkergetinte huidskleur
👳🏿‍♀	donkere huidskleur, dragen, tulband, vrouw, vrouw met tulband: donkere huidskleur
👲	gua pi mao, hoed, man, man met Chinees petje, man met chinese hoed, persoon, petje
👲🏻	gua pi mao, hoed, lichte huidskleur, man, man met Chinees petje, man met Chinees petje: lichte huidskleur, man met chinese hoed, persoon, petje
👲🏼	gua pi mao, hoed, lichtgetinte huidskleur, man, man met Chinees petje, man met Chinees petje: lichtgetinte huidskleur, man met chinese hoed, persoon, petje
👲🏽	getinte huidskleur, gua pi mao, hoed, man, man met Chinees petje, man met Chinees petje: getinte huidskleur, man met chinese hoed, persoon, petje
👲🏾	donkergetinte huidskleur, gua pi mao, hoed, man, man met Chinees petje, man met Chinees petje: donkergetinte huidskleur, man met chinese hoed, persoon, petje
👲🏿	donkere huidskleur, gua pi mao, hoed, man, man met Chinees petje, man met Chinees petje: donkere huidskleur, man met chinese hoed, persoon, petje
🧕	hidjab, hijab, hoofddoek, mantilla, persoon, sluier, vrouw met hoofddoek
🧕🏻	hidjab, hijab, hoofddoek, lichte huidskleur, mantilla, persoon, sluier, vrouw met hoofddoek, vrouw met hoofddoek: lichte huidskleur
🧕🏼	hidjab, hijab, hoofddoek, lichtgetinte huidskleur, mantilla, persoon, sluier, vrouw met hoofddoek, vrouw met hoofddoek: lichtgetinte huidskleur
🧕🏽	getinte huidskleur, hidjab, hijab, hoofddoek, mantilla, persoon, sluier, vrouw met hoofddoek, vrouw met hoofddoek: getinte huidskleur
🧕🏾	donkergetinte huidskleur, hidjab, hijab, hoofddoek, mantilla, persoon, sluier, vrouw met hoofddoek, vrouw met hoofddoek: donkergetinte huidskleur
🧕🏿	donkere huidskleur, hidjab, hijab, hoofddoek, mantilla, persoon, sluier, vrouw met hoofddoek, vrouw met hoofddoek: donkere huidskleur
🤵	bruiloft, formeel, persoon, persoon in smoking, smoking
🤵🏻	bruiloft, formeel, lichte huidskleur, persoon, persoon in smoking: lichte huidskleur, smoking
🤵🏼	bruiloft, formeel, lichtgetinte huidskleur, persoon, persoon in smoking: lichtgetinte huidskleur, smoking
🤵🏽	bruiloft, formeel, getinte huidskleur, persoon, persoon in smoking: getinte huidskleur, smoking
🤵🏾	bruiloft, donkergetinte huidskleur, formeel, persoon, persoon in smoking: donkergetinte huidskleur, smoking
🤵🏿	bruiloft, donkere huidskleur, formeel, persoon, persoon in smoking: donkere huidskleur, smoking
🤵‍♂	man, man in smoking, smoking
🤵🏻‍♂	lichte huidskleur, man, man in smoking, man in smoking: lichte huidskleur, smoking
🤵🏼‍♂	lichtgetinte huidskleur, man, man in smoking, man in smoking: lichtgetinte huidskleur, smoking
🤵🏽‍♂	getinte huidskleur, man, man in smoking, man in smoking: getinte huidskleur, smoking
🤵🏾‍♂	donkergetinte huidskleur, man, man in smoking, man in smoking: donkergetinte huidskleur, smoking
🤵🏿‍♂	donkere huidskleur, man, man in smoking, man in smoking: donkere huidskleur, smoking
🤵‍♀	smoking, vrouw, vrouw in smoking
🤵🏻‍♀	lichte huidskleur, smoking, vrouw, vrouw in smoking, vrouw in smoking: lichte huidskleur
🤵🏼‍♀	lichtgetinte huidskleur, smoking, vrouw, vrouw in smoking, vrouw in smoking: lichtgetinte huidskleur
🤵🏽‍♀	getinte huidskleur, smoking, vrouw, vrouw in smoking, vrouw in smoking: getinte huidskleur
🤵🏾‍♀	donkergetinte huidskleur, smoking, vrouw, vrouw in smoking, vrouw in smoking: donkergetinte huidskleur
🤵🏿‍♀	donkere huidskleur, smoking, vrouw, vrouw in smoking, vrouw in smoking: donkere huidskleur
👰	bruiloft, persoon, persoon met sluier, sluier
👰🏻	bruiloft, lichte huidskleur, persoon, persoon met sluier: lichte huidskleur, sluier
👰🏼	bruiloft, lichtgetinte huidskleur, persoon, persoon met sluier: lichtgetinte huidskleur, sluier
👰🏽	bruiloft, getinte huidskleur, persoon, persoon met sluier: getinte huidskleur, sluier
👰🏾	bruiloft, donkergetinte huidskleur, persoon, persoon met sluier: donkergetinte huidskleur, sluier
👰🏿	bruiloft, donkere huidskleur, persoon, persoon met sluier: donkere huidskleur, sluier
👰‍♂	man, man met sluier, sluier
👰🏻‍♂	lichte huidskleur, man, man met sluier, man met sluier: lichte huidskleur, sluier
👰🏼‍♂	lichtgetinte huidskleur, man, man met sluier, man met sluier: lichtgetinte huidskleur, sluier
👰🏽‍♂	getinte huidskleur, man, man met sluier, man met sluier: getinte huidskleur, sluier
👰🏾‍♂	donkergetinte huidskleur, man, man met sluier, man met sluier: donkergetinte huidskleur, sluier
👰🏿‍♂	donkere huidskleur, man, man met sluier, man met sluier: donkere huidskleur, sluier
👰‍♀	sluier, vrouw, vrouw met sluier
👰🏻‍♀	lichte huidskleur, sluier, vrouw, vrouw met sluier, vrouw met sluier: lichte huidskleur
👰🏼‍♀	lichtgetinte huidskleur, sluier, vrouw, vrouw met sluier, vrouw met sluier: lichtgetinte huidskleur
👰🏽‍♀	getinte huidskleur, sluier, vrouw, vrouw met sluier, vrouw met sluier: getinte huidskleur
👰🏾‍♀	donkergetinte huidskleur, sluier, vrouw, vrouw met sluier, vrouw met sluier: donkergetinte huidskleur
👰🏿‍♀	donkere huidskleur, sluier, vrouw, vrouw met sluier, vrouw met sluier: donkere huidskleur
🤰	vrouw, zwanger, zwangere vrouw
🤰🏻	lichte huidskleur, vrouw, zwanger, zwangere vrouw: lichte huidskleur
🤰🏼	lichtgetinte huidskleur, vrouw, zwanger, zwangere vrouw: lichtgetinte huidskleur
🤰🏽	getinte huidskleur, vrouw, zwanger, zwangere vrouw: getinte huidskleur
🤰🏾	donkergetinte huidskleur, vrouw, zwanger, zwangere vrouw: donkergetinte huidskleur
🤰🏿	donkere huidskleur, vrouw, zwanger, zwangere vrouw: donkere huidskleur
🫃	buik, man, opgeblazen, te veel eten, vol, zwanger, zwangere man
🫃🏻	buik, lichte huidskleur, man, opgeblazen, te veel eten, vol, zwanger, zwangere man: lichte huidskleur
🫃🏼	buik, lichtgetinte huidskleur, man, opgeblazen, te veel eten, vol, zwanger, zwangere man: lichtgetinte huidskleur
🫃🏽	buik, getinte huidskleur, man, opgeblazen, te veel eten, vol, zwanger, zwangere man: getinte huidskleur
🫃🏾	buik, donkergetinte huidskleur, man, opgeblazen, te veel eten, vol, zwanger, zwangere man: donkergetinte huidskleur
🫃🏿	buik, donkere huidskleur, man, opgeblazen, te veel eten, vol, zwanger, zwangere man: donkere huidskleur
🫄	baby, buik, opgeblazen, persoon, vol, zwanger, zwanger persoon
🫄🏻	baby, buik, lichte huidskleur, opgeblazen, persoon, vol, zwanger, zwanger persoon: lichte huidskleur
🫄🏼	baby, buik, lichtgetinte huidskleur, opgeblazen, persoon, vol, zwanger, zwanger persoon: lichtgetinte huidskleur
🫄🏽	baby, buik, getinte huidskleur, opgeblazen, persoon, vol, zwanger, zwanger persoon: getinte huidskleur
🫄🏾	baby, buik, donkergetinte huidskleur, opgeblazen, persoon, vol, zwanger, zwanger persoon: donkergetinte huidskleur
🫄🏿	baby, buik, donkere huidskleur, opgeblazen, persoon, vol, zwanger, zwanger persoon: donkere huidskleur
🤱	baby, borst, borstvoeding, de borst geven, persoon
🤱🏻	baby, borst, borstvoeding, borstvoeding: lichte huidskleur, de borst geven, lichte huidskleur, persoon
🤱🏼	baby, borst, borstvoeding, borstvoeding: lichtgetinte huidskleur, de borst geven, lichtgetinte huidskleur, persoon
🤱🏽	baby, borst, borstvoeding, borstvoeding: getinte huidskleur, de borst geven, getinte huidskleur, persoon
🤱🏾	baby, borst, borstvoeding, borstvoeding: donkergetinte huidskleur, de borst geven, donkergetinte huidskleur, persoon
🤱🏿	baby, borst, borstvoeding, borstvoeding: donkere huidskleur, de borst geven, donkere huidskleur, persoon
👩‍🍼	baby, borstvoeding, mama, moeder, oppas, pasgeboren, voeden, voeding, vrouw, vrouw die een baby voedt
👩🏻‍🍼	baby, borstvoeding, lichte huidskleur, mama, moeder, oppas, pasgeboren, voeden, voeding, vrouw, vrouw die een baby voedt: lichte huidskleur
👩🏼‍🍼	baby, borstvoeding, lichtgetinte huidskleur, mama, moeder, oppas, pasgeboren, voeden, voeding, vrouw, vrouw die een baby voedt: lichtgetinte huidskleur
👩🏽‍🍼	baby, borstvoeding, getinte huidskleur, mama, moeder, oppas, pasgeboren, voeden, voeding, vrouw, vrouw die een baby voedt: getinte huidskleur
👩🏾‍🍼	baby, borstvoeding, donkergetinte huidskleur, mama, moeder, oppas, pasgeboren, voeden, voeding, vrouw, vrouw die een baby voedt: donkergetinte huidskleur
👩🏿‍🍼	baby, borstvoeding, donkere huidskleur, mama, moeder, oppas, pasgeboren, voeden, voeding, vrouw, vrouw die een baby voedt: donkere huidskleur
👨‍🍼	baby, borstvoeding, man, man die een baby voedt, melk, papa, persoon, vader, voeden, voeding
👨🏻‍🍼	baby, borstvoeding, lichte huidskleur, man, man die een baby voedt, man die een baby voedt: lichte huidskleur, melk, papa, persoon, vader, voeden, voeding
👨🏼‍🍼	baby, borstvoeding, lichtgetinte huidskleur, man, man die een baby voedt, man die een baby voedt: lichtgetinte huidskleur, melk, papa, persoon, vader, voeden, voeding
👨🏽‍🍼	baby, borstvoeding, getinte huidskleur, man, man die een baby voedt, man die een baby voedt: getinte huidskleur, melk, papa, persoon, vader, voeden, voeding
👨🏾‍🍼	baby, borstvoeding, donkergetinte huidskleur, man, man die een baby voedt, man die een baby voedt: donkergetinte huidskleur, melk, papa, persoon, vader, voeden, voeding
👨🏿‍🍼	baby, borstvoeding, donkere huidskleur, man, man die een baby voedt, man die een baby voedt: donkere huidskleur, melk, papa, persoon, vader, voeden, voeding
🧑‍🍼	baby, borstvoeding, oppas, ouder, pasgeboren, persoon die een baby voedt, voeden, voeding
🧑🏻‍🍼	baby, borstvoeding, lichte huidskleur, oppas, ouder, pasgeboren, persoon die een baby voedt: lichte huidskleur, voeden, voeding
🧑🏼‍🍼	baby, borstvoeding, lichtgetinte huidskleur, oppas, ouder, pasgeboren, persoon die een baby voedt: lichtgetinte huidskleur, voeden, voeding
🧑🏽‍🍼	baby, borstvoeding, getinte huidskleur, oppas, ouder, pasgeboren, persoon die een baby voedt: getinte huidskleur, voeden, voeding
🧑🏾‍🍼	baby, borstvoeding, donkergetinte huidskleur, oppas, ouder, pasgeboren, persoon die een baby voedt: donkergetinte huidskleur, voeden, voeding
🧑🏿‍🍼	baby, borstvoeding, donkere huidskleur, oppas, ouder, pasgeboren, persoon die een baby voedt: donkere huidskleur, voeden, voeding
👼	baby, baby-engel, engel, fantasie, gezicht, kerk, sprookje
👼🏻	baby, baby-engel: lichte huidskleur, engel, fantasie, gezicht, kerk, lichte huidskleur, sprookje
👼🏼	baby, baby-engel: lichtgetinte huidskleur, engel, fantasie, gezicht, kerk, lichtgetinte huidskleur, sprookje
👼🏽	baby, baby-engel: getinte huidskleur, engel, fantasie, getinte huidskleur, gezicht, kerk, sprookje
👼🏾	baby, baby-engel: donkergetinte huidskleur, donkergetinte huidskleur, engel, fantasie, gezicht, kerk, sprookje
👼🏿	baby, baby-engel: donkere huidskleur, donkere huidskleur, engel, fantasie, gezicht, kerk, sprookje
🎅	Kerstmis, fantasie, feestdag, kerst, kerstman, viering, vrolijk
🎅🏻	Kerstmis, fantasie, feestdag, kerst, kerstman, kerstman: lichte huidskleur, lichte huidskleur, viering, vrolijk
🎅🏼	Kerstmis, fantasie, feestdag, kerst, kerstman, kerstman: lichtgetinte huidskleur, lichtgetinte huidskleur, viering, vrolijk
🎅🏽	Kerstmis, fantasie, feestdag, getinte huidskleur, kerst, kerstman, kerstman: getinte huidskleur, viering, vrolijk
🎅🏾	Kerstmis, donkergetinte huidskleur, fantasie, feestdag, kerst, kerstman, kerstman: donkergetinte huidskleur, viering, vrolijk
🎅🏿	Kerstmis, donkere huidskleur, fantasie, feestdag, kerst, kerstman, kerstman: donkere huidskleur, viering, vrolijk
🤶	feest, kerst, kerstmis, kerstvrouw, moedertje kerst, persoon, viering
🤶🏻	feest, kerst, kerstmis, kerstvrouw, kerstvrouw: lichte huidskleur, lichte huidskleur, moedertje kerst, persoon, viering
🤶🏼	feest, kerst, kerstmis, kerstvrouw, kerstvrouw: lichtgetinte huidskleur, lichtgetinte huidskleur, moedertje kerst, persoon, viering
🤶🏽	feest, getinte huidskleur, kerst, kerstmis, kerstvrouw, kerstvrouw: getinte huidskleur, moedertje kerst, persoon, viering
🤶🏾	donkergetinte huidskleur, feest, kerst, kerstmis, kerstvrouw, kerstvrouw: donkergetinte huidskleur, moedertje kerst, persoon, viering
🤶🏿	donkere huidskleur, feest, kerst, kerstmis, kerstvrouw, kerstvrouw: donkere huidskleur, moedertje kerst, persoon, viering
🧑‍🎄	Kerstman, feestdagen, kerst, kerstdagen, kerstman, kerstmis, kerstmuts, kersttransgender, kerstvrouw, persoon
🧑🏻‍🎄	Kerstman, feestdagen, kerst, kerstdagen, kerstman, kerstmis, kerstmuts, kersttransgender, kersttransgender: lichte huidskleur, kerstvrouw, lichte huidskleur, persoon
🧑🏼‍🎄	Kerstman, feestdagen, kerst, kerstdagen, kerstman, kerstmis, kerstmuts, kersttransgender, kersttransgender: lichtgetinte huidskleur, kerstvrouw, lichtgetinte huidskleur, persoon
🧑🏽‍🎄	Kerstman, feestdagen, getinte huidskleur, kerst, kerstdagen, kerstman, kerstmis, kerstmuts, kersttransgender, kersttransgender: getinte huidskleur, kerstvrouw, persoon
🧑🏾‍🎄	Kerstman, donkergetinte huidskleur, feestdagen, kerst, kerstdagen, kerstman, kerstmis, kerstmuts, kersttransgender, kersttransgender: donkergetinte huidskleur, kerstvrouw, persoon
🧑🏿‍🎄	Kerstman, donkere huidskleur, feestdagen, kerst, kerstdagen, kerstman, kerstmis, kerstmuts, kersttransgender, kersttransgender: donkere huidskleur, kerstvrouw, persoon
🦸	goed, held, superheld, superkracht
🦸🏻	goed, held, lichte huidskleur, superheld, superheld: lichte huidskleur, superkracht
🦸🏼	goed, held, lichtgetinte huidskleur, superheld, superheld: lichtgetinte huidskleur, superkracht
🦸🏽	getinte huidskleur, goed, held, superheld, superheld: getinte huidskleur, superkracht
🦸🏾	donkergetinte huidskleur, goed, held, superheld, superheld: donkergetinte huidskleur, superkracht
🦸🏿	donkere huidskleur, goed, held, superheld, superheld: donkere huidskleur, superkracht
🦸‍♂	goed, held, man, mannelijke superheld, superkrachten
🦸🏻‍♂	goed, held, lichte huidskleur, man, mannelijke superheld, mannelijke superheld: lichte huidskleur, superkrachten
🦸🏼‍♂	goed, held, lichtgetinte huidskleur, man, mannelijke superheld, mannelijke superheld: lichtgetinte huidskleur, superkrachten
🦸🏽‍♂	getinte huidskleur, goed, held, man, mannelijke superheld, mannelijke superheld: getinte huidskleur, superkrachten
🦸🏾‍♂	donkergetinte huidskleur, goed, held, man, mannelijke superheld, mannelijke superheld: donkergetinte huidskleur, superkrachten
🦸🏿‍♂	donkere huidskleur, goed, held, man, mannelijke superheld, mannelijke superheld: donkere huidskleur, superkrachten
🦸‍♀	goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld
🦸🏻‍♀	goed, held, heldin, lichte huidskleur, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: lichte huidskleur
🦸🏼‍♀	goed, held, heldin, lichtgetinte huidskleur, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: lichtgetinte huidskleur
🦸🏽‍♀	getinte huidskleur, goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: getinte huidskleur
🦸🏾‍♀	donkergetinte huidskleur, goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: donkergetinte huidskleur
🦸🏿‍♀	donkere huidskleur, goed, held, heldin, superkrachten, vrouw, vrouwelijke superheld, vrouwelijke superheld: donkere huidskleur
🦹	crimineel, kwaad, schurk, slecht, superkracht, superschurk
🦹🏻	crimineel, kwaad, lichte huidskleur, schurk, slecht, superkracht, superschurk, superschurk: lichte huidskleur
🦹🏼	crimineel, kwaad, lichtgetinte huidskleur, schurk, slecht, superkracht, superschurk, superschurk: lichtgetinte huidskleur
🦹🏽	crimineel, getinte huidskleur, kwaad, schurk, slecht, superkracht, superschurk, superschurk: getinte huidskleur
🦹🏾	crimineel, donkergetinte huidskleur, kwaad, schurk, slecht, superkracht, superschurk, superschurk: donkergetinte huidskleur
🦹🏿	crimineel, donkere huidskleur, kwaad, schurk, slecht, superkracht, superschurk, superschurk: donkere huidskleur
🦹‍♂	boef, crimineel, man, mannelijke superschurk, slecht, superkrachten
🦹🏻‍♂	boef, crimineel, lichte huidskleur, man, mannelijke superschurk, mannelijke superschurk: lichte huidskleur, slecht, superkrachten
🦹🏼‍♂	boef, crimineel, lichtgetinte huidskleur, man, mannelijke superschurk, mannelijke superschurk: lichtgetinte huidskleur, slecht, superkrachten
🦹🏽‍♂	boef, crimineel, getinte huidskleur, man, mannelijke superschurk, mannelijke superschurk: getinte huidskleur, slecht, superkrachten
🦹🏾‍♂	boef, crimineel, donkergetinte huidskleur, man, mannelijke superschurk, mannelijke superschurk: donkergetinte huidskleur, slecht, superkrachten
🦹🏿‍♂	boef, crimineel, donkere huidskleur, man, mannelijke superschurk, mannelijke superschurk: donkere huidskleur, slecht, superkrachten
🦹‍♀	boef, crimineel, slecht, superkrachten, vrouw, vrouwelijke superschurk
🦹🏻‍♀	boef, crimineel, lichte huidskleur, slecht, superkrachten, vrouw, vrouwelijke superschurk, vrouwelijke superschurk: lichte huidskleur
🦹🏼‍♀	boef, crimineel, lichtgetinte huidskleur, slecht, superkrachten, vrouw, vrouwelijke superschurk, vrouwelijke superschurk: lichtgetinte huidskleur
🦹🏽‍♀	boef, crimineel, getinte huidskleur, slecht, superkrachten, vrouw, vrouwelijke superschurk, vrouwelijke superschurk: getinte huidskleur
🦹🏾‍♀	boef, crimineel, donkergetinte huidskleur, slecht, superkrachten, vrouw, vrouwelijke superschurk, vrouwelijke superschurk: donkergetinte huidskleur
🦹🏿‍♀	boef, crimineel, donkere huidskleur, slecht, superkrachten, vrouw, vrouwelijke superschurk, vrouwelijke superschurk: donkere huidskleur
🧙	fantasie, heks, magie, magiër, spreuk, sprookje, tovenaar, tovenares
🧙🏻	fantasie, heks, lichte huidskleur, magie, magiër, magiër: lichte huidskleur, spreuk, sprookje, tovenaar, tovenares
🧙🏼	fantasie, heks, lichtgetinte huidskleur, magie, magiër, magiër: lichtgetinte huidskleur, spreuk, sprookje, tovenaar, tovenares
🧙🏽	fantasie, getinte huidskleur, heks, magie, magiër, magiër: getinte huidskleur, spreuk, sprookje, tovenaar, tovenares
🧙🏾	donkergetinte huidskleur, fantasie, heks, magie, magiër, magiër: donkergetinte huidskleur, spreuk, sprookje, tovenaar, tovenares
🧙🏿	donkere huidskleur, fantasie, heks, magie, magiër, magiër: donkere huidskleur, spreuk, sprookje, tovenaar, tovenares
🧙‍♂	heksenmeester, mannelijke magiër, tovenaar
🧙🏻‍♂	heksenmeester, lichte huidskleur, mannelijke magiër, mannelijke magiër: lichte huidskleur, tovenaar
🧙🏼‍♂	heksenmeester, lichtgetinte huidskleur, mannelijke magiër, mannelijke magiër: lichtgetinte huidskleur, tovenaar
🧙🏽‍♂	getinte huidskleur, heksenmeester, mannelijke magiër, mannelijke magiër: getinte huidskleur, tovenaar
🧙🏾‍♂	donkergetinte huidskleur, heksenmeester, mannelijke magiër, mannelijke magiër: donkergetinte huidskleur, tovenaar
🧙🏿‍♂	donkere huidskleur, heksenmeester, mannelijke magiër, mannelijke magiër: donkere huidskleur, tovenaar
🧙‍♀	heks, tovenares, vrouwelijke magiër
🧙🏻‍♀	heks, lichte huidskleur, tovenares, vrouwelijke magiër, vrouwelijke magiër: lichte huidskleur
🧙🏼‍♀	heks, lichtgetinte huidskleur, tovenares, vrouwelijke magiër, vrouwelijke magiër: lichtgetinte huidskleur
🧙🏽‍♀	getinte huidskleur, heks, tovenares, vrouwelijke magiër, vrouwelijke magiër: getinte huidskleur
🧙🏾‍♀	donkergetinte huidskleur, heks, tovenares, vrouwelijke magiër, vrouwelijke magiër: donkergetinte huidskleur
🧙🏿‍♀	donkere huidskleur, heks, tovenares, vrouwelijke magiër, vrouwelijke magiër: donkere huidskleur
🧚	elfje, fantasie, mythe, persoon, pixie, sprookje, vleugels
🧚🏻	elfje: lichte huidskleur, fantasie, lichte huidskleur, mythe, persoon, pixie, sprookje, vleugels
🧚🏼	elfje: lichtgetinte huidskleur, fantasie, lichtgetinte huidskleur, mythe, persoon, pixie, sprookje, vleugels
🧚🏽	elfje: getinte huidskleur, fantasie, getinte huidskleur, mythe, persoon, pixie, sprookje, vleugels
🧚🏾	donkergetinte huidskleur, elfje: donkergetinte huidskleur, fantasie, mythe, persoon, pixie, sprookje, vleugels
🧚🏿	donkere huidskleur, elfje: donkere huidskleur, fantasie, mythe, persoon, pixie, sprookje, vleugels
🧚‍♂	Oberon, Puck, mannelijk elfje
🧚🏻‍♂	Oberon, Puck, lichte huidskleur, mannelijk elfje, mannelijk elfje: lichte huidskleur
🧚🏼‍♂	Oberon, Puck, lichtgetinte huidskleur, mannelijk elfje, mannelijk elfje: lichtgetinte huidskleur
🧚🏽‍♂	Oberon, Puck, getinte huidskleur, mannelijk elfje, mannelijk elfje: getinte huidskleur
🧚🏾‍♂	Oberon, Puck, donkergetinte huidskleur, mannelijk elfje, mannelijk elfje: donkergetinte huidskleur
