‾	үстіңгі сызық
👩🏼‍🦼	3-тері түрі, арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел: 3-тері түрі, әйел
👩🏽‍🦼	4-тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел: 4-тері түсі, әйел
👩🏾‍🦼	5-тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел: 5-тері түсі, әйел
👩🏿‍🦼	6-тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел: 6-тері түсі, әйел
👩‍🦼‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏻‍🦼‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏼‍🦼‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏽‍🦼‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏾‍🦼‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏿‍🦼‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, электр арбаша, электр жетегі бар арбашадағы әйел, электр жетегі бар арбашадағы әйел оңға қаратылған, әйел
🧑‍🦽	қол жетегі бар арбашадағы адам
🧑🏻‍🦽	1–2 тері түсі, қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам: 1–2 тері түсі
🧑🏼‍🦽	3-тері түрі, қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам: 3-тері түрі
🧑🏽‍🦽	4-тері түсі, қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам: 4-тері түсі
🧑🏾‍🦽	5-тері түсі, қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам: 5-тері түсі
🧑🏿‍🦽	6-тері түсі, қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам: 6-тері түсі
🧑‍🦽‍➡	қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам оңға қаратылған
🧑🏻‍🦽‍➡	қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам оңға қаратылған
🧑🏼‍🦽‍➡	қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам оңға қаратылған
🧑🏽‍🦽‍➡	қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам оңға қаратылған
🧑🏾‍🦽‍➡	қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам оңға қаратылған
🧑🏿‍🦽‍➡	қол жетегі бар арбашадағы адам, қол жетегі бар арбашадағы адам оңға қаратылған
👨‍🦽	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек
👨🏻‍🦽	1–2 тері түсі, арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек: 1–2 тері түсі
👨🏼‍🦽	3-тері түрі, арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек: 3-тері түрі
👨🏽‍🦽	4-тері түсі, арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек: 4-тері түсі
👨🏾‍🦽	5-тері түсі, арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек: 5-тері түсі
👨🏿‍🦽	6-тері түсі, арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек: 6-тері түсі
👨‍🦽‍➡	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек оңға қаратылған
👨🏻‍🦽‍➡	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек оңға қаратылған
👨🏼‍🦽‍➡	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек оңға қаратылған
👨🏽‍🦽‍➡	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек оңға қаратылған
👨🏾‍🦽‍➡	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек оңға қаратылған
👨🏿‍🦽‍➡	арбаша, еркек, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы еркек, қол жетегі бар арбашадағы еркек оңға қаратылған
👩‍🦽	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, әйел
👩🏻‍🦽	1–2 тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел: 1–2 тері түсі, әйел
👩🏼‍🦽	3-тері түрі, арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел: 3-тері түрі, әйел
👩🏽‍🦽	4-тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел: 4-тері түсі, әйел
👩🏾‍🦽	5-тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел: 5-тері түсі, әйел
👩🏿‍🦽	6-тері түсі, арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел: 6-тері түсі, әйел
👩‍🦽‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏻‍🦽‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏼‍🦽‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏽‍🦽‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏾‍🦽‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел оңға қаратылған, әйел
👩🏿‍🦽‍➡	арбаша, мүгедек, мүмкіндігі шектеулі, қол жетегі бар арбашадағы әйел, қол жетегі бар арбашадағы әйел оңға қаратылған, әйел
🏃	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏻	1–2 тері түсі, асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру: 1–2 тері түсі, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏼	3-тері түрі, асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру: 3-тері түрі, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏽	4-тері түсі, асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру: 4-тері түсі, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏾	5-тері түсі, асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру: 5-тері түсі, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏿	6-тері түсі, асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру: 6-тері түсі, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃‍♂	ер, жүгірген ер, жүгіру, марафон
🏃🏻‍♂	1–2 тері түсі, ер, жүгірген ер, жүгірген ер: 1–2 тері түсі, жүгіру, марафон
🏃🏼‍♂	3-тері түрі, ер, жүгірген ер, жүгірген ер: 3-тері түрі, жүгіру, марафон
🏃🏽‍♂	4-тері түсі, ер, жүгірген ер, жүгірген ер: 4-тері түсі, жүгіру, марафон
🏃🏾‍♂	5-тері түсі, ер, жүгірген ер, жүгірген ер: 5-тері түсі, жүгіру, марафон
🏃🏿‍♂	6-тері түсі, ер, жүгірген ер, жүгірген ер: 6-тері түсі, жүгіру, марафон
🏃‍♀	асығу, жүгірген әйел, жүгіру, марафон, әйел
🏃🏻‍♀	1–2 тері түсі, асығу, жүгірген әйел, жүгірген әйел: 1–2 тері түсі, жүгіру, марафон, әйел
🏃🏼‍♀	3-тері түрі, асығу, жүгірген әйел, жүгірген әйел: 3-тері түрі, жүгіру, марафон, әйел
🏃🏽‍♀	4-тері түсі, асығу, жүгірген әйел, жүгірген әйел: 4-тері түсі, жүгіру, марафон, әйел
🏃🏾‍♀	5-тері түсі, асығу, жүгірген әйел, жүгірген әйел: 5-тері түсі, жүгіру, марафон, әйел
🏃🏿‍♀	6-тері түсі, асығу, жүгірген әйел, жүгірген әйел: 6-тері түсі, жүгіру, марафон, әйел
🏃‍➡	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру оңға қаратылған, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏻‍➡	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру оңға қаратылған, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏼‍➡	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру оңға қаратылған, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏽‍➡	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру оңға қаратылған, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏾‍➡	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру оңға қаратылған, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃🏿‍➡	асығу, жарыс, желаяқ, жылдам, жылдамдық, жүгіру, жүгіру оңға қаратылған, жүгіріп бара жатқан адам, келе жатырмын, марафон, спорт, тез, ұшу
🏃‍♀‍➡	асығу, жүгірген әйел, жүгірген әйел оңға қаратылған, жүгіру, марафон, әйел
🏃🏻‍♀‍➡	асығу, жүгірген әйел, жүгірген әйел оңға қаратылған, жүгіру, марафон, әйел
🏃🏼‍♀‍➡	асығу, жүгірген әйел, жүгірген әйел оңға қаратылған, жүгіру, марафон, әйел
🏃🏽‍♀‍➡	асығу, жүгірген әйел, жүгірген әйел оңға қаратылған, жүгіру, марафон, әйел
🏃🏾‍♀‍➡	асығу, жүгірген әйел, жүгірген әйел оңға қаратылған, жүгіру, марафон, әйел
🏃🏿‍♀‍➡	асығу, жүгірген әйел, жүгірген әйел оңға қаратылған, жүгіру, марафон, әйел
🏃‍♂‍➡	ер, жүгірген ер, жүгірген ер оңға қаратылған, жүгіру, марафон
🏃🏻‍♂‍➡	ер, жүгірген ер, жүгірген ер оңға қаратылған, жүгіру, марафон
🏃🏼‍♂‍➡	ер, жүгірген ер, жүгірген ер оңға қаратылған, жүгіру, марафон
🏃🏽‍♂‍➡	ер, жүгірген ер, жүгірген ер оңға қаратылған, жүгіру, марафон
🏃🏾‍♂‍➡	ер, жүгірген ер, жүгірген ер оңға қаратылған, жүгіру, марафон
🏃🏿‍♂‍➡	ер, жүгірген ер, жүгірген ер оңға қаратылған, жүгіру, марафон
💃	би, билеген әйел, билеп тұрған әйел, әйел
💃🏻	1–2 тері түсі, би, билеген әйел, билеген әйел: 1–2 тері түсі, билеп тұрған әйел, әйел
💃🏼	3-тері түрі, би, билеген әйел, билеген әйел: 3-тері түрі, билеп тұрған әйел, әйел
💃🏽	4-тері түсі, би, билеген әйел, билеген әйел: 4-тері түсі, билеп тұрған әйел, әйел
💃🏾	5-тері түсі, би, билеген әйел, билеген әйел: 5-тері түсі, билеп тұрған әйел, әйел
💃🏿	6-тері түсі, би, билеген әйел, билеген әйел: 6-тері түсі, билеп тұрған әйел, әйел
🕺	адам, билеп, билеп тұрған ер адам, ер, тұрған
🕺🏻	1–2 тері түсі, адам, билеп, билеп тұрған ер адам: 1–2 тері түсі, ер, тұрған
🕺🏼	3-тері түрі, адам, билеп, билеп тұрған ер адам: 3-тері түрі, ер, тұрған
🕺🏽	4-тері түсі, адам, билеп, билеп тұрған ер адам: 4-тері түсі, ер, тұрған
🕺🏾	5-тері түсі, адам, билеп, билеп тұрған ер адам: 5-тері түсі, ер, тұрған
🕺🏿	6-тері түсі, адам, билеп, билеп тұрған ер адам: 6-тері түсі, ер, тұрған
🕴️	адам, ауада қалқып тұрған іскер, бизнес, ер, қалқу
🕴🏻	1–2 тері түсі, адам, ауада қалқып тұрған іскер, ауада қалқып тұрған іскер: 1–2 тері түсі, бизнес, ер, қалқу
🕴🏼	3-тері түрі, адам, ауада қалқып тұрған іскер, ауада қалқып тұрған іскер: 3-тері түрі, бизнес, ер, қалқу
🕴🏽	4-тері түсі, адам, ауада қалқып тұрған іскер, ауада қалқып тұрған іскер: 4-тері түсі, бизнес, ер, қалқу
🕴🏾	5-тері түсі, адам, ауада қалқып тұрған іскер, ауада қалқып тұрған іскер: 5-тері түсі, бизнес, ер, қалқу
🕴🏿	6-тері түсі, адам, ауада қалқып тұрған іскер, ауада қалқып тұрған іскер: 6-тері түсі, бизнес, ер, қалқу
👯	адамдар, билеп жатқан әйелдер, билеу, биші, бірдей, егіздер, жан дос, жақын дос, жұп, кеш, сауық кеші, қоян құлақ, қоян құлақ таққан адамдар
👯‍♂	би, ерлер, той, тойлатып жүрген ерлер, қоян құлақтары
👯‍♀	би, той, тойлатып жүрген әйелдер, қоян құлақтары, әйелдер
🧖	адам, босаңсу, бу бөлмедегі адам, демалу, монша, сауна, спа, тынығу
🧖🏻	1–2 тері түсі, адам, босаңсу, бу бөлмедегі адам, бу бөлмедегі адам: 1–2 тері түсі, демалу, монша, сауна, спа, тынығу
🧖🏼	3-тері түрі, адам, босаңсу, бу бөлмедегі адам, бу бөлмедегі адам: 3-тері түрі, демалу, монша, сауна, спа, тынығу
🧖🏽	4-тері түсі, адам, босаңсу, бу бөлмедегі адам, бу бөлмедегі адам: 4-тері түсі, демалу, монша, сауна, спа, тынығу
🧖🏾	5-тері түсі, адам, босаңсу, бу бөлмедегі адам, бу бөлмедегі адам: 5-тері түсі, демалу, монша, сауна, спа, тынығу
🧖🏿	6-тері түсі, адам, босаңсу, бу бөлмедегі адам, бу бөлмедегі адам: 6-тері түсі, демалу, монша, сауна, спа, тынығу
🧖‍♂	бу бөлмедегі ер
🧖🏻‍♂	1–2 тері түсі, бу бөлмедегі ер, бу бөлмедегі ер: 1–2 тері түсі
🧖🏼‍♂	3-тері түрі, бу бөлмедегі ер, бу бөлмедегі ер: 3-тері түрі
🧖🏽‍♂	4-тері түсі, бу бөлмедегі ер, бу бөлмедегі ер: 4-тері түсі
🧖🏾‍♂	5-тері түсі, бу бөлмедегі ер, бу бөлмедегі ер: 5-тері түсі
🧖🏿‍♂	6-тері түсі, бу бөлмедегі ер, бу бөлмедегі ер: 6-тері түсі
🧖‍♀	бу бөлмедегі әйел
🧖🏻‍♀	1–2 тері түсі, бу бөлмедегі әйел, бу бөлмедегі әйел: 1–2 тері түсі
🧖🏼‍♀	3-тері түрі, бу бөлмедегі әйел, бу бөлмедегі әйел: 3-тері түрі
🧖🏽‍♀	4-тері түсі, бу бөлмедегі әйел, бу бөлмедегі әйел: 4-тері түсі
🧖🏾‍♀	5-тері түсі, бу бөлмедегі әйел, бу бөлмедегі әйел: 5-тері түсі
🧖🏿‍♀	6-тері түсі, бу бөлмедегі әйел, бу бөлмедегі әйел: 6-тері түсі
🧗	адам, альпинизм, альпинист, жартас, жоғары, көтерілу, тау, тауға шығу, шың, құз, құзға шығу, өрмелеп бара жатқан адам, өрмелеу
🧗🏻	1–2 тері түсі, адам, альпинизм, альпинист, жартас, жоғары, көтерілу, тау, тауға шығу, шың, құз, құзға шығу, өрмелеп бара жатқан адам, өрмелеп бара жатқан адам: 1–2 тері түсі, өрмелеу
🧗🏼	3-тері түрі, адам, альпинизм, альпинист, жартас, жоғары, көтерілу, тау, тауға шығу, шың, құз, құзға шығу, өрмелеп бара жатқан адам, өрмелеп бара жатқан адам: 3-тері түрі, өрмелеу
🧗🏽	4-тері түсі, адам, альпинизм, альпинист, жартас, жоғары, көтерілу, тау, тауға шығу, шың, құз, құзға шығу, өрмелеп бара жатқан адам, өрмелеп бара жатқан адам: 4-тері түсі, өрмелеу
🧗🏾	5-тері түсі, адам, альпинизм, альпинист, жартас, жоғары, көтерілу, тау, тауға шығу, шың, құз, құзға шығу, өрмелеп бара жатқан адам, өрмелеп бара жатқан адам: 5-тері түсі, өрмелеу
🧗🏿	6-тері түсі, адам, альпинизм, альпинист, жартас, жоғары, көтерілу, тау, тауға шығу, шың, құз, құзға шығу, өрмелеп бара жатқан адам, өрмелеп бара жатқан адам: 6-тері түсі, өрмелеу
🧗‍♂	көтеріліп бара жатқан ер адам
🧗🏻‍♂	1–2 тері түсі, көтеріліп бара жатқан ер адам, көтеріліп бара жатқан ер адам: 1–2 тері түсі
🧗🏼‍♂	3-тері түрі, көтеріліп бара жатқан ер адам, көтеріліп бара жатқан ер адам: 3-тері түрі
🧗🏽‍♂	4-тері түсі, көтеріліп бара жатқан ер адам, көтеріліп бара жатқан ер адам: 4-тері түсі
🧗🏾‍♂	5-тері түсі, көтеріліп бара жатқан ер адам, көтеріліп бара жатқан ер адам: 5-тері түсі
🧗🏿‍♂	6-тері түсі, көтеріліп бара жатқан ер адам, көтеріліп бара жатқан ер адам: 6-тері түсі
🧗‍♀	көтеріліп бара жатқан әйел
🧗🏻‍♀	1–2 тері түсі, көтеріліп бара жатқан әйел, көтеріліп бара жатқан әйел: 1–2 тері түсі
🧗🏼‍♀	3-тері түрі, көтеріліп бара жатқан әйел, көтеріліп бара жатқан әйел: 3-тері түрі
🧗🏽‍♀	4-тері түсі, көтеріліп бара жатқан әйел, көтеріліп бара жатқан әйел: 4-тері түсі
🧗🏾‍♀	5-тері түсі, көтеріліп бара жатқан әйел, көтеріліп бара жатқан әйел: 5-тері түсі
🧗🏿‍♀	6-тері түсі, көтеріліп бара жатқан әйел, көтеріліп бара жатқан әйел: 6-тері түсі
🤺	адам, семсер, семсерлесіп жатқан адам, семсерші, спорт, спортшы
🏇	атшабар, жарыс, жылқы, спорт, шабандоз
🏇🏻	1–2 тері түсі, атшабар, атшабар: 1–2 тері түсі, жарыс, жылқы, спорт, шабандоз
🏇🏼	3-тері түрі, атшабар, атшабар: 3-тері түрі, жарыс, жылқы, спорт, шабандоз
🏇🏽	4-тері түсі, атшабар, атшабар: 4-тері түсі, жарыс, жылқы, спорт, шабандоз
🏇🏾	5-тері түсі, атшабар, атшабар: 5-тері түсі, жарыс, жылқы, спорт, шабандоз
🏇🏿	6-тері түсі, атшабар, атшабар: 6-тері түсі, жарыс, жылқы, спорт, шабандоз
⛷️	спорт, шаңғы, шаңғы тебу, шаңғыда ұшу, шаңғышы, қар
🏂️	сноуборд, сноуборд тебу, сноубордшы, спорт, шаңғыда ұшу, қар
🏂🏻	1–2 тері түсі, сноуборд, сноуборд тебу, сноубордшы, сноубордшы: 1–2 тері түсі, спорт, шаңғыда ұшу, қар
🏂🏼	3-тері түрі, сноуборд, сноуборд тебу, сноубордшы, сноубордшы: 3-тері түрі, спорт, шаңғыда ұшу, қар
🏂🏽	4-тері түсі, сноуборд, сноуборд тебу, сноубордшы, сноубордшы: 4-тері түсі, спорт, шаңғыда ұшу, қар
🏂🏾	5-тері түсі, сноуборд, сноуборд тебу, сноубордшы, сноубордшы: 5-тері түсі, спорт, шаңғыда ұшу, қар
🏂🏿	6-тері түсі, сноуборд, сноуборд тебу, сноубордшы, сноубордшы: 6-тері түсі, спорт, шаңғыда ұшу, қар
🏌️	адам, гольф, гольф ойыншысы, доп, доп таяқ, жасыл, ойын, спорт, сырғытпа таяқ, шұңқырша, қуыс
🏌🏻	1–2 тері түсі, адам, гольф, гольф ойыншысы, гольф ойыншысы: 1–2 тері түсі, доп, доп таяқ, жасыл, ойын, спорт, сырғытпа таяқ, шұңқырша, қуыс
🏌🏼	3-тері түрі, адам, гольф, гольф ойыншысы, гольф ойыншысы: 3-тері түрі, доп, доп таяқ, жасыл, ойын, спорт, сырғытпа таяқ, шұңқырша, қуыс
🏌🏽	4-тері түсі, адам, гольф, гольф ойыншысы, гольф ойыншысы: 4-тері түсі, доп, доп таяқ, жасыл, ойын, спорт, сырғытпа таяқ, шұңқырша, қуыс
🏌🏾	5-тері түсі, адам, гольф, гольф ойыншысы, гольф ойыншысы: 5-тері түсі, доп, доп таяқ, жасыл, ойын, спорт, сырғытпа таяқ, шұңқырша, қуыс
🏌🏿	6-тері түсі, адам, гольф, гольф ойыншысы, гольф ойыншысы: 6-тері түсі, доп, доп таяқ, жасыл, ойын, спорт, сырғытпа таяқ, шұңқырша, қуыс
🏌‍♂	гольф, гольф ойнаған ер, ер
🏌🏻‍♂	1–2 тері түсі, гольф, гольф ойнаған ер, гольф ойнаған ер: 1–2 тері түсі, ер
🏌🏼‍♂	3-тері түрі, гольф, гольф ойнаған ер, гольф ойнаған ер: 3-тері түрі, ер
🏌🏽‍♂	4-тері түсі, гольф, гольф ойнаған ер, гольф ойнаған ер: 4-тері түсі, ер
🏌🏾‍♂	5-тері түсі, гольф, гольф ойнаған ер, гольф ойнаған ер: 5-тері түсі, ер
🏌🏿‍♂	6-тері түсі, гольф, гольф ойнаған ер, гольф ойнаған ер: 6-тері түсі, ер
🏌‍♀	гольф, гольф ойнаған әйел, спорт, әйел
🏌🏻‍♀	1–2 тері түсі, гольф, гольф ойнаған әйел, гольф ойнаған әйел: 1–2 тері түсі, спорт, әйел
🏌🏼‍♀	3-тері түрі, гольф, гольф ойнаған әйел, гольф ойнаған әйел: 3-тері түрі, спорт, әйел
🏌🏽‍♀	4-тері түсі, гольф, гольф ойнаған әйел, гольф ойнаған әйел: 4-тері түсі, спорт, әйел
🏌🏾‍♀	5-тері түсі, гольф, гольф ойнаған әйел, гольф ойнаған әйел: 5-тері түсі, спорт, әйел
🏌🏿‍♀	6-тері түсі, гольф, гольф ойнаған әйел, гольф ойнаған әйел: 6-тері түсі, спорт, әйел
🏄️	ер адам, жағажай, мұхит, серфер, серфинг, серфингист, спорт, су, толқын
🏄🏻	1–2 тері түсі, ер адам, жағажай, мұхит, серфер, серфер: 1–2 тері түсі, серфинг, серфингист, спорт, су, толқын
🏄🏼	3-тері түрі, ер адам, жағажай, мұхит, серфер, серфер: 3-тері түрі, серфинг, серфингист, спорт, су, толқын
🏄🏽	4-тері түсі, ер адам, жағажай, мұхит, серфер, серфер: 4-тері түсі, серфинг, серфингист, спорт, су, толқын
🏄🏾	5-тері түсі, ер адам, жағажай, мұхит, серфер, серфер: 5-тері түсі, серфинг, серфингист, спорт, су, толқын
🏄🏿	6-тері түсі, ер адам, жағажай, мұхит, серфер, серфер: 6-тері түсі, серфинг, серфингист, спорт, су, толқын
🏄‍♂	ер, серфинг, серфингші ер
🏄🏻‍♂	1–2 тері түсі, ер, серфинг, серфингші ер, серфингші ер: 1–2 тері түсі
🏄🏼‍♂	3-тері түрі, ер, серфинг, серфингші ер, серфингші ер: 3-тері түрі
🏄🏽‍♂	4-тері түсі, ер, серфинг, серфингші ер, серфингші ер: 4-тері түсі
🏄🏾‍♂	5-тері түсі, ер, серфинг, серфингші ер, серфингші ер: 5-тері түсі
🏄🏿‍♂	6-тері түсі, ер, серфинг, серфингші ер, серфингші ер: 6-тері түсі
🏄‍♀	жағажай, серфинг, серфингші әйел, спорт, әйел
🏄🏻‍♀	1–2 тері түсі, жағажай, серфинг, серфингші әйел, серфингші әйел: 1–2 тері түсі, спорт, әйел
🏄🏼‍♀	3-тері түрі, жағажай, серфинг, серфингші әйел, серфингші әйел: 3-тері түрі, спорт, әйел
🏄🏽‍♀	4-тері түсі, жағажай, серфинг, серфингші әйел, серфингші әйел: 4-тері түсі, спорт, әйел
🏄🏾‍♀	5-тері түсі, жағажай, серфинг, серфингші әйел, серфингші әйел: 5-тері түсі, спорт, әйел
🏄🏿‍♀	6-тері түсі, жағажай, серфинг, серфингші әйел, серфингші әйел: 6-тері түсі, спорт, әйел
🚣	адам, балық аулау, ескек, еспелі қайық, есу, каноэ, көл, көлік, саяхат, қайық, қайық есіп жатқан адам, қылқайық, өзен
🚣🏻	1–2 тері түсі, адам, балық аулау, ескек, еспелі қайық, есу, каноэ, көл, көлік, саяхат, қайық, қайық есіп жатқан адам, қайық есіп жатқан адам: 1–2 тері түсі, қылқайық, өзен
🚣🏼	3-тері түрі, адам, балық аулау, ескек, еспелі қайық, есу, каноэ, көл, көлік, саяхат, қайық, қайық есіп жатқан адам, қайық есіп жатқан адам: 3-тері түрі, қылқайық, өзен
🚣🏽	4-тері түсі, адам, балық аулау, ескек, еспелі қайық, есу, каноэ, көл, көлік, саяхат, қайық, қайық есіп жатқан адам, қайық есіп жатқан адам: 4-тері түсі, қылқайық, өзен
🚣🏾	5-тері түсі, адам, балық аулау, ескек, еспелі қайық, есу, каноэ, көл, көлік, саяхат, қайық, қайық есіп жатқан адам, қайық есіп жатқан адам: 5-тері түсі, қылқайық, өзен
🚣🏿	6-тері түсі, адам, балық аулау, ескек, еспелі қайық, есу, каноэ, көл, көлік, саяхат, қайық, қайық есіп жатқан адам, қайық есіп жатқан адам: 6-тері түсі, қылқайық, өзен
🚣‍♂	ер, қайық, қайық есуші ер
🚣🏻‍♂	1–2 тері түсі, ер, қайық, қайық есуші ер, қайық есуші ер: 1–2 тері түсі
🚣🏼‍♂	3-тері түрі, ер, қайық, қайық есуші ер, қайық есуші ер: 3-тері түрі
🚣🏽‍♂	4-тері түсі, ер, қайық, қайық есуші ер, қайық есуші ер: 4-тері түсі
🚣🏾‍♂	5-тері түсі, ер, қайық, қайық есуші ер, қайық есуші ер: 5-тері түсі
🚣🏿‍♂	6-тері түсі, ер, қайық, қайық есуші ер, қайық есуші ер: 6-тері түсі
🚣‍♀	қайық, қайық есуші әйел, әйел
🚣🏻‍♀	1–2 тері түсі, қайық, қайық есуші әйел, қайық есуші әйел: 1–2 тері түсі, әйел
🚣🏼‍♀	3-тері түрі, қайық, қайық есуші әйел, қайық есуші әйел: 3-тері түрі, әйел
🚣🏽‍♀	4-тері түсі, қайық, қайық есуші әйел, қайық есуші әйел: 4-тері түсі, әйел
🚣🏾‍♀	5-тері түсі, қайық, қайық есуші әйел, қайық есуші әйел: 5-тері түсі, әйел
🚣🏿‍♀	6-тері түсі, қайық, қайық есуші әйел, қайық есуші әйел: 6-тері түсі, әйел
