‾	traço sobrescrito
👩🏽‍🍳	chefe, cozinheira, cozinheira: tipo de pele 4, mulher, tipo de pele 4
👩🏾‍🍳	chefe, cozinheira, cozinheira: tipo de pele 5, mulher, tipo de pele 5
👩🏿‍🍳	chefe, cozinheira, cozinheira: tipo de pele 6, mulher, tipo de pele 6
🧑‍🔧	canalizador, eletricista, mecânico, ofício
🧑🏻‍🔧	canalizador, eletricista, mecânico, mecânico: tipo de pele 1–2, ofício, tipo de pele 1–2
🧑🏼‍🔧	canalizador, eletricista, mecânico, mecânico: tipo de pele 3, ofício, tipo de pele 3
🧑🏽‍🔧	canalizador, eletricista, mecânico, mecânico: tipo de pele 4, ofício, tipo de pele 4
🧑🏾‍🔧	canalizador, eletricista, mecânico, mecânico: tipo de pele 5, ofício, tipo de pele 5
🧑🏿‍🔧	canalizador, eletricista, mecânico, mecânico: tipo de pele 6, ofício, tipo de pele 6
👨‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico (homem)
👨🏻‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico (homem), mecânico (homem): tipo de pele 1–2, tipo de pele 1–2
👨🏼‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico (homem), mecânico (homem): tipo de pele 3, tipo de pele 3
👨🏽‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico (homem), mecânico (homem): tipo de pele 4, tipo de pele 4
👨🏾‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico (homem), mecânico (homem): tipo de pele 5, tipo de pele 5
👨🏿‍🔧	canalizador, electricista, eletricista, homem, mecânico, mecânico (homem), mecânico (homem): tipo de pele 6, tipo de pele 6
👩‍🔧	canalizadora, electricista, eletricista, mecânica, mulher
👩🏻‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 1–2, mulher, tipo de pele 1–2
👩🏼‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 3, mulher, tipo de pele 3
👩🏽‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 4, mulher, tipo de pele 4
👩🏾‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 5, mulher, tipo de pele 5
👩🏿‍🔧	canalizadora, electricista, eletricista, mecânica, mecânica: tipo de pele 6, mulher, tipo de pele 6
🧑‍🏭	funcionário de fábrica, fábrica, industrial, montagem, trabalhador, trabalhador fabril
🧑🏻‍🏭	funcionário de fábrica, fábrica, industrial, montagem, tipo de pele 1–2, trabalhador, trabalhador fabril, trabalhador fabril: tipo de pele 1–2
🧑🏼‍🏭	funcionário de fábrica, fábrica, industrial, montagem, tipo de pele 3, trabalhador, trabalhador fabril, trabalhador fabril: tipo de pele 3
🧑🏽‍🏭	funcionário de fábrica, fábrica, industrial, montagem, tipo de pele 4, trabalhador, trabalhador fabril, trabalhador fabril: tipo de pele 4
🧑🏾‍🏭	funcionário de fábrica, fábrica, industrial, montagem, tipo de pele 5, trabalhador, trabalhador fabril, trabalhador fabril: tipo de pele 5
🧑🏿‍🏭	funcionário de fábrica, fábrica, industrial, montagem, tipo de pele 6, trabalhador, trabalhador fabril, trabalhador fabril: tipo de pele 6
👨‍🏭	fábrica, homem, industrial, indústria, montagem, operário, operário fabril, trabalhador
👨🏻‍🏭	fábrica, homem, industrial, indústria, montagem, operário, operário fabril, operário fabril: tipo de pele 1–2, tipo de pele 1–2, trabalhador
👨🏼‍🏭	fábrica, homem, industrial, indústria, montagem, operário, operário fabril, operário fabril: tipo de pele 3, tipo de pele 3, trabalhador
👨🏽‍🏭	fábrica, homem, industrial, indústria, montagem, operário, operário fabril, operário fabril: tipo de pele 4, tipo de pele 4, trabalhador
👨🏾‍🏭	fábrica, homem, industrial, indústria, montagem, operário, operário fabril, operário fabril: tipo de pele 5, tipo de pele 5, trabalhador
👨🏿‍🏭	fábrica, homem, industrial, indústria, montagem, operário, operário fabril, operário fabril: tipo de pele 6, tipo de pele 6, trabalhador
👩‍🏭	fábrica, industrial, indústria, montagem, mulher, operária, operária fabril, trabalhadora
👩🏻‍🏭	fábrica, industrial, indústria, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 1–2, tipo de pele 1–2, trabalhadora
👩🏼‍🏭	fábrica, industrial, indústria, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 3, tipo de pele 3, trabalhadora
👩🏽‍🏭	fábrica, industrial, indústria, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 4, tipo de pele 4, trabalhadora
👩🏾‍🏭	fábrica, industrial, indústria, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 5, tipo de pele 5, trabalhadora
👩🏿‍🏭	fábrica, industrial, indústria, montagem, mulher, operária, operária fabril, operária fabril: tipo de pele 6, tipo de pele 6, trabalhadora
🧑‍💼	arquiteto, empregado de escritório, gerente, negócios, trabalhador de escritório
🧑🏻‍💼	arquiteto, empregado de escritório, empregado de escritório: tipo de pele 1–2, gerente, negócios, tipo de pele 1–2, trabalhador de escritório
🧑🏼‍💼	arquiteto, empregado de escritório, empregado de escritório: tipo de pele 3, gerente, negócios, tipo de pele 3, trabalhador de escritório
🧑🏽‍💼	arquiteto, empregado de escritório, empregado de escritório: tipo de pele 4, gerente, negócios, tipo de pele 4, trabalhador de escritório
🧑🏾‍💼	arquiteto, empregado de escritório, empregado de escritório: tipo de pele 5, gerente, negócios, tipo de pele 5, trabalhador de escritório
🧑🏿‍💼	arquiteto, empregado de escritório, empregado de escritório: tipo de pele 6, gerente, negócios, tipo de pele 6, trabalhador de escritório
👨‍💼	administrador, arquiteto, empresa, empresário, funcionário de escritório, gerente, homem, trabalhador de escritório
👨🏻‍💼	administrador, arquiteto, empresa, empresário, funcionário de escritório, funcionário de escritório: tipo de pele 1–2, gerente, homem, tipo de pele 1–2, trabalhador de escritório
👨🏼‍💼	administrador, arquiteto, empresa, empresário, funcionário de escritório, funcionário de escritório: tipo de pele 3, gerente, homem, tipo de pele 3, trabalhador de escritório
👨🏽‍💼	administrador, arquiteto, empresa, empresário, funcionário de escritório, funcionário de escritório: tipo de pele 4, gerente, homem, tipo de pele 4, trabalhador de escritório
👨🏾‍💼	administrador, arquiteto, empresa, empresário, funcionário de escritório, funcionário de escritório: tipo de pele 5, gerente, homem, tipo de pele 5, trabalhador de escritório
👨🏿‍💼	administrador, arquiteto, empresa, empresário, funcionário de escritório, funcionário de escritório: tipo de pele 6, gerente, homem, tipo de pele 6, trabalhador de escritório
👩‍💼	administradora, arquiteta, empresa, empresária, funcionária de escritório, gerente, mulher, trabalhadora de escritório
👩🏻‍💼	administradora, arquiteta, empresa, empresária, funcionária de escritório, funcionária de escritório: tipo de pele 1–2, gerente, mulher, tipo de pele 1–2, trabalhadora de escritório
👩🏼‍💼	administradora, arquiteta, empresa, empresária, funcionária de escritório, funcionária de escritório: tipo de pele 3, gerente, mulher, tipo de pele 3, trabalhadora de escritório
👩🏽‍💼	administradora, arquiteta, empresa, empresária, funcionária de escritório, funcionária de escritório: tipo de pele 4, gerente, mulher, tipo de pele 4, trabalhadora de escritório
👩🏾‍💼	administradora, arquiteta, empresa, empresária, funcionária de escritório, funcionária de escritório: tipo de pele 5, gerente, mulher, tipo de pele 5, trabalhadora de escritório
👩🏿‍💼	administradora, arquiteta, empresa, empresária, funcionária de escritório, funcionária de escritório: tipo de pele 6, gerente, mulher, tipo de pele 6, trabalhadora de escritório
🧑🏻‍🔬	biólogo, cientista, cientista: tipo de pele 1–2, engenheiro, físico, químico, tipo de pele 1–2
🧑🏼‍🔬	biólogo, cientista, cientista: tipo de pele 3, engenheiro, físico, químico, tipo de pele 3
🧑🏽‍🔬	biólogo, cientista, cientista: tipo de pele 4, engenheiro, físico, químico, tipo de pele 4
🧑🏾‍🔬	biólogo, cientista, cientista: tipo de pele 5, engenheiro, físico, químico, tipo de pele 5
🧑🏿‍🔬	biólogo, cientista, cientista: tipo de pele 6, engenheiro, físico, químico, tipo de pele 6
👨‍🔬	biólogo, cientista (homem), engenheiro, farmacêutico, físico, homem, matemático, químico
👨🏻‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 1–2, engenheiro, farmacêutico, físico, homem, matemático, químico, tipo de pele 1–2
👨🏼‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 3, engenheiro, farmacêutico, físico, homem, matemático, químico, tipo de pele 3
👨🏽‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 4, engenheiro, farmacêutico, físico, homem, matemático, químico, tipo de pele 4
👨🏾‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 5, engenheiro, farmacêutico, físico, homem, matemático, químico, tipo de pele 5
👨🏿‍🔬	biólogo, cientista (homem), cientista (homem): tipo de pele 6, engenheiro, farmacêutico, físico, homem, matemático, químico, tipo de pele 6
👩‍🔬	bióloga, cientista (mulher), engenheira, farmacêutica, física, matemática, mulher, química
👩🏻‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 1–2, engenheira, farmacêutica, física, matemática, mulher, química, tipo de pele 1–2
👩🏼‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 3, engenheira, farmacêutica, física, matemática, mulher, química, tipo de pele 3
👩🏽‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 4, engenheira, farmacêutica, física, matemática, mulher, química, tipo de pele 4
👩🏾‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 5, engenheira, farmacêutica, física, matemática, mulher, química, tipo de pele 5
👩🏿‍🔬	bióloga, cientista (mulher), cientista (mulher): tipo de pele 6, engenheira, farmacêutica, física, matemática, mulher, química, tipo de pele 6
🧑‍💻	informático, inventor, programador, software, tecnólogo
🧑🏻‍💻	informático, informático: tipo de pele 1–2, inventor, programador, software, tecnólogo, tipo de pele 1–2
🧑🏼‍💻	informático, informático: tipo de pele 3, inventor, programador, software, tecnólogo, tipo de pele 3
🧑🏽‍💻	informático, informático: tipo de pele 4, inventor, programador, software, tecnólogo, tipo de pele 4
🧑🏾‍💻	informático, informático: tipo de pele 5, inventor, programador, software, tecnólogo, tipo de pele 5
🧑🏿‍💻	informático, informático: tipo de pele 6, inventor, programador, software, tecnólogo, tipo de pele 6
👨‍💻	computador, homem, informático, informático (homem), inventor, programador, software, tecnólogo
👨🏻‍💻	computador, homem, informático, informático (homem), informático (homem): tipo de pele 1–2, inventor, programador, software, tecnólogo, tipo de pele 1–2
👨🏼‍💻	computador, homem, informático, informático (homem), informático (homem): tipo de pele 3, inventor, programador, software, tecnólogo, tipo de pele 3
👨🏽‍💻	computador, homem, informático, informático (homem), informático (homem): tipo de pele 4, inventor, programador, software, tecnólogo, tipo de pele 4
👨🏾‍💻	computador, homem, informático, informático (homem), informático (homem): tipo de pele 5, inventor, programador, software, tecnólogo, tipo de pele 5
👨🏿‍💻	computador, homem, informático, informático (homem), informático (homem): tipo de pele 6, inventor, programador, software, tecnólogo, tipo de pele 6
👩‍💻	informática, inventora, mulher, programadora, software, tecnóloga
👩🏻‍💻	informática, informática: tipo de pele 1–2, inventora, mulher, programadora, software, tecnóloga, tipo de pele 1–2
👩🏼‍💻	informática, informática: tipo de pele 3, inventora, mulher, programadora, software, tecnóloga, tipo de pele 3
👩🏽‍💻	informática, informática: tipo de pele 4, inventora, mulher, programadora, software, tecnóloga, tipo de pele 4
👩🏾‍💻	informática, informática: tipo de pele 5, inventora, mulher, programadora, software, tecnóloga, tipo de pele 5
👩🏿‍💻	informática, informática: tipo de pele 6, inventora, mulher, programadora, software, tecnóloga, tipo de pele 6
🧑‍🎤	ator, cantor, estrela, rock, vocalista
🧑🏻‍🎤	ator, cantor, estrela, rock, tipo de pele 1–2, vocalista, vocalista: tipo de pele 1–2
🧑🏼‍🎤	ator, cantor, estrela, rock, tipo de pele 3, vocalista, vocalista: tipo de pele 3
🧑🏽‍🎤	ator, cantor, estrela, rock, tipo de pele 4, vocalista, vocalista: tipo de pele 4
🧑🏾‍🎤	ator, cantor, estrela, rock, tipo de pele 5, vocalista, vocalista: tipo de pele 5
🧑🏿‍🎤	ator, cantor, estrela, rock, tipo de pele 6, vocalista, vocalista: tipo de pele 6
👨‍🎤	ator, cantor, estrela, estrela do rock, homem, rock
👨🏻‍🎤	ator, cantor, cantor: tipo de pele 1–2, estrela, estrela do rock, homem, rock, tipo de pele 1–2
👨🏼‍🎤	ator, cantor, cantor: tipo de pele 3, estrela, estrela do rock, homem, rock, tipo de pele 3
👨🏽‍🎤	ator, cantor, cantor: tipo de pele 4, estrela, estrela do rock, homem, rock, tipo de pele 4
👨🏾‍🎤	ator, cantor, cantor: tipo de pele 5, estrela, estrela do rock, homem, rock, tipo de pele 5
👨🏿‍🎤	ator, cantor, cantor: tipo de pele 6, estrela, estrela do rock, homem, rock, tipo de pele 6
👩‍🎤	atriz, cantora, estrela, estrela do rock, mulher, rock
👩🏻‍🎤	atriz, cantora, cantora: tipo de pele 1–2, estrela, estrela do rock, mulher, rock, tipo de pele 1–2
👩🏼‍🎤	atriz, cantora, cantora: tipo de pele 3, estrela, estrela do rock, mulher, rock, tipo de pele 3
👩🏽‍🎤	atriz, cantora, cantora: tipo de pele 4, estrela, estrela do rock, mulher, rock, tipo de pele 4
👩🏾‍🎤	atriz, cantora, cantora: tipo de pele 5, estrela, estrela do rock, mulher, rock, tipo de pele 5
👩🏿‍🎤	atriz, cantora, cantora: tipo de pele 6, estrela, estrela do rock, mulher, rock, tipo de pele 6
🧑🏻‍🎨	artista, artista: tipo de pele 1–2, paleta, tipo de pele 1–2
🧑🏼‍🎨	artista, artista: tipo de pele 3, paleta, tipo de pele 3
🧑🏽‍🎨	artista, artista: tipo de pele 4, paleta, tipo de pele 4
🧑🏾‍🎨	artista, artista: tipo de pele 5, paleta, tipo de pele 5
🧑🏿‍🎨	artista, artista: tipo de pele 6, paleta, tipo de pele 6
👨‍🎨	artista, artista (homem), homem, paleta, pintor, pintura
👨🏻‍🎨	artista, artista (homem), artista (homem): tipo de pele 1–2, homem, paleta, pintor, pintura, tipo de pele 1–2
👨🏼‍🎨	artista, artista (homem), artista (homem): tipo de pele 3, homem, paleta, pintor, pintura, tipo de pele 3
👨🏽‍🎨	artista, artista (homem), artista (homem): tipo de pele 4, homem, paleta, pintor, pintura, tipo de pele 4
👨🏾‍🎨	artista, artista (homem), artista (homem): tipo de pele 5, homem, paleta, pintor, pintura, tipo de pele 5
👨🏿‍🎨	artista, artista (homem), artista (homem): tipo de pele 6, homem, paleta, pintor, pintura, tipo de pele 6
👩‍🎨	artista, artista (mulher), mulher, paleta, pintora, pintura
👩🏻‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 1–2, mulher, paleta, pintora, pintura, tipo de pele 1–2
👩🏼‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 3, mulher, paleta, pintora, pintura, tipo de pele 3
👩🏽‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 4, mulher, paleta, pintora, pintura, tipo de pele 4
👩🏾‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 5, mulher, paleta, pintora, pintura, tipo de pele 5
👩🏿‍🎨	artista, artista (mulher), artista (mulher): tipo de pele 6, mulher, paleta, pintora, pintura, tipo de pele 6
🧑🏻‍✈	avião, piloto, piloto: tipo de pele 1–2, tipo de pele 1–2
🧑🏼‍✈	avião, piloto, piloto: tipo de pele 3, tipo de pele 3
🧑🏽‍✈	avião, piloto, piloto: tipo de pele 4, tipo de pele 4
🧑🏾‍✈	avião, piloto, piloto: tipo de pele 5, tipo de pele 5
🧑🏿‍✈	avião, piloto, piloto: tipo de pele 6, tipo de pele 6
👨‍✈	avião, homem, piloto, piloto (homem)
👨🏻‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 1–2, tipo de pele 1–2
👨🏼‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 3, tipo de pele 3
👨🏽‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 4, tipo de pele 4
👨🏾‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 5, tipo de pele 5
👨🏿‍✈	avião, homem, piloto, piloto (homem), piloto (homem): tipo de pele 6, tipo de pele 6
👩‍✈	avião, mulher, pilota, piloto (mulher)
👩🏻‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 1–2, tipo de pele 1–2
👩🏼‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 3, tipo de pele 3
👩🏽‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 4, tipo de pele 4
👩🏾‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 5, tipo de pele 5
👩🏿‍✈	avião, mulher, pilota, piloto (mulher), piloto (mulher): tipo de pele 6, tipo de pele 6
🧑‍🚀	astronauta, foguetão
🧑🏻‍🚀	astronauta, astronauta: tipo de pele 1–2, foguetão, tipo de pele 1–2
🧑🏼‍🚀	astronauta, astronauta: tipo de pele 3, foguetão, tipo de pele 3
🧑🏽‍🚀	astronauta, astronauta: tipo de pele 4, foguetão, tipo de pele 4
🧑🏾‍🚀	astronauta, astronauta: tipo de pele 5, foguetão, tipo de pele 5
🧑🏿‍🚀	astronauta, astronauta: tipo de pele 6, foguetão, tipo de pele 6
👨‍🚀	astronauta, astronauta (homem), espaço, foguete, homem
👨🏻‍🚀	astronauta, astronauta (homem), astronauta (homem): tipo de pele 1–2, espaço, foguete, homem, tipo de pele 1–2
👨🏼‍🚀	astronauta, astronauta (homem), astronauta (homem): tipo de pele 3, espaço, foguete, homem, tipo de pele 3
👨🏽‍🚀	astronauta, astronauta (homem), astronauta (homem): tipo de pele 4, espaço, foguete, homem, tipo de pele 4
👨🏾‍🚀	astronauta, astronauta (homem), astronauta (homem): tipo de pele 5, espaço, foguete, homem, tipo de pele 5
👨🏿‍🚀	astronauta, astronauta (homem), astronauta (homem): tipo de pele 6, espaço, foguete, homem, tipo de pele 6
👩‍🚀	astronauta, astronauta (mulher), espaço, foguete, mulher
👩🏻‍🚀	astronauta, astronauta (mulher), astronauta (mulher): tipo de pele 1–2, espaço, foguete, mulher, tipo de pele 1–2
👩🏼‍🚀	astronauta, astronauta (mulher), astronauta (mulher): tipo de pele 3, espaço, foguete, mulher, tipo de pele 3
👩🏽‍🚀	astronauta, astronauta (mulher), astronauta (mulher): tipo de pele 4, espaço, foguete, mulher, tipo de pele 4
👩🏾‍🚀	astronauta, astronauta (mulher), astronauta (mulher): tipo de pele 5, espaço, foguete, mulher, tipo de pele 5
👩🏿‍🚀	astronauta, astronauta (mulher), astronauta (mulher): tipo de pele 6, espaço, foguete, mulher, tipo de pele 6
🧑‍🚒	bombeiro, camião dos bombeiros, carro dos bombeiros
🧑🏻‍🚒	bombeiro, bombeiro: tipo de pele 1–2, camião dos bombeiros, carro dos bombeiros, tipo de pele 1–2
🧑🏼‍🚒	bombeiro, bombeiro: tipo de pele 3, camião dos bombeiros, carro dos bombeiros, tipo de pele 3
🧑🏽‍🚒	bombeiro, bombeiro: tipo de pele 4, camião dos bombeiros, carro dos bombeiros, tipo de pele 4
🧑🏾‍🚒	bombeiro, bombeiro: tipo de pele 5, camião dos bombeiros, carro dos bombeiros, tipo de pele 5
🧑🏿‍🚒	bombeiro, bombeiro: tipo de pele 6, camião dos bombeiros, carro dos bombeiros, tipo de pele 6
👨‍🚒	bombeiro, bombeiro (homem), carro de bombeiros, carro dos bombeiros, homem
👨🏻‍🚒	bombeiro, bombeiro (homem): tipo de pele 1–2, carro de bombeiros, carro dos bombeiros, homem, tipo de pele 1–2
👨🏼‍🚒	bombeiro, bombeiro (homem): tipo de pele 3, carro de bombeiros, carro dos bombeiros, homem, tipo de pele 3
👨🏽‍🚒	bombeiro, bombeiro (homem): tipo de pele 4, carro de bombeiros, carro dos bombeiros, homem, tipo de pele 4
👨🏾‍🚒	bombeiro, bombeiro (homem): tipo de pele 5, carro de bombeiros, carro dos bombeiros, homem, tipo de pele 5
👨🏿‍🚒	bombeiro, bombeiro (homem): tipo de pele 6, carro de bombeiros, carro dos bombeiros, homem, tipo de pele 6
👩‍🚒	bombeira, carro de bombeiros, carro dos bombeiros, mulher
👩🏻‍🚒	bombeira, bombeira: tipo de pele 1–2, carro de bombeiros, carro dos bombeiros, mulher, tipo de pele 1–2
👩🏼‍🚒	bombeira, bombeira: tipo de pele 3, carro de bombeiros, carro dos bombeiros, mulher, tipo de pele 3
👩🏽‍🚒	bombeira, bombeira: tipo de pele 4, carro de bombeiros, carro dos bombeiros, mulher, tipo de pele 4
👩🏾‍🚒	bombeira, bombeira: tipo de pele 5, carro de bombeiros, carro dos bombeiros, mulher, tipo de pele 5
👩🏿‍🚒	bombeira, bombeira: tipo de pele 6, carro de bombeiros, carro dos bombeiros, mulher, tipo de pele 6
👮	agente, agente da polícia, apreender, autoridade, lei, multa, pessoa polícia, polícia, prender, senhor agente
👮🏻	agente, agente da polícia, agente da polícia: tipo de pele 1–2, apreender, autoridade, lei, multa, pessoa polícia, polícia, prender, senhor agente, tipo de pele 1–2
👮🏼	agente, agente da polícia, agente da polícia: tipo de pele 3, apreender, autoridade, lei, multa, pessoa polícia, polícia, prender, senhor agente, tipo de pele 3
👮🏽	agente, agente da polícia, agente da polícia: tipo de pele 4, apreender, autoridade, lei, multa, pessoa polícia, polícia, prender, senhor agente, tipo de pele 4
👮🏾	agente, agente da polícia, agente da polícia: tipo de pele 5, apreender, autoridade, lei, multa, pessoa polícia, polícia, prender, senhor agente, tipo de pele 5
👮🏿	agente, agente da polícia, agente da polícia: tipo de pele 6, apreender, autoridade, lei, multa, pessoa polícia, polícia, prender, senhor agente, tipo de pele 6
👮‍♂	agente, bófia, chui, homem, polícia (homem)
👮🏻‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 1–2, tipo de pele 1–2
👮🏼‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 3, tipo de pele 3
👮🏽‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 4, tipo de pele 4
👮🏾‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 5, tipo de pele 5
👮🏿‍♂	agente, bófia, chui, homem, polícia (homem), polícia (homem): tipo de pele 6, tipo de pele 6
👮‍♀	agente, agente da polícia, apreender, autoridade, bófia, chui, lei, mulher, multa, polícia, polícia (mulher), prender, senhora agente
👮🏻‍♀	agente, agente da polícia, apreender, autoridade, bófia, chui, lei, mulher, multa, polícia, polícia (mulher), polícia (mulher): tipo de pele 1–2, prender, senhora agente, tipo de pele 1–2
👮🏼‍♀	agente, agente da polícia, apreender, autoridade, bófia, chui, lei, mulher, multa, polícia, polícia (mulher), polícia (mulher): tipo de pele 3, prender, senhora agente, tipo de pele 3
👮🏽‍♀	agente, agente da polícia, apreender, autoridade, bófia, chui, lei, mulher, multa, polícia, polícia (mulher), polícia (mulher): tipo de pele 4, prender, senhora agente, tipo de pele 4
👮🏾‍♀	agente, agente da polícia, apreender, autoridade, bófia, chui, lei, mulher, multa, polícia, polícia (mulher), polícia (mulher): tipo de pele 5, prender, senhora agente, tipo de pele 5
👮🏿‍♀	agente, agente da polícia, apreender, autoridade, bófia, chui, lei, mulher, multa, polícia, polícia (mulher), polícia (mulher): tipo de pele 6, prender, senhora agente, tipo de pele 6
🕵️	detetive, espião, homem, investigador
🕵🏻	detetive, detetive: tipo de pele 1–2, espião, homem, investigador, tipo de pele 1–2
🕵🏼	detetive, detetive: tipo de pele 3, espião, homem, investigador, tipo de pele 3
🕵🏽	detetive, detetive: tipo de pele 4, espião, homem, investigador, tipo de pele 4
🕵🏾	detetive, detetive: tipo de pele 5, espião, homem, investigador, tipo de pele 5
🕵🏿	detetive, detetive: tipo de pele 6, espião, homem, investigador, tipo de pele 6
🕵‍♂	detetive (homem), espião, homem, investigador
🕵🏻‍♂	detetive (homem), detetive (homem): tipo de pele 1–2, espião, homem, investigador, tipo de pele 1–2
🕵🏼‍♂	detetive (homem), detetive (homem): tipo de pele 3, espião, homem, investigador, tipo de pele 3
🕵🏽‍♂	detetive (homem), detetive (homem): tipo de pele 4, espião, homem, investigador, tipo de pele 4
🕵🏾‍♂	detetive (homem), detetive (homem): tipo de pele 5, espião, homem, investigador, tipo de pele 5
🕵🏿‍♂	detetive (homem), detetive (homem): tipo de pele 6, espião, homem, investigador, tipo de pele 6
🕵‍♀	crime, detetive, detetive (mulher), espia, investigadora, investigar, mulher
🕵🏻‍♀	crime, detetive, detetive (mulher), detetive (mulher): tipo de pele 1–2, espia, investigadora, investigar, mulher, tipo de pele 1–2
🕵🏼‍♀	crime, detetive, detetive (mulher), detetive (mulher): tipo de pele 3, espia, investigadora, investigar, mulher, tipo de pele 3
🕵🏽‍♀	crime, detetive, detetive (mulher), detetive (mulher): tipo de pele 4, espia, investigadora, investigar, mulher, tipo de pele 4
🕵🏾‍♀	crime, detetive, detetive (mulher), detetive (mulher): tipo de pele 5, espia, investigadora, investigar, mulher, tipo de pele 5
🕵🏿‍♀	crime, detetive, detetive (mulher), detetive (mulher): tipo de pele 6, espia, investigadora, investigar, mulher, tipo de pele 6
💂	capacete, guarda, londres, palácio de buckingham
💂🏻	capacete, guarda, guarda: tipo de pele 1–2, londres, palácio de buckingham, tipo de pele 1–2
💂🏼	capacete, guarda, guarda: tipo de pele 3, londres, palácio de buckingham, tipo de pele 3
💂🏽	capacete, guarda, guarda: tipo de pele 4, londres, palácio de buckingham, tipo de pele 4
💂🏾	capacete, guarda, guarda: tipo de pele 5, londres, palácio de buckingham, tipo de pele 5
💂🏿	capacete, guarda, guarda: tipo de pele 6, londres, palácio de buckingham, tipo de pele 6
💂‍♂	guarda, homem, segurança (homem), uniforme
💂🏻‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 1–2, tipo de pele 1–2, uniforme
💂🏼‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 3, tipo de pele 3, uniforme
💂🏽‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 4, tipo de pele 4, uniforme
💂🏾‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 5, tipo de pele 5, uniforme
💂🏿‍♂	guarda, homem, segurança (homem), segurança (homem): tipo de pele 6, tipo de pele 6, uniforme
💂‍♀	capacete, guarda, londres, mulher, palácio de buckingham, segurança (mulher), uniforme
💂🏻‍♀	capacete, guarda, londres, mulher, palácio de buckingham, segurança (mulher), segurança (mulher): tipo de pele 1–2, tipo de pele 1–2, uniforme
💂🏼‍♀	capacete, guarda, londres, mulher, palácio de buckingham, segurança (mulher), segurança (mulher): tipo de pele 3, tipo de pele 3, uniforme
💂🏽‍♀	capacete, guarda, londres, mulher, palácio de buckingham, segurança (mulher), segurança (mulher): tipo de pele 4, tipo de pele 4, uniforme
💂🏾‍♀	capacete, guarda, londres, mulher, palácio de buckingham, segurança (mulher), segurança (mulher): tipo de pele 5, tipo de pele 5, uniforme
💂🏿‍♀	capacete, guarda, londres, mulher, palácio de buckingham, segurança (mulher), segurança (mulher): tipo de pele 6, tipo de pele 6, uniforme
🥷	assassino, escondido, lutador, ninja, oculto, secreto, soldado
🥷🏻	assassino, escondido, lutador, ninja, ninja: tipo de pele 1–2, oculto, secreto, soldado, tipo de pele 1–2
🥷🏼	assassino, escondido, lutador, ninja, ninja: tipo de pele 3, oculto, secreto, soldado, tipo de pele 3
🥷🏽	assassino, escondido, lutador, ninja, ninja: tipo de pele 4, oculto, secreto, soldado, tipo de pele 4
🥷🏾	assassino, escondido, lutador, ninja, ninja: tipo de pele 5, oculto, secreto, soldado, tipo de pele 5
🥷🏿	assassino, escondido, lutador, ninja, ninja: tipo de pele 6, oculto, secreto, soldado, tipo de pele 6
